CandidateId,MessageId,OriginalFilename,MimeType,SHA256,SizeBytes,LocalPath,Subject,OriginRelation
"G0001","1a03defdb976c6dd","4_3074beb4520e_3074beb4520e_3074beb4520e.jpeg","image/jpeg","3074BEB4520E7F5C93B9E755FDEADDD8A18AB8D4E67C314BB2B45D0CA5B72611","4158","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0001_4_3074beb4520e_3074beb4520e_3074beb4520e.jpeg","Repito lo anterior","PartId=1; Disposition=attachment; filename=""4_3074beb4520e_3074beb4520e_3074beb4520e.jpeg""; ContentId=<ii_mta1hjt63>"
"G0002","1a03defdb976c6dd","2_420379d4ff45_420379d4ff45_420379d4ff45.jpeg","image/jpeg","420379D4FF45B52472616C5A8459D276BB554D35EDE54A04C1B87AC1B570FA5D","4936","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0002_2_420379d4ff45_420379d4ff45_420379d4ff45.jpeg","Repito lo anterior","PartId=3; Disposition=attachment; filename=""2_420379d4ff45_420379d4ff45_420379d4ff45.jpeg""; ContentId=<ii_mta1hjt01>"
"G0003","1a03defdb976c6dd","3_c75e7bfb18ec_c75e7bfb18ec_c75e7bfb18ec.jpeg","image/jpeg","C75E7BFB18EC83D322CBC9C7864ACF896FC8FD54B61BEEEFF0B21041CD980B93","3269","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0003_3_c75e7bfb18ec_c75e7bfb18ec_c75e7bfb18ec.jpeg","Repito lo anterior","PartId=4; Disposition=attachment; filename=""3_c75e7bfb18ec_c75e7bfb18ec_c75e7bfb18ec.jpeg""; ContentId=<ii_mta1hjt32>"
"G0004","1a01ba91449e4167","340334816060816.jpg","image/jpeg","D36DB48D5B35D9811EF8FACE3185B95BBC755180F748485481DE1F751ED3006E","29511","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0004_340334816060816.jpg","PRUEBA RECEPCION DOCUMENTAL","PartId=3; Disposition=attachment; filename=""340334816060816.jpg""; ContentId=<f_mt0j53yo2>"
"G0005","19fef055e567627b","inline-1.png","image/png","72047867C7642F6358837C0F9867C83F915A29366A6B64C6508DCE8FEB356E85","4695","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0005_inline-1.png","Tu código para recuperar la contraseña","PartId=1; Disposition=inline; ContentId=<logoPersonal>"
"G0006","19fdce0b4c9bafc3","image001.png","image/png","1387C7FE027694D1B95AEC2B808FEB0798BF75F84283FFC502BAE3C4EB2DB06A","1806","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0006_image001.png","RE: [EXTERNO] SQL Nuevo","PartId=1; Disposition=inline; filename=""image001.png""; size=1806; creation-date=""Fri, 07 Aug 2026 15:38:54 GMT""; modification-date=""Fri, 07 Aug 2026 15:38:54 GMT""; ContentId=<image001.png@01DD2669.B3CFE230>"
"G0007","19fdce0b4c9bafc3","image002.png","image/png","DE0C0238456A610CE8BC056A253A134E92998D7A5EE87A134C746A89F64B2BB5","8847","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0007_image002.png","RE: [EXTERNO] SQL Nuevo","PartId=2; Disposition=inline; filename=""image002.png""; size=8847; creation-date=""Fri, 07 Aug 2026 15:38:54 GMT""; modification-date=""Fri, 07 Aug 2026 15:38:55 GMT""; ContentId=<image002.png@01DD2669.B3CFE230>"
"G0008","19fdce0b4c9bafc3","image003.png","image/png","50D0A84325CDCF665E473A3E3D0F62F86079E2DCFEF4AE4E4BE0D2A776C0AF97","101321","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0008_image003.png","RE: [EXTERNO] SQL Nuevo","PartId=3; Disposition=inline; filename=""image003.png""; size=101321; creation-date=""Fri, 07 Aug 2026 15:38:55 GMT""; modification-date=""Fri, 07 Aug 2026 15:38:55 GMT""; ContentId=<image003.png@01DD2669.B3CFE230>"
"G0009","19fd329e86700215","image001.png","image/png","A416FBE260DB75BDBEAC5FE20ABC81C97D2EDEE21831062770D46CE8AB360DE0","23476","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0009_image001.png","Instructivos para configuración de VPN y 2FA","PartId=0.1; Disposition=inline; filename=""image001.png""; size=23476; creation-date=""Wed, 05 Aug 2026 18:22:40 GMT""; modification-date=""Wed, 05 Aug 2026 18:22:40 GMT""; ContentId=<image001.png@01DD24EE.3E34B180>"
"G0010","19faa9cb2a317a0d","image001.png","image/png","8D7C13F4259E27EF01AC73FC492B4D0784E45C479C4097B3D1E947167D7A9076","14421","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0010_image001.png","Re: [EXTERNO] Re: Pedido de actualización cabezal RESUMENES TC - cold / sky","PartId=1; Disposition=inline; filename=""image001.png""; ContentId=<ii_19faa9b3dd14cff311>"
