Path,Label,GroupId,SourceType,Sha256,Split,OriginalPath,Diversity
"Corpus\FACTURA\34e7190b10de_Z001023243373.pdf","FACTURA","factura-familia-aquavita","PDF","34E7190B10DE1060A821BA5B262D16CF469116C53FAA10A487AE71EDA02DE220","TRAIN","C:\temp\Pruebas\Facturas\_Extraidas\20260826-113613-1eb93599\Documentos\Z001023243373\Z001023243373.pdf","DMF_PDF"
"Corpus\FACTURA\83e0306ff570_Z001023243348.pdf","FACTURA","factura-familia-aquavita","PDF","83E0306FF5707DBDEBFC9AD88A3634DF1D24B33FAA5A733B74A629090F74A53D","TRAIN","C:\temp\Pruebas\Facturas\_Extraidas\20260826-113613-1eb93599\Documentos\Z001023243348\Z001023243348.pdf","DMF_PDF"
"Corpus\FACTURA\030126ce7d61_Z001023242608.pdf","FACTURA","factura-familia-arca-fce-standard","PDF","030126CE7D614353FF03F90C126B6D2C3746D913B36523810DF4F1B51326D882","TRAIN","C:\temp\Pruebas\Facturas\_Extraidas\20260826-113613-1eb93599\Documentos\Z001023242608\Z001023242608.pdf","DMF_PDF"
"Corpus\FACTURA\53531d26119a_Z001023242890.pdf","FACTURA","factura-familia-arca-fce-standard","PDF","53531D26119A3A91D8160D16D8081238C94A83B00EADEEECB6BED96F35C0D21F","TRAIN","C:\temp\Pruebas\Facturas\_Extraidas\20260826-113613-1eb93599\Documentos\Z001023242890\Z001023242890.pdf","DMF_PDF"
"Corpus\FACTURA\92914214759a_Z001023242560.pdf","FACTURA","factura-familia-arca-fce-standard","PDF","92914214759A1969F8F6DA6FC3EAF436EEC02704E5B3141C282C9D183B15D2BC","TRAIN","C:\temp\Pruebas\Facturas\_Extraidas\20260826-113613-1eb93599\Documentos\Z001023242560\Z001023242560.pdf","DMF_PDF"
"Corpus\FACTURA\963e9941d8d3_Z001023242559.pdf","FACTURA","factura-familia-arca-fce-standard","PDF","963E9941D8D3A90BDACCFDDA949B7EEDD535A2ED456FA063B67893EC4D759786","TRAIN","C:\temp\Pruebas\Facturas\_Extraidas\20260826-113613-1eb93599\Documentos\Z001023242559\Z001023242559.pdf","DMF_PDF"
"Corpus\FACTURA\c2c93818726d_Z001023242895.pdf","FACTURA","factura-familia-arca-fce-standard","PDF","C2C93818726DAC52E58536C78525B62A417DEC82F9491E4941E8AEE2CFA42B42","TRAIN","C:\temp\Pruebas\Facturas\_Extraidas\20260826-113613-1eb93599\Documentos\Z001023242895\Z001023242895.pdf","DMF_PDF"
"Corpus\FACTURA\7943c6eb1641_Z001023243375.pdf","FACTURA","factura-familia-arillo","PDF","7943C6EB1641AD882AF8038E05B5F350A7FA8FBE6C2DF3DF90E9004412040FEF","TEST","C:\temp\Pruebas\Facturas\_Extraidas\20260826-113613-1eb93599\Documentos\Z001023243375\Z001023243375.pdf","DMF_PDF"
"Corpus\FACTURA\e8066b5fa877_Z001023243349.pdf","FACTURA","factura-familia-ascensores-orem","PDF","E8066B5FA877947A47862B566C3A752FD1BA514973CD2B01A7AD31803BBDD28B","TRAIN","C:\temp\Pruebas\Facturas\_Extraidas\20260826-113613-1eb93599\Documentos\Z001023243349\Z001023243349.pdf","DMF_PDF"
"Corpus\FACTURA\2d43b3648b73_Z001023243329.pdf","FACTURA","factura-familia-branding-merchandising","PDF","2D43B3648B73EFBB36772933B8ED7CE0CD779C0945E776A136EC6123FA5D5551","TRAIN","C:\temp\Pruebas\Facturas\_Extraidas\20260826-113613-1eb93599\Documentos\Z001023243329\Z001023243329.pdf","REVIEWED_BATCH"
"Corpus\FACTURA\b4c8fa3786e8_Z001023243075.pdf","FACTURA","factura-familia-condominio-pdi","PDF","B4C8FA3786E8BA119F3C5F40F1BF5868D7591D0E865FF2AF84F7235674F33C88","TRAIN","C:\temp\Pruebas\Facturas\_Extraidas\20260826-113613-1eb93599\Documentos\Z001023243075\Z001023243075.pdf","DMF_PDF"
"Corpus\FACTURA\d0998159322e_Z001023243074.pdf","FACTURA","factura-familia-condominio-pdi","PDF","D0998159322E7036852951E3B6BB4631E0A5EF21ADFC0DFC39679D4F410C959F","TRAIN","C:\temp\Pruebas\Facturas\_Extraidas\20260826-113613-1eb93599\Documentos\Z001023243074\Z001023243074.pdf","DMF_PDF"
"Corpus\FACTURA\b7004863aed5_Z001023243369.pdf","FACTURA","factura-familia-excell","PDF","B7004863AED55E481D4397435BD5B06CEA6180397E1059883D51F5D066F1147F","TRAIN","C:\temp\Pruebas\Facturas\_Extraidas\20260826-113613-1eb93599\Documentos\Z001023243369\Z001023243369.pdf","DMF_PDF"
"Corpus\FACTURA\c177cd77baa5_Z001023242796.pdf","FACTURA","factura-familia-inmuebles-fce","PDF","C177CD77BAA5F5587D302FDCC9F5615424F6BCED6057AA300113D6E3A600DC02","TRAIN","C:\temp\Pruebas\Facturas\_Extraidas\20260826-113613-1eb93599\Documentos\Z001023242796\Z001023242796.pdf","DMF_PDF"
