ShaA,ShaB,Reason
02481C9D2568B71F8E7C312C9750A2574BBC113DA725E94DF93185829AC84A79,021D03676E4829AEEEA847D3BCB185AA2D16C5CBCA32B330075F575854B360A1,HEADER_CUIT:30682335706
038C8E13A29FF718AF15161F5E1623E16F4735509EBC827CBF80A30555FC05DB,02304E5FCF9E9935C4B1CCBC0F4D759FDB9A45B27246309A1B9E5FB698A31BCA,HEADER_CUIT:30500006613
0694B850140E5FB7BFAECB0AE25445A17058A3081747D666726EF30BF5AA1CB8,02304E5FCF9E9935C4B1CCBC0F4D759FDB9A45B27246309A1B9E5FB698A31BCA,HEADER_CUIT:30500006613
077E1AB84DF868E538FAC3C97AD3D0C980891100169289B57CD81AB74155EC27,0393CB3ABBE474C6B489BC46868FD98792B23A13B723C0F5196587EC98CCF160,HEADER_CUIT:30707889434
087EA4366E3106496DA6B0BC81253540CE32BCC41D32F4556B269A17734EA995,02304E5FCF9E9935C4B1CCBC0F4D759FDB9A45B27246309A1B9E5FB698A31BCA,HEADER_CUIT:30500006613
099CD04D4D313E7B125EE36BE7A592FAE24935F39860457A2663B17850A7A024,02304E5FCF9E9935C4B1CCBC0F4D759FDB9A45B27246309A1B9E5FB698A31BCA,HEADER_CUIT:30500006613
0AF4ABC9633AC9A8D2E9993F79A926DB3E8D1D479CD3E3091B3F0AF3D2C2E7E6,072B001D7FDCB00B166EE67FDDEE8BE382F3BA7FB76113DE6F258CAC2DEDFF3E,HEADER_CUIT:30669701639
0C88429B88056936267C06652EED9EF20AE1A701A550F3E3992DD9DDEC6C7B5D,02304E5FCF9E9935C4B1CCBC0F4D759FDB9A45B27246309A1B9E5FB698A31BCA,HEADER_CUIT:30500006613
0CA3EE8277873990549A7D686F9CA4F4752B23AD75867D299B8CC9F9ECE7AD9B,02304E5FCF9E9935C4B1CCBC0F4D759FDB9A45B27246309A1B9E5FB698A31BCA,HEADER_CUIT:30500006613
0D83342C279D8651BF63D1015F3EEAAE55883A8F1CE8C051D923B3B1B1920312,021D03676E4829AEEEA847D3BCB185AA2D16C5CBCA32B330075F575854B360A1,HEADER_CUIT:30682335706
11F3EAC90134B12551950394AA754634A73F52156C58047F001C53FC2A8E2B6A,02304E5FCF9E9935C4B1CCBC0F4D759FDB9A45B27246309A1B9E5FB698A31BCA,HEADER_CUIT:30500006613
1303FFF3152A9BCA27886296FE5721AD7F803BA0CFC37D6296DE2FC83912AC0F,02304E5FCF9E9935C4B1CCBC0F4D759FDB9A45B27246309A1B9E5FB698A31BCA,HEADER_CUIT:30500006613
15969BD380B8D2DC22294AFDC4928DC42B0917483959608C7594E31E510491F3,106447D8042022E7A7E537E2F456DA614B64B7F191C70E08B6E6C5335ED5C164,HEADER_CUIT:30546969874
