LabelFinal,DocumentType,LabelSource,Split,Count
FACTURA,FACTURA,EXISTING_GROUND_TRUTH,DEVELOPMENT_DIAGNOSTIC,18
FACTURA,FACTURA,OCR_STRONG,DEVELOPMENT,106
FACTURA,FACTURA,OCR_STRONG,DEVELOPMENT_DIAGNOSTIC,2
FACTURA,FACTURA,OCR_STRONG,SEALED_TEST,7
FACTURA,FACTURA,PDF_TEXT_STRONG,DEVELOPMENT,46
FACTURA,FACTURA,PDF_TEXT_STRONG,DEVELOPMENT_DIAGNOSTIC,2
FACTURA,FACTURA,QR_ARCA_STRONG,DEVELOPMENT,184
FACTURA,FACTURA,QR_ARCA_STRONG,DEVELOPMENT_DIAGNOSTIC,470
FACTURA,FACTURA,QR_ARCA_STRONG,SEALED_TEST,34
OTRO_DOCUMENTO,NOTA_CREDITO,OCR_STRONG,DEVELOPMENT,4
OTRO_DOCUMENTO,NOTA_CREDITO,OCR_STRONG,SEALED_TEST,1
OTRO_DOCUMENTO,NOTA_CREDITO,PDF_TEXT_STRONG,DEVELOPMENT,5
OTRO_DOCUMENTO,NOTA_CREDITO,QR_ARCA_STRONG,DEVELOPMENT,1
OTRO_DOCUMENTO,NOTA_CREDITO,QR_ARCA_STRONG,DEVELOPMENT_DIAGNOSTIC,20
OTRO_DOCUMENTO,NOTA_DEBITO,OCR_STRONG,DEVELOPMENT,1
OTRO_DOCUMENTO,NOTA_DEBITO,PDF_TEXT_STRONG,DEVELOPMENT,1
OTRO_DOCUMENTO,NOTA_DEBITO,QR_ARCA_STRONG,DEVELOPMENT,1
OTRO_DOCUMENTO,NOTA_DEBITO,QR_ARCA_STRONG,DEVELOPMENT_DIAGNOSTIC,5
OTRO_DOCUMENTO,OTRO_DOCUMENTO,EXISTING_GROUND_TRUTH,DEVELOPMENT_DIAGNOSTIC,7
OTRO_DOCUMENTO,OTRO_DOCUMENTO,QR_ARCA_STRONG,DEVELOPMENT,7
OTRO_DOCUMENTO,OTRO_DOCUMENTO,QR_ARCA_STRONG,DEVELOPMENT_DIAGNOSTIC,21
OTRO_DOCUMENTO,OTRO_DOCUMENTO,QR_ARCA_STRONG,SEALED_TEST,1
REVISAR,REVISAR,INSUFFICIENT_EVIDENCE,DEVELOPMENT,606
REVISAR,REVISAR,INSUFFICIENT_EVIDENCE,DEVELOPMENT_DIAGNOSTIC,75
REVISAR,REVISAR,QUALITY_REVIEW,DEVELOPMENT,1
