CandidateId,DocumentType,LabelFinal,Observacion
R000001,OTRO_DOCUMENTO,OTRO_DOCUMENTO,Correo solicitando nota de crédito sobre factura de alquiler.
R000002,OTRO_DOCUMENTO,OTRO_DOCUMENTO,Correo/orden de pago de expensas.
R000003,NOTA_CREDITO,OTRO_DOCUMENTO,Nota de crédito Swiss Medical.
R000004,OTRO_DOCUMENTO,OTRO_DOCUMENTO,"Correo/gestión bancaria, no factura."
R000005,FACTURA,FACTURA,Factura Swiss Medical.
R000006,NOTA_CREDITO,OTRO_DOCUMENTO,Nota de crédito Swiss Medical.
R000007,FACTURA,FACTURA,Factura Swiss Medical.
R000008,NOTA_DEBITO,OTRO_DOCUMENTO,Nota de débito electrónica.
R000009,OTRO_DOCUMENTO,OTRO_DOCUMENTO,"Correo/gestión bancaria, no factura."
R000010,NOTA_CREDITO,OTRO_DOCUMENTO,Nota de crédito Brinks.
R000011,TRANSFERENCIA_ANTICIPO,OTRO_DOCUMENTO,Solicitud/gestión de transferencia.
R000012,OTRO_DOCUMENTO,OTRO_DOCUMENTO,Correo solicitando nota de crédito.
R000013,OTRO_DOCUMENTO,OTRO_DOCUMENTO,"Correo/gestión bancaria, no factura."
R000014,TRANSFERENCIA_ANTICIPO,OTRO_DOCUMENTO,Solicitud/gestión de transferencia.
R000015,TRANSFERENCIA_ANTICIPO,OTRO_DOCUMENTO,Solicitud/gestión de transferencia.
R000016,TRANSFERENCIA_ANTICIPO,OTRO_DOCUMENTO,Solicitud de transferencia por complemento de depósito en garantía.
R000017,COMPROBANTE_BANCARIO,OTRO_DOCUMENTO,Comprobante/boleta de depósito.
R000018,OTRO_DOCUMENTO,OTRO_DOCUMENTO,Correo solicitando nota de crédito.
R000019,NOTA_DEBITO,OTRO_DOCUMENTO,Nota de débito electrónica.
R000020,FACTURA,FACTURA,Factura de servicio eléctrico Edesur.
R000021,TRANSFERENCIA_ANTICIPO,OTRO_DOCUMENTO,Correo con datos/solicitud de transferencia.
R000022,TRANSFERENCIA_ANTICIPO,OTRO_DOCUMENTO,Solicitud/gestión de transferencia.
R000023,OTRO_DOCUMENTO,OTRO_DOCUMENTO,Correo solicitando nota de crédito.
R000024,NOTA_CREDITO,OTRO_DOCUMENTO,Nota de crédito Swiss Medical.
R000025,TRANSFERENCIA_ANTICIPO,OTRO_DOCUMENTO,Correo con datos bancarios para transferencia.
R000026,OTRO_DOCUMENTO,OTRO_DOCUMENTO,Correo solicitando nota de crédito.
R000027,FACTURA,FACTURA,Factura Swiss Medical.
R000028,TRANSFERENCIA_ANTICIPO,OTRO_DOCUMENTO,Solicitud/gestión de transferencia.
R000029,NOTA_DEBITO,OTRO_DOCUMENTO,Nota de débito electrónica.
R000030,OTRO_DOCUMENTO,OTRO_DOCUMENTO,"Correo/gestión bancaria, no factura."
R000031,TRANSFERENCIA_ANTICIPO,OTRO_DOCUMENTO,Solicitud/gestión de transferencia.
R000032,OTRO_DOCUMENTO,OTRO_DOCUMENTO,Comprobante Swiss Medical distinto de factura.
R000033,FACTURA,FACTURA,Factura Metrotel.
R000034,OTRO_DOCUMENTO,OTRO_DOCUMENTO,"Correo/gestión bancaria, no factura."
R000035,OTRO_DOCUMENTO,OTRO_DOCUMENTO,Comprobante Swiss Medical distinto de factura.
R000036,OTRO_DOCUMENTO,OTRO_DOCUMENTO,Correo solicitando nota de crédito.
R000037,TRANSFERENCIA_ANTICIPO,OTRO_DOCUMENTO,Correo/solicitud de transferencia.
