Variant,Scope,Actual,Predicted,Count
WORD,ALL_STRONG_LABELS,FACTURA,FACTURA,825
WORD,ALL_STRONG_LABELS,FACTURA,OTRO_DOCUMENTO,3
WORD,ALL_STRONG_LABELS,OTRO_DOCUMENTO,FACTURA,50
WORD,ALL_STRONG_LABELS,OTRO_DOCUMENTO,OTRO_DOCUMENTO,23
WORD,INDEPENDENT_EVIDENCE,FACTURA,FACTURA,671
WORD,INDEPENDENT_EVIDENCE,FACTURA,OTRO_DOCUMENTO,1
WORD,INDEPENDENT_EVIDENCE,OTRO_DOCUMENTO,FACTURA,39
WORD,INDEPENDENT_EVIDENCE,OTRO_DOCUMENTO,OTRO_DOCUMENTO,23
CHAR,ALL_STRONG_LABELS,FACTURA,FACTURA,814
CHAR,ALL_STRONG_LABELS,FACTURA,OTRO_DOCUMENTO,14
CHAR,ALL_STRONG_LABELS,OTRO_DOCUMENTO,FACTURA,52
CHAR,ALL_STRONG_LABELS,OTRO_DOCUMENTO,OTRO_DOCUMENTO,21
CHAR,INDEPENDENT_EVIDENCE,FACTURA,FACTURA,667
CHAR,INDEPENDENT_EVIDENCE,FACTURA,OTRO_DOCUMENTO,5
CHAR,INDEPENDENT_EVIDENCE,OTRO_DOCUMENTO,FACTURA,41
CHAR,INDEPENDENT_EVIDENCE,OTRO_DOCUMENTO,OTRO_DOCUMENTO,21
WORD_CHAR,ALL_STRONG_LABELS,FACTURA,FACTURA,824
WORD_CHAR,ALL_STRONG_LABELS,FACTURA,OTRO_DOCUMENTO,4
WORD_CHAR,ALL_STRONG_LABELS,OTRO_DOCUMENTO,FACTURA,51
WORD_CHAR,ALL_STRONG_LABELS,OTRO_DOCUMENTO,OTRO_DOCUMENTO,22
WORD_CHAR,INDEPENDENT_EVIDENCE,FACTURA,FACTURA,670
WORD_CHAR,INDEPENDENT_EVIDENCE,FACTURA,OTRO_DOCUMENTO,2
WORD_CHAR,INDEPENDENT_EVIDENCE,OTRO_DOCUMENTO,FACTURA,40
WORD_CHAR,INDEPENDENT_EVIDENCE,OTRO_DOCUMENTO,OTRO_DOCUMENTO,22
