FamilyId,Count,Errors,Factura,OtroDocumento,ErrorRate
F-2225E7482E0C1A2CF093,17,16,0,17,0.9411764705882353
F-319491FEEAF6386D99BD,7,7,0,7,1.0
F-FACD83D8B4281A05571A,208,4,185,23,0.019230769230769232
F-99F7A3F5F30B759FC1BA,4,3,1,3,0.75
F-0EE887752345887B2F4F,2,2,2,0,1.0
F-F005EBB69A8DFBD56F0B,2,2,0,2,1.0
F-108FF89DFB4EC29C3343,4,2,2,2,0.5
F-17D8887E1AFD322C7FBE,4,2,2,2,0.5
F-19E3E2219E79C363F63F,5,2,3,2,0.4
F-38536FFE21B52E182513,1,1,0,1,1.0
F-38BC11F2F1438B7B9147,1,1,0,1,1.0
F-64920D3701B1A613ABDC,1,1,0,1,1.0
F-86BE3E411093F2089A3D,1,1,0,1,1.0
F-8A2E5C33616E9AAE14BF,1,1,0,1,1.0
F-E8D73DC2FE1F519E363D,1,1,0,1,1.0
F-F47B73E9F9F7F5973BEB,1,1,0,1,1.0
F-22D8B0B2BC197D116017,3,1,2,1,0.3333333333333333
F-E311D094CEA0C30D422D,3,1,2,1,0.3333333333333333
F-DCC01CD6C3861C7E4C3E,12,1,11,1,0.08333333333333333
F-EFE6E9C595B24436566B,12,1,11,1,0.08333333333333333
F-463F5D66BCFC1B95B4F2,104,1,103,1,0.009615384615384616
F-EE08C7103D2458E54189,178,1,178,0,0.0056179775280898875
F-6F5CAF1E1AEEB43C5486,82,0,82,0,0.0
F-127BD2FBDD2CC031C0FE,18,0,18,0,0.0
F-C4EFEA98CD9D9490E678,16,0,16,0,0.0
F-239031FB24D11A1289E7,10,0,10,0,0.0
F-A69FDECE53AB69CF1845,8,0,8,0,0.0
F-52A8D3E535639BC9066E,7,0,7,0,0.0
F-78FBBC0583221AAC5789,6,0,6,0,0.0
F-8FB0C271F20EAB3092AA,6,0,6,0,0.0
F-66FEEC36CB99F857D1A9,5,0,5,0,0.0
F-73AB37D8D5F65AA437FE,5,0,5,0,0.0
F-C04B37B1724168DE2084,5,0,5,0,0.0
F-D591D778E05641FBA116,5,0,5,0,0.0
F-EDBFE59229E8571451DD,5,0,5,0,0.0
F-236B043AC3F54D78C0B5,4,0,4,0,0.0
F-4282D891EC4146496CC2,4,0,4,0,0.0
F-DC0A2053B5A530D4C5EF,4,0,4,0,0.0
F-77DF7B7AF18627AF7CC8,3,0,3,0,0.0
F-832328D5B6CC43C2F3DC,3,0,3,0,0.0
F-A63645627CE2D9A75BE5,3,0,3,0,0.0
F-A8BC10D011EB3739972C,3,0,3,0,0.0
F-BD443D8161F24BFCB109,3,0,3,0,0.0
F-FC0763B62EEE2F9FCCE8,3,0,3,0,0.0
F-0DDB74E82CF65D655CE7,2,0,2,0,0.0
F-3011CA8E0F20D09184FC,2,0,2,0,0.0
F-32D29C25B87BCDD5D9A3,2,0,2,0,0.0
F-3BA8B67ACD3C697FA8AD,2,0,2,0,0.0
F-4426261E80B33B17CD1D,2,0,2,0,0.0
F-7D0D437DDC69268FCFC4,2,0,2,0,0.0
F-A26E6E68BD787A625DC9,2,0,2,0,0.0
F-CD94A06EDDC7590F7145,2,0,2,0,0.0
F-F8EBECB216D6C0D8E1BE,2,0,2,0,0.0
F-F9F97E5234AB53CA8EDD,2,0,2,0,0.0
F-FC411F149001282E7254,2,0,2,0,0.0
F-077C308A7FE5C91A2133,1,0,1,0,0.0
F-12600531E9602D88F9A3,1,0,1,0,0.0
