Sha256,FamilyId,Fold,HeaderAsset,HeaderSha256
002865257C71829F722158FBCEDB282C220108C3B1CE07E08876E80BAEEA8EB2,F-EE08C7103D2458E54189,0,E:\RecepcionDocumental-H1D10A-assets\002865257C71829F722158FBCEDB282C220108C3B1CE07E08876E80BAEEA8EB2.header.png,1CE5ED13E0D3CC858060FDFBC19B7CE6C0EBFC3F390944B95B53BB378409F54A
00A887F58DB25495DFDE02D1BD1530CE321427ECC08F8EF1E62853BF1C219A6C,F-FACD83D8B4281A05571A,1,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D10A\assets\00A887F58DB25495DFDE02D1BD1530CE321427ECC08F8EF1E62853BF1C219A6C.header.png,E3C6DD6304B2D2568BBEED0F078BAC110AC349BE8C89848BF772980D3C381191
010343D4BCC6C1DB12C1129F149212B97C69C10242840BC5A303CC7B4AA87BAF,F-EE08C7103D2458E54189,0,E:\RecepcionDocumental-H1D10A-assets\010343D4BCC6C1DB12C1129F149212B97C69C10242840BC5A303CC7B4AA87BAF.header.png,30283FB179E7CD5276E9507BDE8E6B1D5814D4019DEBE225EDEA427C1688DCA9
014E2ED703E7699D11564EA3DA8C3C759890653A8AA43818519F760562AAD8E9,F-41390C2275426E0851C1,3,E:\RecepcionDocumental-H1D10A-assets\014E2ED703E7699D11564EA3DA8C3C759890653A8AA43818519F760562AAD8E9.header.png,935A12234DFB0F971E6C24459E2F36105E968307F0EA4C8B6B158F4300FDF4A6
01CD21BA921CF3E5B71026D0B35F0455C59E2D2B5B1FCC67BBF6E18173662A57,F-17D8887E1AFD322C7FBE,3,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D10A\assets\01CD21BA921CF3E5B71026D0B35F0455C59E2D2B5B1FCC67BBF6E18173662A57.header.png,5841D235520693477AC2E1A2CD780D20B35800482D9974101C7D4C229D2EAAF3
02481C9D2568B71F8E7C312C9750A2574BBC113DA725E94DF93185829AC84A79,F-BD443D8161F24BFCB109,3,E:\RecepcionDocumental-H1D10A-assets\02481C9D2568B71F8E7C312C9750A2574BBC113DA725E94DF93185829AC84A79.header.png,06DFBBFB281A80744A4EDD9EF53C497E5147A727946293AF689E6553C030451A
02656E7BEACD36FF1D29B09DB3B935C87A2031DBB0AC01CB7FB6EF3190A013A9,F-463F5D66BCFC1B95B4F2,3,E:\RecepcionDocumental-H1D10A-assets\02656E7BEACD36FF1D29B09DB3B935C87A2031DBB0AC01CB7FB6EF3190A013A9.header.png,1E4490F35A3FA6B195B6A160B6E2CF03828133DF2D724F072F6B0DF89D21A9D2
029212DC679C033902FE2CC264F3CAB6C223BB8366CB0FE8E61BF5329E85FACE,F-FACD83D8B4281A05571A,1,E:\RecepcionDocumental-H1D10A-assets\029212DC679C033902FE2CC264F3CAB6C223BB8366CB0FE8E61BF5329E85FACE.header.png,1329B7C7F8E6CFCE00298B6361E73C69E95DCAE344ED06D822C78DC798A1F482
02E98A8346DE804B23DEB7F869E8DA197E5631C1064A63EA74D3C0B0218FFB06,F-49A5021ADC5A10C6DAE9,1,E:\RecepcionDocumental-H1D10A-assets\02E98A8346DE804B23DEB7F869E8DA197E5631C1064A63EA74D3C0B0218FFB06.header.png,DABC47392DE3DCA20D346151DF09DDF04FA117CA24DF34507066311F6A1890E7
030110C4EECAD8AD99A6AD1A53873B11A63BAD1F04245E5725E05682FCC5D4AA,F-FACD83D8B4281A05571A,1,E:\RecepcionDocumental-H1D10A-assets\030110C4EECAD8AD99A6AD1A53873B11A63BAD1F04245E5725E05682FCC5D4AA.header.png,8FC4A12FC27AFEB1BB1A6BB724E9CD4B61681699CC4247C4513A4894F960FCE2
