Scope,Variant,Actual,Predicted,Count
AllStrongLabels,TEXT_ONLY_WORD,FACTURA,FACTURA,825
AllStrongLabels,TEXT_ONLY_WORD,FACTURA,OTRO_DOCUMENTO,3
AllStrongLabels,TEXT_ONLY_WORD,OTRO_DOCUMENTO,FACTURA,50
AllStrongLabels,TEXT_ONLY_WORD,OTRO_DOCUMENTO,OTRO_DOCUMENTO,23
AllStrongLabels,HEADER_ONLY,FACTURA,FACTURA,698
AllStrongLabels,HEADER_ONLY,FACTURA,OTRO_DOCUMENTO,130
AllStrongLabels,HEADER_ONLY,OTRO_DOCUMENTO,FACTURA,60
AllStrongLabels,HEADER_ONLY,OTRO_DOCUMENTO,OTRO_DOCUMENTO,13
IndependentEvidence,TEXT_ONLY_WORD,FACTURA,FACTURA,671
IndependentEvidence,TEXT_ONLY_WORD,FACTURA,OTRO_DOCUMENTO,1
IndependentEvidence,TEXT_ONLY_WORD,OTRO_DOCUMENTO,FACTURA,39
IndependentEvidence,TEXT_ONLY_WORD,OTRO_DOCUMENTO,OTRO_DOCUMENTO,23
IndependentEvidence,HEADER_ONLY,FACTURA,FACTURA,568
IndependentEvidence,HEADER_ONLY,FACTURA,OTRO_DOCUMENTO,104
IndependentEvidence,HEADER_ONLY,OTRO_DOCUMENTO,FACTURA,49
IndependentEvidence,HEADER_ONLY,OTRO_DOCUMENTO,OTRO_DOCUMENTO,13
