FamilyId,Fold,Documents,Factura,OtroDocumento,HeaderErrors,TextErrors,FacturaToOtroDocumento,OtroDocumentoToFactura,HeaderErrorSha256
F-6F5CAF1E1AEEB43C5486,2,82,82,0,41,0,41,0,0431F3F0FA33A87F05475A197FA40165963F462ADD5E0D0F14743141B23F8ECF|04644AFCA0FD83E0BA9F4699895C76D10FBDBA2FE57B9695DC20E8D7B05F23B9|0AB443B8A71B5F8C9B777E07D78DD56EC3BBE75E0256202DD5FADA760E576D9E|0AFAE9C55C04A213F0388C634CABAEEA4C9A02686A7B1F8D6CAEF6585DCD3498|1755304EBD124B8B4E1309831FBEB3F6EE40934A39AC4CCF8C158A506F931EF1|17F70ACA0C08EBBB8F9BDC9AB4A180DF161AB6F073AA8057FC19989E0080C69F|2CA999327575D864D33380273D2641121C3430B06EBEB1396C57028AD278AEC0|3092DDF93D9023B2543787913A5DDCC17FC96A0ED1BF136611598370CF62B700|3765EF04A08EF343D7BA682872B73AB2DCF411C869827A9BD7424C24F97843AD|3AFB2CE63233BD208F616BCA0151C49963AEBE6E6790383E5EDDE99C80320D70|4163E743E2FA7C2CD9859CCDD46B04043AFBB1E94B572FD1C70445335FD25920|49FDA5198B54793806B0C74BE9E1E67D17DBE8E5D8627FC67439E4122958A15C|5433BB3791112F1C6C698255943D3E43FBC529FEC610FE1D25FD1D83CD921FC6|671095A2ED870416638D91130E56FEB62CED369C2B40CF13D8A3685EF542C9C2|6E87835328F15BFEB50D7BE61B069A1C3E18312B37B2AD241FC3B3D5B3669957|807889899EF0AE2BC479CE4CBA9EAE6C794B3C60373BD877FCA07C69C07B7AE3|8A16B64A261F811B055D7C178CEFC6DE556D9EA6E4F88FAE4906ED7DF4A17D8D|8C634F1729311C6FB2EAAD3576538AD1DB5FD4A53E696C4CE0CDA7E48A9765D8|8CAFBC6765404E297608AB4687884CA06F82332097FF1D3E8B9313AD1ADD5A88|9A4E64C46A21F76C881907BBE1648F5700C42A24EFCB8257BA7244BB01A0CBA9|9C18A5DF27D90556C236651C9E32EE1BD4DAD8D191218BBE8F932CF45131DB46|9EB38CEA6E16E710A4E5B014188A0DC4835DD1FBAA413A03598D80E848C1387C|AC7F51DCC99C3BC48F1274A5EB79215443AF73810C32D0DBB5F765BBCB40E660|AFB2A16FE5967F1096CB2532D6F726831A460843CB1618E3F75A29899EF26F3D|AFD94A7738464B799D40D6192E9DD1BEEC6A0D45A535AACFA3EDD16D0B16F057|B2997181C2966B7D939278DE583E1C455291A7919335F007B8E7502E8FF7BED6|B44251C89926FF5181BC892C404BAF4F11E48626212A6C970A5D7DDEAEBF3CA6|B84A772378756B6314CFD7C847ED11E8ED0969129EDEC4C4AB968DFC4819F7C8|BC50881D0FA286197EF00AE2A783C5F35035D52AB8D8331389563F71777F200E|BFA345B7F7EFD8A252FFE7A2961BC8491F0CA8088E7FA68D0FFBA8CDDD06C239|C286855F489A0EF1D75420C90BA90D7C7F7357631A50F2B6239F2E888FD0198B|C6FA29FFDF0C2B39FE22AA6A5DF8FDC4C215B1DD849C481E4EF56978B614EAE2|CF8EE0C26F214C226A853C81CBE52E96BF760B42197050F3726F7344891B269F|D47F13C4D81C5BCE308D5DCB445BC07C07CC2768BC801833B8C24EDE0B3038E9|D5957D9DF6DF9855CAA5CE947E569B66D4ADC253C00A000A2FB29FD88DA8B763|DC76A86B9B4E3732696B023C9D019C6DC29B1D74D19F0CDF62FA4EDAD0E8A5EC|DF98804B89AEF5F3D70700572F75630F33F42F33BACCEF62A0C7456066E94BFD|EDC98B31AFA7DF61EF661801826D24693949F1D02F83E01A2A44D99732D13B50|FB6BEE8F1D8BD758963C91213EA224344D076A9890EAE4D598AB4E5EB97F7FDF|FD719D239382ED1035085A73A2D28E113F954055440BA249D36B363204CA6DDC|FDCDEAAD3737F44D2E52B6D87E7BB584722551A7E913238841FF96D33A7FFE64
F-EE08C7103D2458E54189,0,178,178,0,38,1,38,0,002865257C71829F722158FBCEDB282C220108C3B1CE07E08876E80BAEEA8EB2|030126CE7D614353FF03F90C126B6D2C3746D913B36523810DF4F1B51326D882|08EEB31E5FEA01CB1869C83A1C0AC14004D08320B9D98369B045EAFB33798242|0DB5D3275144FC50576194C8BE14F91BC04EF15CB58334D123857D8A15200121|0DDD4740926665B1F2CA1C85C2F251ECBDC8D72EA9155909898B72928455C029|15017A95CAE592FF03AC85B9E98A3F558AC8C2B2382DE89708D086F963B8F662|18662EDEE4B4C711C1906E7CE4BE366A758A1188B97E161AF48336D6A3DBAE48|21260D1DEB9F5FC490513022E1FD91F7B583EE94863480B42371917D5BADB457|2537FDF817D544D0E6993F9039C282B601828BF4030072FE60AA952C6CEBC923|2F1D5E06F79A2F76079B037BAE6E3568CA2A2D1D4067A73E128B063D1695C71F|2FCC1BD1A06E86082D591E36E506D1FA40D760EFC1B21FE4C217B4E322C6C14A|3B3B2B7D2CD031EE37963465FA692B212B53D70F89D1BF8E20ACA17B0730AC3C|3BDB07DE2B4E3291CF884D0419933E905F79C6308B832D1062A765F933BE2EA4|3C08823B6BEB2AC058AE85C93E20880C1789256E78F5819F739BEFBEF32C12B1|4C6685A365CC99C51CBC8FE312A2F0063C627408D4702A1EAC4CEED67A7C4013|4C6BB600F039C52142DBE8128A7FD69A7D65E92612AE30CA9125B97C47207C0E|557A3265646934A29349CB572EF71904CF6A1A226E38B80EBD82882136E4A99F|5735D4ECD8C02AEE2805F44503136E2C27365A75607716CC0391313DCEB6519E|7F7A01F689D121007DF3C9E807D55E966E785B4D8CAABB94AD8FBA25C27225F4|83814C2B24AE7A9CBB3110CF8C52F97E83B59540DDC596AF8F9A34DF483EAA65|8804BD85592572AD09BC337FBB10D3AF7DAAE81F939A9ADE2BCAE8B43DBCFEC3|8C45A084C0817A7DE45795105801B0C920364BC89F5DEB24DC52FEEF4BC7F17B|8C890D179D935AA3A1AE6E7063C8092384A4776D5709A94D6FDA0BE102F7DF46|920E2C2CFAD19BCFEF234DE870443978D3779498399D7AE818167099775D713A|92BFEC9ECE7286787335775B1094ECFCB2C3109923B99EA70FEF48F100F7824F|95163FEC1BD2F3B4D199C764E42F2B6343270AAC8E142CBF8A7CEC976D87FE34|963E9941D8D3A90BDACCFDDA949B7EEDD535A2ED456FA063B67893EC4D759786|9945BBDC4DD33F425D4878C2F17FD844168E1F483FE51F229EF5A019C7E4AFB6|A1F9B06618E591EB2B3C76518F428FB788547CC1AA53E9544A4A11980A206B57|A6AD364B22617D413C3D16E1E057C22B686A19E8B85F6EF90F69BB3E880031C2|CB3F881168E39D42F2154112BEFFC872F79A0F1E34F6E9C1939842604C61CA62|CBF2C5E3D3358E302151CED6A4FA4397E6E7656E3D8B5A494F458C3DD20F0286|D5A928540B4295A42FCF5B310EB45330AD6A407D3A188D3E5C3A05BA49112712|DF9A5A317396F2EB09F145A8BC30BF1CA3420C9B185FE1F3A7377B9342F66C88|EA20BABFAC6D778461BFAFA2DE072720F8EA92BE874D3D6B4B1C39E421274D8F|F1ED5614878958FA3F8F6FE4EC67586AED7BE453B74BAF85343B51C660276FC5|F75C4C0B9CB0F5C9DC73516970C0A96A09EDC1141F2EED9968A8CEF0786DA72B|FC7CAABF0DC37DA0008DAB21CB11879C300FEF215B2B69DCC0BD08081358CCFB
F-FACD83D8B4281A05571A,1,208,185,23,27,4,4,23,03CFBE47B1C87BEFC324BB99462C1A6722B7E29C5EB61D17AE8AB0C4A60F5AF3|05C329DF72080120239DE88AA85E91D6F089D1DAA1A7F59B8E53C60752CF1D47|086C3868153984B80A9CF8E533AE3DD3D9A1E3AA0CC74EECF32A469E89112AFD|166589FEDAA33D952D81A337E8B61F2BA518F0302A237C96E8E96DDD61F7A5B1|167AC28EE4C9F156D7A730F3269118C5AD78B7F582E3FFC178BCB3FDB0A11DF7|201C2EF248B3E04F47F214E95A8360183B42A01E5B635FEAA9E07529A8C328CD|41FA873A1F07397324194D528955075ABA1D624A6B9FC0141D8DF96C9FDC382B|446E0501DAAA8C0D2C03D8A2264B06451F4B3EFA0B5D3E22D20EB5C0FA84A76F|53CF129FB285C10306585C4D401463DB0CD045CD0DC8A0FF1B487FBBC4A1AFC5|63F5F3AB045C5B5F66EA108111298A47D3D35401D9F776570A886AC745108D3F|6403BB9E343E7ADC6832D9FEF0B238A5C7629934B729B49930D5EB612D45A237|689B7BBF501134FEE362293BF2BFE282BFAF1D3D456B47AC2C5C1CCAB5FA15C4|6EE583A0329BFFE2CC0604B2DF470F2E9E8A3A491ABED3AE58229C122955C824|70183B71AFCE11898A3EBCFC447FF1DA5F4FCE6AE346AD66A7BFB03C5841D4DF|7369DF302D07631A98454113785F530B862A7D556083C9BCE2A378E733A259D1|7FCBBC7B3E14E41EFA2F05C0FFC31F73B74BE9AA4754A639AD303E1AB0092CCE|8E35C151859E5F6C0FE0F2832287604CE4EB800330CF83D4885A59869028FF43|9801EA3DCCCCE81A20C1A1FCA6BD057BE02056D5F6AF7568416C159F8EA6F42C|9893646420FB567085B74B4A937F0D07B988E41AE80615EEA9A62DBEED6CDEB1|A0A5960905B6EC78058181CCC8AC0CE5CC894945AB6D97889A599934D2BE636E|AD2799635E27A7E0E1451185C9AC53A3007944660C2909B4A3901B48049DFC74|BAD58EFDAD38F78981FFC549AF4B2F8E08A05F91717C17C0926AD6E832356563|C92C0422097D51A3D93193E6CF419568C35B45B68AE7BA0E8F044DAA781BDE27|CCFC8856B2EE75B258F83A9BD8D590012639F2C3E9281B03568D96D0692E4D9A|E8C278DBDA744A0F50B779C7A63DD07DF32F4DF3C5E6A278F59FADD4D7D7A128|F443E494D46E40F1F5B004E0BC03FDCF866CA452BA358FAA128DE88FD1A1BFF2|FF045409E4708976F60CFA2E5A97D7A99302672D09D4EFB989C13B04774ADCEF
F-C4EFEA98CD9D9490E678,2,16,16,0,16,0,16,0,1F6BE1B36C93128E6A23A08F969662219FCDD157D6A9C688764E6E854930C6F1|2787E009D455BB9349B6DAE6AD30482AE9F045E858EA0D1A1CC922A6E5144B79|482FE95EC69B26D675ECCC8CAD33E1F65629851E9FE52FAE21311797A3F14305|4ABBCD0BF700A718BFBEF1383B80C543F01B890D7340660A17CCFAF33905641D|56858C64366FB3FFEEF5EA8BA03E748B96127B3D10B9F438CAC2689CAD93F41B|570B8BEFF92D86C450B35A0A879B847D9442F48BEB042F9C6AD00BA12E502867|60558219ECCEAA2E0CC16BEF0AA57528D8111AF668CE04DD850611269578D101|6B96BB1E1D807BDFD4A12F5631C2176A155EE44DAA9B974BA349414248CE8938|6D6E1AA48E6C44FD43EF2352B4C1F3D017BC787D0C043C49EAACDF1BCF531B22|6E223B3FB776EC499C1079BF9AF95E4CAA33950DD34CBC577C446F8985A308EA|729AF3D6447EC31F5F02AB12E6FB6DD6CAE910EC2C50B43FBEBFECB00678E4B0|AAA58F0519E8973AF3E81F35297B296B0C1596C01E87249708FF250200CB4755|C4F20F86104A25A042C17226A58FE4A2904FF327D27396E512BFB9855A181AB0|C9E46A38A0109D9C87D2CF516D39DF2B685B99E66F6EE09830A75CB7A8A11495|DB4D29DFEC242149E7DEB2C674FB7A28625901B96391CC68D2F99F59A56FA6C7|F36DDC207A40D81075D8AC15AFEE80E857697E22529B6126925EF8D73DC72A5A
F-2225E7482E0C1A2CF093,2,17,0,17,9,16,0,9,152604FDE489F58F0995B33FDBFBEF849D1187861D9A30592C95908147F52349|305D8D5FCDD8153B4D7860ABD3DA30A0DEEB2A5FE84A9E26D4CD34F6D700C59D|322C40B36550B0F7D0049DA637513996B1C31F8F06C0B448E9EC872F4E972F4B|6AAA6E56A668CA470CE59A1DA0E3208162A408FD1E83E1DB80551F50B08F7631|842594336FD1FDF9801D6F0769960B24152213A2368F5E5E330F898639CCCB13|BF3C8B6E0629580CD73B07E38158B2BAC03A920BD9965548A236F02203849DB0|E4EE7B924E36DAC149A0DE6D3A14BDF33EF1EC5E95B862558B80009E2B4C6E40|EE17F17B2E3BA04ED99337FE93B2F9107CF18A58C93502F0BF6938D7EBBC0185|FEF50B26E0EABF3B4D805C219F18D4B4952805C3E1426AAC76B536A9EE0B8538
F-319491FEEAF6386D99BD,0,7,0,7,7,7,0,7,350F46F213C2653AB83900D15401209105B5455FBAB65315DC8B591F08CE62F2|382662294B57C459DB9F1231FE0503A77176D130F8EA1BFB709132C3115F1A49|49AAE2D8D5826364B7C42B76AC987D080A47C6BDA17C7F7B32E6233FF452180F|AFD04E98404202094A303416378E65BFF378DACC29438FCCB31F15E5DA76A62D|EF7D8D2B6EB1DA2009EE2C414B127F6EA6B1B2EE8A71CDDE5D494B88BB7021E2|F20FB9FCF93C82B0A97A7A67BFE6F5483C480F94C937353FCAE85095E78B4D30|FDF0C9EACBFA6ADCDD4D8E651C451A9CDD65DBF7E8628426FA9C87F73F978DBD
F-D591D778E05641FBA116,2,5,5,0,5,0,5,0,340AB65A0BFC66875EFA6C40EA968ED8EBF7B7E2A131262BAA9E97DFC5959B4D|B46721DBF0CC1963B2C57D5D4C35252EEC8B7C40AA9B65F00B72A5A0AE888BA5|BF29AA335807B8772722D77E8BB1A6FFF97439E4C538B4E8487ABADED18B3E1E|CA14A4C3BB942C93600EBD048A66925B35F6189FFF084EE4AF994D09603804F3|DDBE1DD162D9C24A450E389593D498CD4910C291C70F8B233500F851987A8C59
F-77DF7B7AF18627AF7CC8,2,3,3,0,3,0,3,0,09CB14F715B5C41BB9EF57C4DB54A53397E380B9647D9DF3125089BF05529B3D|849C6ED1AD7AF7C311AB235C076CE496C3E2C6EDDC49C89E71131948C2006E88|DA11050BCD5399CFE1C38C68BE43E4EB616BA34DEF9C03A1F2D697BC2FB4CEA6
F-99F7A3F5F30B759FC1BA,3,4,1,3,3,3,0,3,372A1456ECBF9BE8FC3E552C09E78AE5217E9A0082972A7743403C6619C5A16C|63D1DB74D405C58FC6B148A98498E2351418A24343D9326C5EB42A6CCEC42A4A|69F92D3D10F2BE9527CE3AA19F22635B987762F8663A4A61550B7791C9813E44
F-0EE887752345887B2F4F,2,2,2,0,2,2,2,0,48942984669CD296B57DD449BBBF23B3111EC4EFB58470FF24429BA455660E88|C66AE5D0BA9546144237F3ED91AA92D98D806F940E4D3B863AD114692FFD1AFA
