Path,Label,GroupId,SourceType,Sha256,Split,OriginalPath,Diversity
Corpus\NO_DOCUMENTO\8f6cd87791de_I0066_image034.png,NO_DOCUMENTO,alertas-infraestructura-srvedms,IMAGE,8F6CD87791DE515777752DAA95C010EB45B43DFD9348A6AD6110D4325615EA00,,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2i_Imagenes_Historicas_Revision\_candidatos_locales\I0066_image034.png,REVIEWED_BATCH
Corpus\NO_DOCUMENTO\0a580fea09de_I0125_image002.jpg,NO_DOCUMENTO,branding-avon-natura,IMAGE,0A580FEA09DEB190DE1B8FCECAECE18D82D97ED106F75509B1CAFE5475D16253,,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2i_Imagenes_Historicas_Revision\_candidatos_locales\I0125_image002.jpg,REVIEWED_BATCH
Corpus\NO_DOCUMENTO\4aa692a94759_I0006_image001.png,NO_DOCUMENTO,branding-bunge,IMAGE,4AA692A94759E1F431C7F170D7194BD10D99DC221BB5B63BD9A9654AA70A7515,,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2i_Imagenes_Historicas_Revision\_candidatos_locales\I0006_image001.png,REVIEWED_BATCH
Corpus\NO_DOCUMENTO\cebd40381759_I0023_inline-1.png,NO_DOCUMENTO,branding-correo-argentino,IMAGE,CEBD403817596F810B3BB9DCECB123713E7BC8788B8B6DDD32DF87CEED97D03A,,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2i_Imagenes_Historicas_Revision\_candidatos_locales\I0023_inline-1.png,REVIEWED_BATCH
Corpus\NO_DOCUMENTO\2af9de4caf9b_I0106_PastedGraphic-4.png,NO_DOCUMENTO,branding-meteomatics,IMAGE,2AF9DE4CAF9BB15F857FAE3B9E6DFEEDD831219A156B978E43FF62BC315266C6,,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2i_Imagenes_Historicas_Revision\_candidatos_locales\I0106_PastedGraphic-4.png,REVIEWED_BATCH
Corpus\NO_DOCUMENTO\72047867c764_G0005_inline-1.png,NO_DOCUMENTO,branding-personal,IMAGE,72047867C7642F6358837C0F9867C83F915A29366A6B64C6508DCE8FEB356E85,,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0005_inline-1.png,REVIEWED_BATCH
Corpus\NO_DOCUMENTO\a881a4460a42_I0009_RenaperLogo.png,NO_DOCUMENTO,branding-renaper,IMAGE,A881A4460A42E2C5B06E833B3B6B6A7EE43EC358EDBDB48C3B3BD7B7F6643710,,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2i_Imagenes_Historicas_Revision\_candidatos_locales\I0009_RenaperLogo.png,REVIEWED_BATCH
Corpus\NO_DOCUMENTO\09fa512d0268_I0007_image002.png,NO_DOCUMENTO,capturas-error-edms,IMAGE,09FA512D0268E721B912C8D816EB01D29B16E440ADDC96B967A462DAAAF784DA,,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2i_Imagenes_Historicas_Revision\_candidatos_locales\I0007_image002.png,REVIEWED_BATCH
Corpus\NO_DOCUMENTO\31089a698a1e_G0025_image009.png,NO_DOCUMENTO,capturas-sistema-posicion-consolidada,IMAGE,31089A698A1E82394B3667FE64BAF03D2A775892EF73B04FB9C439A916E5CC2A,,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0025_image009.png,REVIEWED_BATCH
Corpus\NO_DOCUMENTO\3542d120b313_G0024_image001.png,NO_DOCUMENTO,capturas-sistema-posicion-consolidada,IMAGE,3542D120B3139DB932D4DFB7A8D23F072F1FFBEBD924C55AB6494B68851BD418,,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0024_image001.png,REVIEWED_BATCH
