Sha256,FileName,Expected,PreviousDecision,PreviousCorrectWhenDecided,EvidenceLineNumber,EvidenceLine,AdjacentIdentifierLine,StrongTitleAccepted,GateReason,D1cDecision,D1cResolutionReason
1C4DB25AAC0A169B26D121DF0992AB546E8D487A74FD1E45FDEF3490F3708601,Z001023243325.pdf,OTRO_DOCUMENTO,FACTURA,False,3,ECONOMICAS FACTURA DE CREDITO,,False,FACTURA_NOT_IN_TITLE_POSITION,,NO_DECISION_SECONDARY_FACTURA
2D43B3648B73EFBB36772933B8ED7CE0CD779C0945E776A136EC6123FA5D5551,Z001023243329.pdf,FACTURA,FACTURA,True,25,FACTURA Ng 00007-00001955,,True,EXPLICIT_IDENTIFIER_SAME_LINE,FACTURA,FACTURA_TITLE_ONLY_STRONG_POSITIONAL
31371F0EA09BFB13ECAECD39B9C36CF70E4662CB0E31F2ABE26B8E74402003F5,Z001023242951.pdf,OTRO_DOCUMENTO,FACTURA,False,7,"Asunto: RV: RV: FACTURA ALQUILER MES 1, E 10662 + NC",,False,SECONDARY_MENTION_MARKER,,NO_DECISION_SECONDARY_FACTURA
34E7190B10DE1060A821BA5B262D16CF469116C53FAA10A487AE71EDA02DE220,Z001023243373.pdf,FACTURA,FACTURA,True,25,Original Factura,A N* 0005-00076675,True,TITLE_LINE_WITH_ADJACENT_ID,FACTURA,FACTURA_TITLE_ONLY_STRONG_POSITIONAL
7943C6EB1641AD882AF8038E05B5F350A7FA8FBE6C2DF3DF90E9004412040FEF,Z001023243375.pdf,FACTURA,FACTURA,True,1,- ARILLO HUGO GERMAN FACTURA,Punto de Venta: 00004 Comp. Nro: 00002843,True,TOP_POSITION_ISSUER_TITLE_WITH_ADJACENT_ID,FACTURA,FACTURA_TITLE_ONLY_STRONG_POSITIONAL
AF9E13927BD6123DA16DE0369AA7435A2892D4D71E8A0B3863F85C6A5E30455A,Z001023242882.pdf,OTRO_DOCUMENTO,FACTURA,False,7,Asunto: RV: Factura alquiler Sucursal Bahia Blanca 016880 mas nc,,False,SECONDARY_MENTION_MARKER,,NO_DECISION_SECONDARY_FACTURA
B68674F3B9393FDE895EBE47421061B41DCE664D2174AFA8C7904CD4324C5124,Z001023243327.pdf,FACTURA,FACTURA,True,20,FACTURA,A00004-00021367,True,TITLE_LINE_WITH_ADJACENT_ID,FACTURA,FACTURA_TITLE_ONLY_STRONG_POSITIONAL
B7004863AED55E481D4397435BD5B06CEA6180397E1059883D51F5D066F1147F,Z001023243369.pdf,FACTURA,FACTURA,True,20,FACTURA ELECTRONICA A,,True,EXPLICIT_FISCAL_TITLE_ALIAS,FACTURA,FACTURA_TITLE_ONLY_STRONG_POSITIONAL
C177CD77BAA5F5587D302FDCC9F5615424F6BCED6057AA300113D6E3A600DC02,Z001023242796.pdf,FACTURA,FACTURA,True,1,FACTURA CRÉDITO ELECTRÓNICA,,True,EXPLICIT_FISCAL_TITLE_DESCRIPTOR,FACTURA,FACTURA_TITLE_ONLY_STRONG_POSITIONAL
D165FB62E80F26847F1F00B1DBD7E949928E56EC5C2A0EDD2FE929E4ABD85CB0,Z001023243377.pdf,FACTURA,FACTURA,True,20,FACTURA,N* 0003 - 00009564,True,TITLE_LINE_WITH_ADJACENT_ID,FACTURA,FACTURA_TITLE_ONLY_STRONG_POSITIONAL
E8066B5FA877947A47862B566C3A752FD1BA514973CD2B01A7AD31803BBDD28B,Z001023243349.pdf,FACTURA,FACTURA,True,1,FACTURA,Cod. 01 0003 00005207,True,TITLE_LINE_WITH_ADJACENT_ID,FACTURA,FACTURA_TITLE_ONLY_STRONG_POSITIONAL
