CandidateId,Sha256,FileName,FamilyId,Split,HeaderOcrConfidence,HeaderSource,VisualReferenceType,VisualReferenceLabel,VisualReferenceObservation,VisualReferenceIsGroundTruth,QrLabels,CanonicalTitleTypes,CanonicalTitleEvidence,SemanticCueTypes,DeterministicDecision,ResolutionReason,GateReason,DecisionEvidence,Residual,ResidualDiagnosticGroup,SemanticNeed,EvidenceGap,VisualReferenceBinaryAgreement
R000099,9D9DCD74FDCADF6E7F394B283EC849B42A5DDB2941D87CCBABC7A7DB6C1D1329,Z001023350216.pdf,F-3FC8E5F62E6BBF083D8A,DEVELOPMENT,0.94,H1D10B_TEXT_ZIP,OTRO_DOCUMENTO,OTRO_DOCUMENTO,"Correo/gestión bancaria, no factura.",False,,,[],TRANSFERENCIA_ANTICIPO,,NO_DECISION,NOT_APPLICABLE,,True,SEMANTIC_CORREO_ADMINISTRATIVO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,"Distinguir la intención administrativa del correo/gestión de menciones secundarias a facturas, pagos o notas de crédito.",
R000139,B74F2DCA315F2C0C20BD3F950FE7D0CDD421C9AB08E1DA4D9B39FBF0A428EB87,Z001023467602.pdf,F-F46647672BE189FABE87,DEVELOPMENT,0.93,H1D10B_TEXT_ZIP,TRANSFERENCIA_ANTICIPO,OTRO_DOCUMENTO,Solicitud/gestión de transferencia.,False,,,[],TRANSFERENCIA_ANTICIPO,,NO_DECISION,NOT_APPLICABLE,,True,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,Comprender intención/contexto de transferencia o anticipo; la mención textual no es un título documental fiscal.,
R000093,1D13477161B6EB6F50A6EBAFE735A74D351D55222F26B460197C1D95EE5798A5,Z001023322781.pdf,F-88C02FEA601F21AC4924,DEVELOPMENT_DIAGNOSTIC,0.92,H1D10B_TEXT_ZIP,TRANSFERENCIA_ANTICIPO,OTRO_DOCUMENTO,Solicitud/gestión de transferencia.,False,,,[],TRANSFERENCIA_ANTICIPO,,NO_DECISION,NOT_APPLICABLE,,True,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,Comprender intención/contexto de transferencia o anticipo; la mención textual no es un título documental fiscal.,
R000021,8CACCA49C1F3830446384AE1E40B0ADE9991E5BF0452601621929CC77DEF4CD3,Z001023454865.pdf,F-44482D15570D2EFCE898,DEVELOPMENT,0.94,H1D10B_TEXT_ZIP,TRANSFERENCIA_ANTICIPO,OTRO_DOCUMENTO,Correo con datos/solicitud de transferencia.,False,,,[],TRANSFERENCIA_ANTICIPO,,NO_DECISION,NOT_APPLICABLE,,True,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,Comprender intención/contexto de transferencia o anticipo; la mención textual no es un título documental fiscal.,
R000025,CF1B0AAD4B633322B50D7FFDBEDBED32C1B7DF11A46EBE800F4AB45DC0B8CDBD,Z001023336745.pdf,F-D1AD771B95B69FD65DF1,DEVELOPMENT,0.86,H1D10B_TEXT_ZIP,TRANSFERENCIA_ANTICIPO,OTRO_DOCUMENTO,Correo con datos bancarios para transferencia.,False,,,[],,,NO_DECISION,NOT_APPLICABLE,,True,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,Comprender intención/contexto de transferencia o anticipo; la mención textual no es un título documental fiscal.,
R000013,A32ECD1BFF857D02AB31FBFE06D1869C3F0497B9D4FF9A69A02E307D0FC33208,Z001023454410.pdf,F-6C00B1F826C0143333BB,DEVELOPMENT,0.93,H1D10B_TEXT_ZIP,OTRO_DOCUMENTO,OTRO_DOCUMENTO,"Correo/gestión bancaria, no factura.",False,,,[],TRANSFERENCIA_ANTICIPO,,NO_DECISION,NOT_APPLICABLE,,True,SEMANTIC_CORREO_ADMINISTRATIVO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,"Distinguir la intención administrativa del correo/gestión de menciones secundarias a facturas, pagos o notas de crédito.",
R000068,1ED61F74F18006764BD6449DD4DFD2A4762E84307C9B3636FB875B1E0D7E9F26,Z001023454624.pdf,F-FD79B9742B962097BA91,DEVELOPMENT,0.95,H1D10B_TEXT_ZIP,OTRO_DOCUMENTO,OTRO_DOCUMENTO,"Correo/gestión bancaria, no factura.",False,,,[],,,NO_DECISION,NOT_APPLICABLE,,True,SEMANTIC_CORREO_ADMINISTRATIVO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,"Distinguir la intención administrativa del correo/gestión de menciones secundarias a facturas, pagos o notas de crédito.",
R000015,3B58AAEBE704B77164E221693C2D296A4476F9D75BE9585F0A2643A003D476A6,Z001023242287.pdf,F-88C02FEA601F21AC4924,DEVELOPMENT_DIAGNOSTIC,0.93,H1D10B_TEXT_ZIP,TRANSFERENCIA_ANTICIPO,OTRO_DOCUMENTO,Solicitud/gestión de transferencia.,False,,,[],TRANSFERENCIA_ANTICIPO,,NO_DECISION,NOT_APPLICABLE,,True,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,Comprender intención/contexto de transferencia o anticipo; la mención textual no es un título documental fiscal.,
R000143,3B394E621E927A5D336A282E41A7695E344AC81CD76DC7C6B82C5636FEFA5282,Z001023397806.pdf,F-1794A36B305A056A7A4A,DEVELOPMENT_DIAGNOSTIC,0.93,H1D10B_TEXT_ZIP,OTRO_DOCUMENTO,OTRO_DOCUMENTO,"Correo/gestión bancaria, no factura.",False,,,[],,,NO_DECISION,NOT_APPLICABLE,,True,SEMANTIC_CORREO_ADMINISTRATIVO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,"Distinguir la intención administrativa del correo/gestión de menciones secundarias a facturas, pagos o notas de crédito.",
R000088,52E48E94AE02735B5811D4F43291DFC21DA9074983A85E5BB255BD0A4C6FA77C,Z001023242292.pdf,F-1794A36B305A056A7A4A,DEVELOPMENT_DIAGNOSTIC,0.93,H1D10B_TEXT_ZIP,TRANSFERENCIA_ANTICIPO,OTRO_DOCUMENTO,Solicitud/gestión de transferencia.,False,,,[],TRANSFERENCIA_ANTICIPO,,NO_DECISION,NOT_APPLICABLE,,True,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,Comprender intención/contexto de transferencia o anticipo; la mención textual no es un título documental fiscal.,
