Sha256,FileName,Expected,FusionSignalDecision,FusionSignalReason,FusionSignalCorrect,FusionEvidence,FiscalAnchors
01CD21BA921CF3E5B71026D0B35F0455C59E2D2B5B1FCC67BBF6E18173662A57,Z001023284243.pdf,FACTURA,FACTURA,STRUCTURED_FACTURA_NUMBER_WITH_FISCAL_ANCHORS,True,Factura 0119-00939316,CUIT|IVA|ING_BRUTOS|START_DATE|CAE|TOTAL|ORIGINAL
02E98A8346DE804B23DEB7F869E8DA197E5631C1064A63EA74D3C0B0218FFB06,Z001023242297.pdf,FACTURA,FACTURA,FISCAL_CREDIT_INVOICE_TITLE_WITH_STRUCTURE,True,FACTURA DE CRÉDITO MIPYME,CUIT|IVA|ING_BRUTOS|CAE
03CFBE47B1C87BEFC324BB99462C1A6722B7E29C5EB61D17AE8AB0C4A60F5AF3,Z001023397760.pdf,OTRO_DOCUMENTO,OTRO_DOCUMENTO,FISCAL_CODE_03_WITH_STRUCTURE,True,COD. 03,CUIT|IVA|ING_BRUTOS|START_DATE|ISSUE_DATE|POS_COMP|CAE|TOTAL|ORIGINAL
0502FD9BDC978A9DB273A734BD4392467FCD7002B2033F73814CA959A4092E48,Z001023321087.pdf,FACTURA,FACTURA,FISCAL_CREDIT_INVOICE_TITLE_WITH_STRUCTURE,True,Factura de Crédito,CUIT|IVA|ING_BRUTOS|CAE|TOTAL
0DBD0D5EFF4F30AACEF8C537FBAE56A22A835E1F94365D0505C57A282B504272,Z001023268089.pdf,FACTURA,FACTURA,STRUCTURED_FACTURA_NUMBER_WITH_FISCAL_ANCHORS,True,Factura N2: 00002-00008319,CUIT|IVA|ING_BRUTOS|START_DATE|ORIGINAL
10D1AFC979D966B39B92E799719AD44B93945894927B122A3BCE79C3126B9413,Z001023423311.pdf,OTRO_DOCUMENTO,OTRO_DOCUMENTO,FISCAL_CODE_03_WITH_STRUCTURE,True,Cód 03 ANSES (EX CAJA IND. Y COM.) 65856224,CUIT|IVA|ING_BRUTOS|START_DATE|CAE
166589FEDAA33D952D81A337E8B61F2BA518F0302A237C96E8E96DDD61F7A5B1,Z001023242296.pdf,OTRO_DOCUMENTO,OTRO_DOCUMENTO,FISCAL_CODE_03_WITH_STRUCTURE,True,COD. 03,CUIT|IVA|ING_BRUTOS|START_DATE|ISSUE_DATE|POS_COMP|CAE|TOTAL|ORIGINAL
1A4F808049D1A37F4E6AB760DD7135F61503613DEB13BADD69E536FEA2FC6B9F,Z001023454592.pdf,FACTURA,FACTURA,STRUCTURED_FACTURA_NUMBER_WITH_FISCAL_ANCHORS,True,FACTURA — 0057-00069075,CUIT|IVA|ING_BRUTOS|START_DATE|CAE|TOTAL|ORIGINAL
225886580C85D6E9291E33F31E663C265C372BE9B6DFF5D4C18D41160FBBE122,Z001023351257.pdf,OTRO_DOCUMENTO,OTRO_DOCUMENTO,FISCAL_CODE_03_WITH_STRUCTURE,True,(Cod 03),CUIT|IVA|ING_BRUTOS|START_DATE|CAE|TOTAL|ORIGINAL
41FA873A1F07397324194D528955075ABA1D624A6B9FC0141D8DF96C9FDC382B,Z001023410769.pdf,OTRO_DOCUMENTO,OTRO_DOCUMENTO,FISCAL_CODE_03_WITH_STRUCTURE,True,COD. 03,CUIT|IVA|ING_BRUTOS|START_DATE|ISSUE_DATE|POS_COMP|CAE|TOTAL|ORIGINAL
446E0501DAAA8C0D2C03D8A2264B06451F4B3EFA0B5D3E22D20EB5C0FA84A76F,Z001023466678.pdf,OTRO_DOCUMENTO,OTRO_DOCUMENTO,FISCAL_CODE_03_WITH_STRUCTURE,True,COD. 03,CUIT|IVA|ING_BRUTOS|START_DATE|ISSUE_DATE|POS_COMP|CAE|TOTAL|ORIGINAL
