FamilyId,ResidualRows,DiagnosticGroups,VisualReferenceTypes,MixedDiagnosticGroups,MixedVisualReferenceTypes
F-1794A36B305A056A7A4A,13,SEMANTIC_TRANSFERENCIA_ANTICIPO:11|SEMANTIC_CORREO_ADMINISTRATIVO:2,TRANSFERENCIA_ANTICIPO:11|OTRO_DOCUMENTO:2,True,True
F-F47B73E9F9F7F5973BEB,9,SEMANTIC_CORREO_ADMINISTRATIVO:9,OTRO_DOCUMENTO:9,False,False
F-2E0495C4CFFDB5F65834,7,SEMANTIC_CORREO_ADMINISTRATIVO:6|SEMANTIC_TRANSFERENCIA_ANTICIPO:1,OTRO_DOCUMENTO:6|TRANSFERENCIA_ANTICIPO:1,True,True
F-960EB424FA8B0719AED9,7,SEMANTIC_TRANSFERENCIA_ANTICIPO:5|SEMANTIC_CORREO_ADMINISTRATIVO:2,TRANSFERENCIA_ANTICIPO:5|OTRO_DOCUMENTO:2,True,True
F-17EDEDC266F087E00DD9,3,OTHER_ADMIN_OR_GENERIC_DOCUMENT:3,OTRO_DOCUMENTO:3,False,False
F-768E689B43DC4B18F437,3,KNOWN_FISCAL_OR_RECEIPT_EVIDENCE_GAP:3,FACTURA:3,False,False
F-F46647672BE189FABE87,2,SEMANTIC_TRANSFERENCIA_ANTICIPO:2,TRANSFERENCIA_ANTICIPO:2,False,False
F-88C02FEA601F21AC4924,2,SEMANTIC_TRANSFERENCIA_ANTICIPO:2,TRANSFERENCIA_ANTICIPO:2,False,False
F-0BF3367B68289EBD135F,2,SEMANTIC_TRANSFERENCIA_ANTICIPO:2,TRANSFERENCIA_ANTICIPO:2,False,False
F-5C5C283B8712D7428849,2,STRUCTURED_BANK_DOCUMENT:2,COMPROBANTE_BANCARIO:2,False,False
F-3FC8E5F62E6BBF083D8A,1,SEMANTIC_CORREO_ADMINISTRATIVO:1,OTRO_DOCUMENTO:1,False,False
F-44482D15570D2EFCE898,1,SEMANTIC_TRANSFERENCIA_ANTICIPO:1,TRANSFERENCIA_ANTICIPO:1,False,False
F-D1AD771B95B69FD65DF1,1,SEMANTIC_TRANSFERENCIA_ANTICIPO:1,TRANSFERENCIA_ANTICIPO:1,False,False
