CandidateId,Sha256,FileName,FamilyId,ResidualDiagnosticGroup,SemanticNeed,VisualReferenceType,VisualReferenceIsGroundTruth,TextOnlyPFactura,HeaderTextPFactura,SemanticSimilarityToOtro,TextOnlyPrediction05,HeaderTextPrediction05,LowPFacturaCandidateZone035,Important
R000099,9D9DCD74FDCADF6E7F394B283EC849B42A5DDB2941D87CCBABC7A7DB6C1D1329,Z001023350216.pdf,F-3FC8E5F62E6BBF083D8A,SEMANTIC_CORREO_ADMINISTRATIVO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,OTRO_DOCUMENTO,False,0.271282968,0.585650685,0.715888013,OTRO_DOCUMENTO,FACTURA,True,Diagnostic only; no automatic label
R000139,B74F2DCA315F2C0C20BD3F950FE7D0CDD421C9AB08E1DA4D9B39FBF0A428EB87,Z001023467602.pdf,F-F46647672BE189FABE87,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,TRANSFERENCIA_ANTICIPO,False,0.288888170,0.480717814,0.678114186,OTRO_DOCUMENTO,OTRO_DOCUMENTO,True,Diagnostic only; no automatic label
R000093,1D13477161B6EB6F50A6EBAFE735A74D351D55222F26B460197C1D95EE5798A5,Z001023322781.pdf,F-88C02FEA601F21AC4924,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,TRANSFERENCIA_ANTICIPO,False,0.288154088,0.478244088,0.680744735,OTRO_DOCUMENTO,OTRO_DOCUMENTO,True,Diagnostic only; no automatic label
R000021,8CACCA49C1F3830446384AE1E40B0ADE9991E5BF0452601621929CC77DEF4CD3,Z001023454865.pdf,F-44482D15570D2EFCE898,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,TRANSFERENCIA_ANTICIPO,False,0.282024781,0.471289945,0.678794416,OTRO_DOCUMENTO,OTRO_DOCUMENTO,True,Diagnostic only; no automatic label
R000025,CF1B0AAD4B633322B50D7FFDBEDBED32C1B7DF11A46EBE800F4AB45DC0B8CDBD,Z001023336745.pdf,F-D1AD771B95B69FD65DF1,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,TRANSFERENCIA_ANTICIPO,False,0.289336235,0.451324522,0.684829421,OTRO_DOCUMENTO,OTRO_DOCUMENTO,True,Diagnostic only; no automatic label
R000013,A32ECD1BFF857D02AB31FBFE06D1869C3F0497B9D4FF9A69A02E307D0FC33208,Z001023454410.pdf,F-6C00B1F826C0143333BB,SEMANTIC_CORREO_ADMINISTRATIVO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,OTRO_DOCUMENTO,False,0.296785245,0.459672193,0.666108558,OTRO_DOCUMENTO,OTRO_DOCUMENTO,True,Diagnostic only; no automatic label
R000068,1ED61F74F18006764BD6449DD4DFD2A4762E84307C9B3636FB875B1E0D7E9F26,Z001023454624.pdf,F-FD79B9742B962097BA91,SEMANTIC_CORREO_ADMINISTRATIVO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,OTRO_DOCUMENTO,False,0.266705898,0.409983923,0.732287211,OTRO_DOCUMENTO,OTRO_DOCUMENTO,True,Diagnostic only; no automatic label
R000015,3B58AAEBE704B77164E221693C2D296A4476F9D75BE9585F0A2643A003D476A6,Z001023242287.pdf,F-88C02FEA601F21AC4924,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,TRANSFERENCIA_ANTICIPO,False,0.285461689,0.440155371,0.679850746,OTRO_DOCUMENTO,OTRO_DOCUMENTO,True,Diagnostic only; no automatic label
R000143,3B394E621E927A5D336A282E41A7695E344AC81CD76DC7C6B82C5636FEFA5282,Z001023397806.pdf,F-1794A36B305A056A7A4A,SEMANTIC_CORREO_ADMINISTRATIVO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,OTRO_DOCUMENTO,False,0.320429187,0.491497407,0.613812992,OTRO_DOCUMENTO,OTRO_DOCUMENTO,True,Diagnostic only; no automatic label
R000088,52E48E94AE02735B5811D4F43291DFC21DA9074983A85E5BB255BD0A4C6FA77C,Z001023242292.pdf,F-1794A36B305A056A7A4A,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,TRANSFERENCIA_ANTICIPO,False,0.288656798,0.441260326,0.682073055,OTRO_DOCUMENTO,OTRO_DOCUMENTO,True,Diagnostic only; no automatic label
R000114,291D53881AC4D3DB4444FEAB3EEA3F5E6E143D9ABC61352ACD5952CE33E4D9A1,Z001023386296.pdf,F-1794A36B305A056A7A4A,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,TRANSFERENCIA_ANTICIPO,False,0.286311549,0.434381506,0.680651436,OTRO_DOCUMENTO,OTRO_DOCUMENTO,True,Diagnostic only; no automatic label
R000054,3C94257F7903975E81A85B51D28E34E5F606FD9A65B196B49A7E627B796A8ED2,Z001023423303.pdf,F-935650FEBAB4DA364984,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,TRANSFERENCIA_ANTICIPO,False,0.323409677,0.491826194,0.602144337,OTRO_DOCUMENTO,OTRO_DOCUMENTO,True,Diagnostic only; no automatic label
R000049,8441B87BFC984C929BA7CAD936B73DC8744FCB5AFCE7621462F69256E436A220,Z001023386297.pdf,F-1794A36B305A056A7A4A,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,TRANSFERENCIA_ANTICIPO,False,0.288294262,0.434235649,0.683313776,OTRO_DOCUMENTO,OTRO_DOCUMENTO,True,Diagnostic only; no automatic label
R000014,F317BB18993C7CED7A45AA3F6FD178FA96A6172E7FABD7108EEF224157CC0671,Z001023455638.pdf,F-1794A36B305A056A7A4A,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,TRANSFERENCIA_ANTICIPO,False,0.287887770,0.433620960,0.682690674,OTRO_DOCUMENTO,OTRO_DOCUMENTO,True,Diagnostic only; no automatic label
R000028,95F2C9C4D0C1D6280F1EB19BEFBEBD0BA285843D7F7A512DB9D892EE33ED6304,Z001023455637.pdf,F-1794A36B305A056A7A4A,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,TRANSFERENCIA_ANTICIPO,False,0.288102859,0.432893222,0.682879949,OTRO_DOCUMENTO,OTRO_DOCUMENTO,True,Diagnostic only; no automatic label
R000141,D0B235541FF454DD27C268EFAEAD6B7BD9413252680BF968BD1A73DFBAB8FBF2,Z001023422650.pdf,F-1794A36B305A056A7A4A,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,TRANSFERENCIA_ANTICIPO,False,0.287912916,0.430180607,0.681734308,OTRO_DOCUMENTO,OTRO_DOCUMENTO,True,Diagnostic only; no automatic label
R000102,BD1E0ED2FF5728514FE2BA73BC86754E43DF43FC802597B768C1BE1E3E86828D,Z001023242494.pdf,F-E0E6D4CC2AAA356496FF,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,TRANSFERENCIA_ANTICIPO,False,0.318020275,0.476248528,0.612532543,OTRO_DOCUMENTO,OTRO_DOCUMENTO,True,Diagnostic only; no automatic label
R000030,31328D4E2153E46FAAAE9641222277DAE1F13947AF9A092B4BB7755FBBB9A801,Z001023386156.pdf,F-46037C8538DCC1CC60E9,SEMANTIC_CORREO_ADMINISTRATIVO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,OTRO_DOCUMENTO,False,0.284130041,0.423246454,0.677866315,OTRO_DOCUMENTO,OTRO_DOCUMENTO,True,Diagnostic only; no automatic label
R000065,A6D943E86073406D69A2BE4C1751A6C7EB285A3860B94FE6E1A630775C2D1280,Z001023455639.pdf,F-1794A36B305A056A7A4A,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,TRANSFERENCIA_ANTICIPO,False,0.289764172,0.428184894,0.682643702,OTRO_DOCUMENTO,OTRO_DOCUMENTO,True,Diagnostic only; no automatic label
R000038,918370F621103ADF69B84A631E8BCEBB4FDFA068BB4289E44E615F647AD48657,Z001023386326.pdf,F-1794A36B305A056A7A4A,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,TRANSFERENCIA_ANTICIPO,False,0.288107908,0.424462638,0.683173901,OTRO_DOCUMENTO,OTRO_DOCUMENTO,True,Diagnostic only; no automatic label
R000071,F5B20E2FAC033C9D5BA92D99C949698DBB26043F8E3F3F442FED8229556887A2,Z001023454353.pdf,F-8D79124EE795FD7A7513,SEMANTIC_CORREO_ADMINISTRATIVO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,OTRO_DOCUMENTO,False,0.289168841,0.421556192,0.667835636,OTRO_DOCUMENTO,OTRO_DOCUMENTO,True,Diagnostic only; no automatic label
R000115,8E13B132B3C35681FD69825FDE333EBCA80C317CA504C213983AAC7C752C5051,Z001023386325.pdf,F-1794A36B305A056A7A4A,SEMANTIC_TRANSFERENCIA_ANTICIPO,LIKELY_SEMANTIC_LANGUAGE_CONTEXT,TRANSFERENCIA_ANTICIPO,False,0.289248676,0.416370900,0.683078259,OTRO_DOCUMENTO,OTRO_DOCUMENTO,True,Diagnostic only; no automatic label
