Path,Label,GroupId,SourceType,Sha256,Split,OriginalPath,Diversity,VisualPath,TextLen,TextOrigin,PhysicalFormat
"C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\Corpus\FACTURA\73938d63a261_J0002_QUIROGA_LUISINA_BELEN_CB_96-033-185-889_2016-02-01_2016-03-31_2026-08-05_0.pdf","FACTURA","factura-avon-a-impresa","PDF","73938D63A261576FFEB30B2C0E33DBE085B1C870F5DFA41FB6DE596F57A839D8","TRAIN","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2j_Productivos_Revision\_candidatos_locales\J0002_QUIROGA_LUISINA_BELEN_CB_96-033-185-889_2016-02-01_2016-03-31_2026-08-05_01.txt_Final (1).pdf","REVIEWED_BATCH","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D4A\assets\visual\73938D63A261576FFEB30B2C0E33DBE085B1C870F5DFA41FB6DE596F57A839D8.png","9631","MDOC","PDF"
"C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\Corpus\FACTURA\94a5bb490143_I0132_246C4E4A.jpg","FACTURA","factura-avon-a-impresa","IMAGE","94A5BB490143CEE934380D4FEB4659ABE2DD005FCE09BA87046839EC01B9A049","TRAIN","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2i_Imagenes_Historicas_Revision\_candidatos_locales\I0132_246C4E4A.jpg","REVIEWED_BATCH","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D4A\assets\visual\94A5BB490143CEE934380D4FEB4659ABE2DD005FCE09BA87046839EC01B9A049.png","2738","OCR","JPEG"
"C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\Corpus\FACTURA\34e7190b10de_Z001023243373.pdf","FACTURA","factura-familia-aquavita","PDF","34E7190B10DE1060A821BA5B262D16CF469116C53FAA10A487AE71EDA02DE220","TEST","C:\temp\Pruebas\Facturas\_Extraidas\20260826-113613-1eb93599\Documentos\Z001023243373\Z001023243373.pdf","DMF_PDF","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D4A\assets\visual\34E7190B10DE1060A821BA5B262D16CF469116C53FAA10A487AE71EDA02DE220.png","2021","OCR","PDF"
"C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\Corpus\FACTURA\83e0306ff570_Z001023243348.pdf","FACTURA","factura-familia-aquavita","PDF","83E0306FF5707DBDEBFC9AD88A3634DF1D24B33FAA5A733B74A629090F74A53D","TEST","C:\temp\Pruebas\Facturas\_Extraidas\20260826-113613-1eb93599\Documentos\Z001023243348\Z001023243348.pdf","DMF_PDF","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D4A\assets\visual\83E0306FF5707DBDEBFC9AD88A3634DF1D24B33FAA5A733B74A629090F74A53D.png","1871","MDOC","PDF"
"C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\Corpus\FACTURA\030126ce7d61_Z001023242608.pdf","FACTURA","factura-familia-arca-fce-standard","PDF","030126CE7D614353FF03F90C126B6D2C3746D913B36523810DF4F1B51326D882","TRAIN","C:\temp\Pruebas\Facturas\_Extraidas\20260826-113613-1eb93599\Documentos\Z001023242608\Z001023242608.pdf","DMF_PDF","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D4A\assets\visual\030126CE7D614353FF03F90C126B6D2C3746D913B36523810DF4F1B51326D882.png","1836","MDOC","PDF"
"C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\Corpus\FACTURA\53531d26119a_Z001023242890.pdf","FACTURA","factura-familia-arca-fce-standard","PDF","53531D26119A3A91D8160D16D8081238C94A83B00EADEEECB6BED96F35C0D21F","TRAIN","C:\temp\Pruebas\Facturas\_Extraidas\20260826-113613-1eb93599\Documentos\Z001023242890\Z001023242890.pdf","DMF_PDF","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D4A\assets\visual\53531D26119A3A91D8160D16D8081238C94A83B00EADEEECB6BED96F35C0D21F.png","1904","MDOC","PDF"
"C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\Corpus\FACTURA\92914214759a_Z001023242560.pdf","FACTURA","factura-familia-arca-fce-standard","PDF","92914214759A1969F8F6DA6FC3EAF436EEC02704E5B3141C282C9D183B15D2BC","TRAIN","C:\temp\Pruebas\Facturas\_Extraidas\20260826-113613-1eb93599\Documentos\Z001023242560\Z001023242560.pdf","DMF_PDF","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D4A\assets\visual\92914214759A1969F8F6DA6FC3EAF436EEC02704E5B3141C282C9D183B15D2BC.png","1888","MDOC","PDF"
"C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\Corpus\FACTURA\963e9941d8d3_Z001023242559.pdf","FACTURA","factura-familia-arca-fce-standard","PDF","963E9941D8D3A90BDACCFDDA949B7EEDD535A2ED456FA063B67893EC4D759786","TRAIN","C:\temp\Pruebas\Facturas\_Extraidas\20260826-113613-1eb93599\Documentos\Z001023242559\Z001023242559.pdf","DMF_PDF","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D4A\assets\visual\963E9941D8D3A90BDACCFDDA949B7EEDD535A2ED456FA063B67893EC4D759786.png","2778","MDOC","PDF"
"C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\Corpus\FACTURA\c2c93818726d_Z001023242895.pdf","FACTURA","factura-familia-arca-fce-standard","PDF","C2C93818726DAC52E58536C78525B62A417DEC82F9491E4941E8AEE2CFA42B42","TRAIN","C:\temp\Pruebas\Facturas\_Extraidas\20260826-113613-1eb93599\Documentos\Z001023242895\Z001023242895.pdf","DMF_PDF","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D4A\assets\visual\C2C93818726DAC52E58536C78525B62A417DEC82F9491E4941E8AEE2CFA42B42.png","1907","MDOC","PDF"
"C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\Corpus\FACTURA\7943c6eb1641_Z001023243375.pdf","FACTURA","factura-familia-arillo","PDF","7943C6EB1641AD882AF8038E05B5F350A7FA8FBE6C2DF3DF90E9004412040FEF","TEST","C:\temp\Pruebas\Facturas\_Extraidas\20260826-113613-1eb93599\Documentos\Z001023243375\Z001023243375.pdf","DMF_PDF","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D4A\assets\visual\7943C6EB1641AD882AF8038E05B5F350A7FA8FBE6C2DF3DF90E9004412040FEF.png","1241","OCR","PDF"
