Model,Threshold,TP,TN,FP,FN,Accuracy,PrecisionPositive,RecallPositive,F1Positive,MacroF1,Selected
VISUAL,0.000000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.001000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.002000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.003000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.004000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.005000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.006000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.007000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.008000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.009000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.010000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.011000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.012000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.013000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.014000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.015000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.016000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.017000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.018000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.019000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.020000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.021000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.022000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.023000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.024000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.025000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.026000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.027000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.028000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.029000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.030000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.031000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.032000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.033000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.034000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.035000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.036000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.037000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.038000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.039000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.040000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.041000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.042000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.043000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.044000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.045000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.046000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.047000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.048000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.049000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.050000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.051000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.052000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.053000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.054000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.055000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.056000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.057000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.058000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.059000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.060000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.061000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.062000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.063000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.064000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.065000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.066000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.067000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.068000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.069000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.070000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.071000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.072000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.073000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.074000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.075000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.076000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.077000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.078000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.079000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.080000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.081000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.082000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.083000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.084000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.085000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.086000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.087000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.088000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.089000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.090000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.091000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.092000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.093000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.094000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.095000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.096000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.097000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.098000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.099000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.100000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.101000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.102000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.103000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.104000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
