RecordType,Variant,Fold,Filename,GroupId,Label,Probability,Prediction,Accuracy,FacturaPrecision,FacturaRecall,FacturaF1,OtroPrecision,OtroRecall,OtroF1,MacroF1,TP,TN,FP,FN
"SUMMARY","A_BASELINE","","","","","","","0.317073","0.142857","0.111111","0.125000","0.407407","0.478261","0.440000","0.282500","2","11","12","16"
"SUMMARY","B_WORD_NGRAMS","","","","","","","0.439024","0.272727","0.166667","0.206897","0.500000","0.652174","0.566038","0.386467","3","15","8","15"
"SUMMARY","C_WORD_CHAR_NGRAMS","","","","","","","0.268293","0.200000","0.222222","0.210526","0.333333","0.304348","0.318182","0.264354","4","7","16","14"
"SUMMARY","D_HYBRID_FISCAL","","","","","","","0.487805","0.333333","0.166667","0.222222","0.531250","0.739130","0.618182","0.420202","3","17","6","15"
"OOF","A_BASELINE","0","030126ce7d61_Z001023242608.pdf","factura-familia-arca-fce-standard","FACTURA","0.339575","OTRO_DOCUMENTO","","","","","","","","","","","",""
"OOF","A_BASELINE","0","53531d26119a_Z001023242890.pdf","factura-familia-arca-fce-standard","FACTURA","0.336739","OTRO_DOCUMENTO","","","","","","","","","","","",""
"OOF","A_BASELINE","0","92914214759a_Z001023242560.pdf","factura-familia-arca-fce-standard","FACTURA","0.332298","OTRO_DOCUMENTO","","","","","","","","","","","",""
"OOF","A_BASELINE","0","963e9941d8d3_Z001023242559.pdf","factura-familia-arca-fce-standard","FACTURA","0.307923","OTRO_DOCUMENTO","","","","","","","","","","","",""
"OOF","A_BASELINE","0","c2c93818726d_Z001023242895.pdf","factura-familia-arca-fce-standard","FACTURA","0.325045","OTRO_DOCUMENTO","","","","","","","","","","","",""
"OOF","A_BASELINE","0","e8066b5fa877_Z001023243349.pdf","factura-familia-ascensores-orem","FACTURA","0.165245","OTRO_DOCUMENTO","","","","","","","","","","","",""
"OOF","A_BASELINE","0","b4c8fa3786e8_Z001023243075.pdf","factura-familia-condominio-pdi","FACTURA","0.294707","OTRO_DOCUMENTO","","","","","","","","","","","",""
"OOF","A_BASELINE","0","d0998159322e_Z001023243074.pdf","factura-familia-condominio-pdi","FACTURA","0.306523","OTRO_DOCUMENTO","","","","","","","","","","","",""
"OOF","A_BASELINE","0","999fbf2c511b_Orden de Compra_999fbf2c511b.pdf","orden-compra","OTRO_DOCUMENTO","0.619041","FACTURA","","","","","","","","","","","",""
"OOF","A_BASELINE","0","3e354c1e6a7c_I0031_image.png","otro-captura-monotributo-pago","OTRO_DOCUMENTO","0.311928","OTRO_DOCUMENTO","","","","","","","","","","","",""
"OOF","A_BASELINE","0","28fcc8808b0d_Z001023243169.pdf","otro-instruccion-transferencia-banco-patagonia","OTRO_DOCUMENTO","0.526792","FACTURA","","","","","","","","","","","",""
"OOF","A_BASELINE","0","ca4b144974cd_Z001023243171.pdf","otro-instruccion-transferencia-banco-patagonia","OTRO_DOCUMENTO","0.491714","OTRO_DOCUMENTO","","","","","","","","","","","",""
"OOF","A_BASELINE","0","4cb36b9488ed_746omar-silverii_edi-sa-comRESDIA201620261635_4cb36b9488ed.pdf","otro-resumen-operaciones-banco-comafi","OTRO_DOCUMENTO","0.605854","FACTURA","","","","","","","","","","","",""
"OOF","A_BASELINE","0","720d554e1ce7_H0001_676omar-silverii_edi-sa-comRESDIA281820251842.pdf","otro-resumen-operaciones-banco-comafi","OTRO_DOCUMENTO","0.626817","FACTURA","","","","","","","","","","","",""
"OOF","A_BASELINE","1","73938d63a261_J0002_QUIROGA_LUISINA_BELEN_CB_96-033-185-889_2016-02-01_2016-03-31_2026-08-05_0.pdf","factura-avon-a-impresa","FACTURA","0.245334","OTRO_DOCUMENTO","","","","","","","","","","","",""
"OOF","A_BASELINE","1","94a5bb490143_I0132_246C4E4A.jpg","factura-avon-a-impresa","FACTURA","0.166431","OTRO_DOCUMENTO","","","","","","","","","","","",""
"OOF","A_BASELINE","1","b7004863aed5_Z001023243369.pdf","factura-familia-excell","FACTURA","0.332288","OTRO_DOCUMENTO","","","","","","","","","","","",""
"OOF","A_BASELINE","1","d165fb62e80f_Z001023243377.pdf","factura-familia-manantial","FACTURA","0.350690","OTRO_DOCUMENTO","","","","","","","","","","","",""
"OOF","A_BASELINE","1","2cdc2802080a_Credencial_23175875379 (202509) (1)_5b2f530cb3de.pdf","credencial","OTRO_DOCUMENTO","0.617434","FACTURA","","","","","","","","","","","",""
"OOF","A_BASELINE","1","02523b356aec_I0154_Sillon.png","otro-confirmacion-compra-web","OTRO_DOCUMENTO","0.290294","OTRO_DOCUMENTO","","","","","","","","","","","",""
"OOF","A_BASELINE","1","382662294b57_Z001023243380.pdf","otro-recibo-c","OTRO_DOCUMENTO","0.671229","FACTURA","","","","","","","","","","","",""
"OOF","A_BASELINE","2","c177cd77baa5_Z001023242796.pdf","factura-familia-inmuebles-fce","FACTURA","0.404124","OTRO_DOCUMENTO","","","","","","","","","","","",""
