Sha256,Label,GroupId,Split,PhysicalFormat,MdocExecuted,MdocHasUsefulText,MdocTextLen,MdocAlphanumeric,MdocLetters,MdocUsefulWords,MdocNul,MdocControl,MdocReplacement,MdocPrintableRatio,MdocSpaceRatio,MdocTokens,MdocSingleCharTokens,MdocSingleCharTokenRatio,MdocLongTokenCount,MdocFailureReason,MdocClassification,MdocMethod,MdocConfidence,MdocReason,OcrExecuted,OcrSuccess,OcrHasUsefulText,OcrTextLen,OcrAlphanumeric,OcrLetters,OcrUsefulWords,OcrMeanConfidence,OcrImagesProcessed,RasterPageCount,RasterDurationMs,OcrDurationMs,OcrHeaderUsed,OcrHeaderDurationMs,OcrLimitExceeded,OcrStructuralFailure,OcrSystemFailure,OcrFailureReason,OcrClassification,OcrMethod,OcrConfidence,OcrReason,QrDetected,QrValid,TipoComprobanteArca,QrMdocClassification,QrMdocMethod,QrMdocConfidence,QrMdocReason,QrOcrClassification,QrOcrMethod,QrOcrConfidence,QrOcrReason,ProblemFlags
"73938D63A261576FFEB30B2C0E33DBE085B1C870F5DFA41FB6DE596F57A839D8","FACTURA","factura-avon-a-impresa","TRAIN","PDF","true","true","9631","2764","1694","294","0","0","0","1","0.544699","614","111","0.180782","12","","FACTURA","PDF_TEXTO","82","Factura explícita y 3 señales fiscales.","true","true","true","2689","2120","1672","297","0.86","2","2","974","3228","false","0","false","false","false","","FACTURA","OCR","86","Factura explícita y 4 señales fiscales.","false","false","","FACTURA","PDF_TEXTO","82","Factura explícita y 3 señales fiscales.","FACTURA","OCR","86","Factura explícita y 4 señales fiscales.","MDOC_DEGRADADO"
"94A5BB490143CEE934380D4FEB4659ABE2DD005FCE09BA87046839EC01B9A049","FACTURA","factura-avon-a-impresa","TRAIN","JPEG","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","true","true","true","2849","1850","1427","343","0.4","2","0","0","4537","true","151","false","false","false","","REVISAR","OCR","","El texto obtenido no permite clasificar el documento con seguridad.","false","false","","","","","","","","","","OCR_MEJORA_FACTURA"
"34E7190B10DE1060A821BA5B262D16CF469116C53FAA10A487AE71EDA02DE220","FACTURA","factura-familia-aquavita","TEST","PDF","true","false","0","0","0","0","0","0","0","0","0","0","0","0","0","","REVISAR","PDF_SIN_TEXTO","","Requiere OCR futuro.","true","true","true","15269","2584","1952","340","0.93","2","2","1060","144093","false","0","false","false","false","","FACTURA","OCR","82","Factura explícita y 3 señales fiscales.","false","false","","REVISAR","PDF_SIN_TEXTO","","Requiere OCR futuro.","FACTURA","OCR","82","Factura explícita y 3 señales fiscales.","MDOC_OCR_DISCREPAN;OCR_MEJORA_FACTURA"
"83E0306FF5707DBDEBFC9AD88A3634DF1D24B33FAA5A733B74A629090F74A53D","FACTURA","factura-familia-aquavita","TEST","PDF","true","true","1871","1392","1003","176","0","0","0","1","0.160342","250","12","0.048","0","","FACTURA","PDF_TEXTO","82","Factura explícita y 3 señales fiscales.","true","true","true","1946","1438","1076","195","0.81","1","1","513","1771","false","0","false","false","false","","FACTURA","OCR","82","Factura explícita y 3 señales fiscales.","true","false","","FACTURA","PDF_TEXTO","82","Factura explícita y 3 señales fiscales.","FACTURA","OCR","82","Factura explícita y 3 señales fiscales.",""
"030126CE7D614353FF03F90C126B6D2C3746D913B36523810DF4F1B51326D882","FACTURA","factura-familia-arca-fce-standard","TRAIN","PDF","true","true","1836","1420","1173","210","0","0","0","1","0.168301","281","18","0.064057","0","","FACTURA","PDF_TEXTO","94","Factura explícita y 6 señales fiscales.","true","true","true","1959","1452","1208","215","0.92","1","1","514","1531","false","0","false","false","false","","FACTURA","OCR","94","Factura explícita y 6 señales fiscales.","true","true","201","FACTURA","QR_ARCA+PDF_TEXTO","98","QR ARCA estructuralmente válido con tipo de comprobante factura. No constituye validación online de autenticidad.","FACTURA","QR_ARCA+OCR","98","QR ARCA estructuralmente válido con tipo de comprobante factura. No constituye validación online de autenticidad.",""
"53531D26119A3A91D8160D16D8081238C94A83B00EADEEECB6BED96F35C0D21F","FACTURA","factura-familia-arca-fce-standard","TRAIN","PDF","true","true","1904","1471","1220","218","0","0","0","1","0.169118","294","20","0.068027","0","","FACTURA","PDF_TEXTO","94","Factura explícita y 6 señales fiscales.","true","true","true","2038","1503","1255","223","0.92","1","1","452","1535","false","0","false","false","false","","FACTURA","OCR","94","Factura explícita y 6 señales fiscales.","true","true","201","FACTURA","QR_ARCA+PDF_TEXTO","98","QR ARCA estructuralmente válido con tipo de comprobante factura. No constituye validación online de autenticidad.","FACTURA","QR_ARCA+OCR","98","QR ARCA estructuralmente válido con tipo de comprobante factura. No constituye validación online de autenticidad.",""
"92914214759A1969F8F6DA6FC3EAF436EEC02704E5B3141C282C9D183B15D2BC","FACTURA","factura-familia-arca-fce-standard","TRAIN","PDF","true","true","1888","1462","1204","211","0","0","0","1","0.164725","284","15","0.052817","0","","FACTURA","PDF_TEXTO","94","Factura explícita y 6 señales fiscales.","true","true","true","1995","1494","1239","216","0.92","1","1","444","1537","false","0","false","false","false","","FACTURA","OCR","94","Factura explícita y 6 señales fiscales.","true","true","201","FACTURA","QR_ARCA+PDF_TEXTO","98","QR ARCA estructuralmente válido con tipo de comprobante factura. No constituye validación online de autenticidad.","FACTURA","QR_ARCA+OCR","98","QR ARCA estructuralmente válido con tipo de comprobante factura. No constituye validación online de autenticidad.",""
"963E9941D8D3A90BDACCFDDA949B7EEDD535A2ED456FA063B67893EC4D759786","FACTURA","factura-familia-arca-fce-standard","TRAIN","PDF","true","true","2778","2191","1920","337","0","0","0","1","0.162707","423","25","0.059102","0","","FACTURA","PDF_TEXTO","94","Factura explícita y 6 señales fiscales.","true","true","true","2900","2223","1955","342","0.93","1","1","467","2022","false","0","false","false","false","","FACTURA","OCR","94","Factura explícita y 6 señales fiscales.","true","true","201","FACTURA","QR_ARCA+PDF_TEXTO","98","QR ARCA estructuralmente válido con tipo de comprobante factura. No constituye validación online de autenticidad.","FACTURA","QR_ARCA+OCR","98","QR ARCA estructuralmente válido con tipo de comprobante factura. No constituye validación online de autenticidad.",""
"C2C93818726DAC52E58536C78525B62A417DEC82F9491E4941E8AEE2CFA42B42","FACTURA","factura-familia-arca-fce-standard","TRAIN","PDF","true","true","1907","1481","1229","221","0","0","0","1","0.16623","290","13","0.044828","0","","FACTURA","PDF_TEXTO","94","Factura explícita y 6 señales fiscales.","true","true","true","2016","1513","1264","226","0.92","1","1","459","1570","false","0","false","false","false","","FACTURA","OCR","94","Factura explícita y 6 señales fiscales.","true","true","201","FACTURA","QR_ARCA+PDF_TEXTO","98","QR ARCA estructuralmente válido con tipo de comprobante factura. No constituye validación online de autenticidad.","FACTURA","QR_ARCA+OCR","98","QR ARCA estructuralmente válido con tipo de comprobante factura. No constituye validación online de autenticidad.",""
"7943C6EB1641AD882AF8038E05B5F350A7FA8FBE6C2DF3DF90E9004412040FEF","FACTURA","factura-familia-arillo","TEST","PDF","true","false","0","0","0","0","0","0","0","0","0","0","0","0","0","","REVISAR","PDF_SIN_TEXTO","","Requiere OCR futuro.","true","true","true","1337","959","742","140","0.88","2","1","515","1412","true","121","false","false","false","","REVISAR","OCR","45","Se detectaron 5 señales fiscales sin tipo de factura explícito.","false","false","","REVISAR","PDF_SIN_TEXTO","","Requiere OCR futuro.","REVISAR","OCR","45","Se detectaron 5 señales fiscales sin tipo de factura explícito.",""
