GroupId,Files,Pdfs,Labels,Splits,MdocUseful,MdocDegraded,OcrAvailable,MdocOcrClassChanges,QrValid,FacturaToDiscardMdoc,FacturaToDiscardOcr
"alertas-infraestructura-srvedms","1","0","NO_DOCUMENTO","TRAIN","0","0","1","0","0","0","0"
"branding-avon-natura","1","0","NO_DOCUMENTO","VALIDATION","0","0","1","0","0","0","0"
"branding-bunge","1","0","NO_DOCUMENTO","TRAIN","0","0","1","0","0","0","0"
"branding-correo-argentino","1","0","NO_DOCUMENTO","TRAIN","0","0","1","0","0","0","0"
"branding-meteomatics","1","0","NO_DOCUMENTO","TEST","0","0","1","0","0","0","0"
"branding-personal","1","0","NO_DOCUMENTO","TRAIN","0","0","1","0","0","0","0"
"branding-renaper","1","0","NO_DOCUMENTO","TRAIN","0","0","1","0","0","0","0"
"capturas-error-edms","1","0","NO_DOCUMENTO","TEST","0","0","1","0","0","0","0"
"capturas-sistema-posicion-consolidada","3","0","NO_DOCUMENTO","TRAIN","0","0","3","0","0","0","0"
"comprobante-pago-bancario","1","0","OTRO_DOCUMENTO","TEST","0","0","1","0","0","0","0"
"correo-boleta-lanus","2","0","NO_DOCUMENTO","TRAIN","0","0","2","0","0","0","0"
"credencial","1","1","OTRO_DOCUMENTO","TRAIN","1","0","1","0","0","0","0"
"error-impresion-xerox","1","0","NO_DOCUMENTO","VALIDATION","0","0","1","0","0","0","0"
"factura-avon-a-impresa","2","1","FACTURA","TRAIN","1","1","2","0","0","0","0"
"factura-familia-aquavita","2","2","FACTURA","TEST","1","0","2","1","0","0","0"
"factura-familia-arca-fce-standard","5","5","FACTURA","TRAIN","5","0","5","0","5","0","0"
"factura-familia-arillo","1","1","FACTURA","TEST","0","0","1","0","0","0","0"
"factura-familia-ascensores-orem","1","1","FACTURA","TRAIN","0","0","1","1","0","0","0"
"factura-familia-branding-merchandising","1","1","FACTURA","TRAIN","1","1","1","1","0","0","0"
"factura-familia-condominio-pdi","2","2","FACTURA","TRAIN","2","0","2","1","0","0","1"
"factura-familia-excell","1","1","FACTURA","VALIDATION","1","1","1","1","0","0","1"
"factura-familia-inmuebles-fce","1","1","FACTURA","TRAIN","1","1","1","1","0","0","0"
"factura-familia-manantial","1","1","FACTURA","TRAIN","1","1","1","1","0","0","1"
"factura-familia-pediatrics","1","1","FACTURA","TRAIN","1","0","1","0","0","0","0"
"factura-familia-servicios-inmobiliarios","1","1","FACTURA","VALIDATION","1","1","1","0","1","0","0"
"factura-familia-vitalis","1","1","FACTURA","TRAIN","1","1","1","0","0","0","0"
"factura-homologacion-c-00004-00000002","3","2","FACTURA","TEST","0","0","3","2","0","0","0"
"factura-logistica-la-serenisima-zb2b","1","1","FACTURA","TRAIN","1","0","1","0","0","0","0"
"firma-banco","1","0","NO_DOCUMENTO","TRAIN","0","0","1","0","0","0","0"
"firma-deloitte","2","0","NO_DOCUMENTO","TRAIN","0","0","2","0","0","0","0"
"flightaware-newsletter","4","0","NO_DOCUMENTO","TEST","0","0","4","0","0","0","0"
"fotos-familiares","2","0","NO_DOCUMENTO","TRAIN","0","0","2","0","0","0","0"
"mapas-viajes","3","0","NO_DOCUMENTO","TRAIN","0","0","3","0","0","0","0"
"orden-compra","1","1","OTRO_DOCUMENTO","VALIDATION","1","1","1","0","0","0","0"
"otro-aviso-cheque-rechazado-banco-patagonia","3","0","OTRO_DOCUMENTO","TRAIN","0","0","2","0","0","0","0"
"otro-captura-monotributo-pago","1","0","OTRO_DOCUMENTO","TRAIN","0","0","1","0","0","0","0"
"otro-captura-ticket-acceso","1","0","OTRO_DOCUMENTO","TRAIN","0","0","1","0","0","0","0"
"otro-confirmacion-compra-web","1","0","OTRO_DOCUMENTO","TRAIN","0","0","1","0","0","0","0"
"otro-correo-reenvio-factura","1","1","OTRO_DOCUMENTO","TRAIN","1","1","1","0","0","0","0"
"otro-impuesto-inmobiliario-rawson","1","1","OTRO_DOCUMENTO","TEST","0","0","0","0","0","0","0"
"otro-instruccion-transferencia-banco-patagonia","2","2","OTRO_DOCUMENTO","TRAIN","2","2","2","0","0","0","0"
"otro-liquidaciones-comercios-banco-patagonia","3","0","OTRO_DOCUMENTO","TRAIN","0","0","3","0","0","0","0"
"otro-nota-credito-electronica-edi-00002-00000001","1","1","OTRO_DOCUMENTO","TRAIN","1","0","1","0","0","0","0"
"otro-nota-credito-fiel","1","1","OTRO_DOCUMENTO","TRAIN","1","1","1","0","0","0","0"
"otro-recibo-c","1","1","OTRO_DOCUMENTO","VALIDATION","1","0","1","0","1","0","0"
"otro-resumen-costo-trayecto-cabify","2","2","OTRO_DOCUMENTO","TRAIN","2","0","2","0","0","0","0"
"otro-resumen-operaciones-banco-comafi","2","2","OTRO_DOCUMENTO","TRAIN","2","2","2","0","0","0","0"
"otro-resumen-tarjeta-visa","1","0","OTRO_DOCUMENTO","VALIDATION","0","0","1","0","0","0","0"
"otro-solicitud-nota-credito-banco-patagonia","1","1","OTRO_DOCUMENTO","TEST","1","1","0","0","0","0","0"
"otro-ticket-servicio-cold","1","0","OTRO_DOCUMENTO","TRAIN","0","0","1","0","0","0","0"
"publicidad-ezdrummer","1","0","NO_DOCUMENTO","TRAIN","0","0","1","0","0","0","0"
"publicidad-guia","1","0","NO_DOCUMENTO","VALIDATION","0","0","1","0","0","0","0"
"publicidad-samsung-galaxy","1","0","NO_DOCUMENTO","TRAIN","0","0","1","0","0","0","0"
"publicidad-websupergoo","1","0","NO_DOCUMENTO","TRAIN","0","0","1","0","0","0","0"
