Sha256,Label,GroupId,Split,PhysicalFormat,ProblemFlags,MdocClassification,OcrClassification,QrMdocClassification,QrOcrClassification,MdocNul,MdocControl,MdocSingleCharTokenRatio,OcrFailureReason
"73938D63A261576FFEB30B2C0E33DBE085B1C870F5DFA41FB6DE596F57A839D8","FACTURA","factura-avon-a-impresa","TRAIN","PDF","MDOC_DEGRADADO","FACTURA","FACTURA","FACTURA","FACTURA","0","0","0.180782",""
"94A5BB490143CEE934380D4FEB4659ABE2DD005FCE09BA87046839EC01B9A049","FACTURA","factura-avon-a-impresa","TRAIN","JPEG","OCR_MEJORA_FACTURA","","REVISAR","","","0","0","0",""
"34E7190B10DE1060A821BA5B262D16CF469116C53FAA10A487AE71EDA02DE220","FACTURA","factura-familia-aquavita","TEST","PDF","MDOC_OCR_DISCREPAN;OCR_MEJORA_FACTURA","REVISAR","FACTURA","REVISAR","FACTURA","0","0","0",""
"E8066B5FA877947A47862B566C3A752FD1BA514973CD2B01A7AD31803BBDD28B","FACTURA","factura-familia-ascensores-orem","TRAIN","PDF","MDOC_OCR_DISCREPAN;OCR_MEJORA_FACTURA","REVISAR","FACTURA","REVISAR","FACTURA","0","1113","0",""
"2D43B3648B73EFBB36772933B8ED7CE0CD779C0945E776A136EC6123FA5D5551","FACTURA","factura-familia-branding-merchandising","TRAIN","PDF","MDOC_DEGRADADO;MDOC_OCR_DISCREPAN;OCR_MEJORA_FACTURA","REVISAR","FACTURA","REVISAR","FACTURA","1093","1691","0.243367",""
"B4C8FA3786E8BA119F3C5F40F1BF5868D7591D0E865FF2AF84F7235674F33C88","FACTURA","factura-familia-condominio-pdi","TRAIN","PDF","MDOC_OCR_DISCREPAN;OCR_EMPEORA_FACTURA","REVISAR","DESCARTAR","REVISAR","DESCARTAR","0","0","0.055118",""
"B7004863AED55E481D4397435BD5B06CEA6180397E1059883D51F5D066F1147F","FACTURA","factura-familia-excell","VALIDATION","PDF","MDOC_DEGRADADO;MDOC_OCR_DISCREPAN;OCR_EMPEORA_FACTURA","REVISAR","DESCARTAR","REVISAR","DESCARTAR","0","0","0.928444",""
"C177CD77BAA5F5587D302FDCC9F5615424F6BCED6057AA300113D6E3A600DC02","FACTURA","factura-familia-inmuebles-fce","TRAIN","PDF","MDOC_DEGRADADO;MDOC_OCR_DISCREPAN;OCR_MEJORA_FACTURA","REVISAR","FACTURA","REVISAR","FACTURA","1638","2131","0.030864",""
"D165FB62E80F26847F1F00B1DBD7E949928E56EC5C2A0EDD2FE929E4ABD85CB0","FACTURA","factura-familia-manantial","TRAIN","PDF","MDOC_DEGRADADO;MDOC_OCR_DISCREPAN;OCR_EMPEORA_FACTURA","REVISAR","DESCARTAR","REVISAR","DESCARTAR","0","678","0.043307",""
"681D494D1EABD2B24BA13F9F99B3AC5F6D565688BB7368714C430C5395C5A868","FACTURA","factura-familia-servicios-inmobiliarios","VALIDATION","PDF","MDOC_DEGRADADO","FACTURA","FACTURA","FACTURA","FACTURA","23","24","0.049242",""
"B68674F3B9393FDE895EBE47421061B41DCE664D2174AFA8C7904CD4324C5124","FACTURA","factura-familia-vitalis","TRAIN","PDF","MDOC_DEGRADADO","REVISAR","REVISAR","REVISAR","REVISAR","669","903","0.333333",""
"122412579CB7F775A638F44BF40EACB229C173965B54C8B8FBC969D28DA6F2DC","FACTURA","factura-homologacion-c-00004-00000002","TEST","JPEG","OCR_MEJORA_FACTURA","","FACTURA","","","0","0","0",""
"8AE4509AEFA61A7ABB180BC7A0514AD169E1E8047C07D7544D3D0CB800B4E3FC","FACTURA","factura-homologacion-c-00004-00000002","TEST","PDF","MDOC_OCR_DISCREPAN;OCR_MEJORA_FACTURA","REVISAR","FACTURA","REVISAR","FACTURA","0","0","0",""
"FA8700C24DBDFE130D17A72C536CC9DCF1639DD4A8C5E313DB18605F70DAEED5","FACTURA","factura-homologacion-c-00004-00000002","TEST","PDF","MDOC_OCR_DISCREPAN;OCR_MEJORA_FACTURA","REVISAR","FACTURA","REVISAR","FACTURA","0","0","0",""
"999FBF2C511BEF61577E45BE48F034B1AABDC5692AEB747159BD61CF408F6BB4","OTRO_DOCUMENTO","orden-compra","VALIDATION","PDF","MDOC_DEGRADADO","DESCARTAR","DESCARTAR","DESCARTAR","DESCARTAR","0","0","0.56701",""
"DA7DB06022306B8142F9D0179BDE36BFE71E64CEC4A2D7E10FCCE5D2FDBC7C97","OTRO_DOCUMENTO","otro-aviso-cheque-rechazado-banco-patagonia","TRAIN","JPEG","OCR_NO_DISPONIBLE","","REVISAR","","","0","0","0","La imagen supera el límite de píxeles para OCR."
"AF9E13927BD6123DA16DE0369AA7435A2892D4D71E8A0B3863F85C6A5E30455A","OTRO_DOCUMENTO","otro-correo-reenvio-factura","TRAIN","PDF","MDOC_DEGRADADO","REVISAR","REVISAR","REVISAR","REVISAR","782","1863","0.46712",""
"70943A213A862A315DB451BAFBADDBFE5C0E45D694BF40FD8E5430FF47A032BA","OTRO_DOCUMENTO","otro-impuesto-inmobiliario-rawson","TEST","PDF","OCR_LIMITE","REVISAR","REVISAR","REVISAR","REVISAR","0","0","0","Una página rasterizada supera el límite de píxeles OCR."
"28FCC8808B0DEE25A850B6F4C5063E17FB94B3CB194917E84422E9F2A8C111A5","OTRO_DOCUMENTO","otro-instruccion-transferencia-banco-patagonia","TRAIN","PDF","MDOC_DEGRADADO","REVISAR","REVISAR","REVISAR","REVISAR","59","915","0.343673",""
"CA4B144974CDD331E904D3646E7F74FDAE6502B6CCDA4A0B4845C2FA9E2F6DB8","OTRO_DOCUMENTO","otro-instruccion-transferencia-banco-patagonia","TRAIN","PDF","MDOC_DEGRADADO","REVISAR","REVISAR","REVISAR","REVISAR","54","927","0.319609",""
"1C4DB25AAC0A169B26D121DF0992AB546E8D487A74FD1E45FDEF3490F3708601","OTRO_DOCUMENTO","otro-nota-credito-fiel","TRAIN","PDF","MDOC_DEGRADADO","REVISAR","REVISAR","REVISAR","REVISAR","288","430","0.256944",""
"4CB36B9488EDCAA6B27FEF1B0A3524525E14E115CF2045F118B032995E653587","OTRO_DOCUMENTO","otro-resumen-operaciones-banco-comafi","TRAIN","PDF","MDOC_DEGRADADO","DESCARTAR","DESCARTAR","DESCARTAR","DESCARTAR","0","0","0.046269",""
"720D554E1CE7B5F36A27E8EB9E0C446EDD580DD15E0AAB7C46E8EB12BE170C51","OTRO_DOCUMENTO","otro-resumen-operaciones-banco-comafi","TRAIN","PDF","MDOC_DEGRADADO","DESCARTAR","DESCARTAR","DESCARTAR","DESCARTAR","0","0","0.055138",""
"31371F0EA09BFB13ECAECD39B9C36CF70E4662CB0E31F2ABE26B8E74402003F5","OTRO_DOCUMENTO","otro-solicitud-nota-credito-banco-patagonia","TEST","PDF","MDOC_DEGRADADO;OCR_LIMITE","REVISAR","REVISAR","REVISAR","REVISAR","7758","11076","0.612963","El PDF supera el límite de páginas OCR."
