Sha256,Label,GroupId,Split,PhysicalFormat,MdocHasUsefulText,MdocClassification,OcrClassification,QrValid,TipoComprobanteArca,CurrentProductClassification,DirectReplacementClassification,ConservativeFusionClassification,FusionThenQrClassification,QrThenFusionClassification,CurrentProductWouldRunOcr,ConservativeWouldRunOcr,DecisionTrace
"73938D63A261576FFEB30B2C0E33DBE085B1C870F5DFA41FB6DE596F57A839D8","FACTURA","factura-avon-a-impresa","TRAIN","PDF","true","FACTURA","FACTURA","false","","FACTURA","FACTURA","FACTURA","FACTURA","FACTURA","false","false","CURRENT=QR(MDOC); DIRECT=QR(MDOC); CONSERVATIVE=MDOC_FACTURA_CONSERVADO; QR_VALID=false"
"94A5BB490143CEE934380D4FEB4659ABE2DD005FCE09BA87046839EC01B9A049","FACTURA","factura-avon-a-impresa","TRAIN","JPEG","false","","REVISAR","false","","REVISAR","REVISAR","REVISAR","REVISAR","REVISAR","false","false","IMAGEN: clasificación OCR H1D5A conservada"
"34E7190B10DE1060A821BA5B262D16CF469116C53FAA10A487AE71EDA02DE220","FACTURA","factura-familia-aquavita","TEST","PDF","false","REVISAR","FACTURA","false","","FACTURA","FACTURA","FACTURA","FACTURA","FACTURA","true","true","CURRENT=QR(OCR); DIRECT=QR(OCR); CONSERVATIVE=OCR_PROMUEVE_FACTURA; QR_VALID=false"
"83E0306FF5707DBDEBFC9AD88A3634DF1D24B33FAA5A733B74A629090F74A53D","FACTURA","factura-familia-aquavita","TEST","PDF","true","FACTURA","FACTURA","false","","FACTURA","FACTURA","FACTURA","FACTURA","FACTURA","false","false","CURRENT=QR(MDOC); DIRECT=QR(MDOC); CONSERVATIVE=MDOC_FACTURA_CONSERVADO; QR_VALID=false"
"030126CE7D614353FF03F90C126B6D2C3746D913B36523810DF4F1B51326D882","FACTURA","factura-familia-arca-fce-standard","TRAIN","PDF","true","FACTURA","FACTURA","true","201","FACTURA","FACTURA","FACTURA","FACTURA","FACTURA","false","false","CURRENT=QR(MDOC); DIRECT=QR(MDOC); CONSERVATIVE=MDOC_FACTURA_CONSERVADO; QR_VALID=true"
"53531D26119A3A91D8160D16D8081238C94A83B00EADEEECB6BED96F35C0D21F","FACTURA","factura-familia-arca-fce-standard","TRAIN","PDF","true","FACTURA","FACTURA","true","201","FACTURA","FACTURA","FACTURA","FACTURA","FACTURA","false","false","CURRENT=QR(MDOC); DIRECT=QR(MDOC); CONSERVATIVE=MDOC_FACTURA_CONSERVADO; QR_VALID=true"
"92914214759A1969F8F6DA6FC3EAF436EEC02704E5B3141C282C9D183B15D2BC","FACTURA","factura-familia-arca-fce-standard","TRAIN","PDF","true","FACTURA","FACTURA","true","201","FACTURA","FACTURA","FACTURA","FACTURA","FACTURA","false","false","CURRENT=QR(MDOC); DIRECT=QR(MDOC); CONSERVATIVE=MDOC_FACTURA_CONSERVADO; QR_VALID=true"
"963E9941D8D3A90BDACCFDDA949B7EEDD535A2ED456FA063B67893EC4D759786","FACTURA","factura-familia-arca-fce-standard","TRAIN","PDF","true","FACTURA","FACTURA","true","201","FACTURA","FACTURA","FACTURA","FACTURA","FACTURA","false","false","CURRENT=QR(MDOC); DIRECT=QR(MDOC); CONSERVATIVE=MDOC_FACTURA_CONSERVADO; QR_VALID=true"
"C2C93818726DAC52E58536C78525B62A417DEC82F9491E4941E8AEE2CFA42B42","FACTURA","factura-familia-arca-fce-standard","TRAIN","PDF","true","FACTURA","FACTURA","true","201","FACTURA","FACTURA","FACTURA","FACTURA","FACTURA","false","false","CURRENT=QR(MDOC); DIRECT=QR(MDOC); CONSERVATIVE=MDOC_FACTURA_CONSERVADO; QR_VALID=true"
"7943C6EB1641AD882AF8038E05B5F350A7FA8FBE6C2DF3DF90E9004412040FEF","FACTURA","factura-familia-arillo","TEST","PDF","false","REVISAR","REVISAR","false","","REVISAR","REVISAR","REVISAR","REVISAR","REVISAR","true","true","CURRENT=QR(OCR); DIRECT=QR(OCR); CONSERVATIVE=MANTIENE_REVISAR; QR_VALID=false"
"E8066B5FA877947A47862B566C3A752FD1BA514973CD2B01A7AD31803BBDD28B","FACTURA","factura-familia-ascensores-orem","TRAIN","PDF","false","REVISAR","FACTURA","false","","FACTURA","FACTURA","FACTURA","FACTURA","FACTURA","true","true","CURRENT=QR(OCR); DIRECT=QR(OCR); CONSERVATIVE=OCR_PROMUEVE_FACTURA; QR_VALID=false"
"2D43B3648B73EFBB36772933B8ED7CE0CD779C0945E776A136EC6123FA5D5551","FACTURA","factura-familia-branding-merchandising","TRAIN","PDF","true","REVISAR","FACTURA","false","","REVISAR","FACTURA","FACTURA","FACTURA","FACTURA","false","true","CURRENT=QR(MDOC); DIRECT=QR(OCR); CONSERVATIVE=OCR_PROMUEVE_FACTURA; QR_VALID=false"
"B4C8FA3786E8BA119F3C5F40F1BF5868D7591D0E865FF2AF84F7235674F33C88","FACTURA","factura-familia-condominio-pdi","TRAIN","PDF","true","REVISAR","DESCARTAR","false","","REVISAR","DESCARTAR","REVISAR","REVISAR","REVISAR","false","true","CURRENT=QR(MDOC); DIRECT=QR(OCR); CONSERVATIVE=OCR_DESCARTAR_BLOQUEADO; QR_VALID=false"
"D0998159322E7036852951E3B6BB4631E0A5EF21ADFC0DFC39679D4F410C959F","FACTURA","factura-familia-condominio-pdi","TRAIN","PDF","true","REVISAR","REVISAR","false","","REVISAR","REVISAR","REVISAR","REVISAR","REVISAR","false","true","CURRENT=QR(MDOC); DIRECT=QR(OCR); CONSERVATIVE=MANTIENE_REVISAR; QR_VALID=false"
