DocumentoRecepcionId,ClasificacionAutomatica,ResultadoRevision,EtiquetaRevision,PhysicalFormat,VisualEligibility,NotApplicableReason,VisualProbabilityDocument,VisualPredictedAt050,VisualPredictedAt0726,GroundTruthVisual,CriticalError,DurationMs
"1","REVISAR","","","PDF","ELIGIBLE","","0.81118893623352051","DOCUMENTO","DOCUMENTO","","False","191"
"2","REVISAR","","","PDF","ELIGIBLE","","0.88506990671157837","DOCUMENTO","DOCUMENTO","","False","141"
"3","REVISAR","","","PDF","ELIGIBLE","","0.88883811235427856","DOCUMENTO","DOCUMENTO","","False","152"
"4","REVISAR","","","PDF","ELIGIBLE","","0.79977577924728394","DOCUMENTO","DOCUMENTO","","False","140"
"5","REVISAR","","","JPEG","ELIGIBLE","","0.33023980259895325","NO_DOCUMENTO","NO_DOCUMENTO","","False","102"
"6","REVISAR","","","PDF","ELIGIBLE","","0.96642434597015381","DOCUMENTO","DOCUMENTO","","False","155"
"7","FACTURA","","","PDF","ELIGIBLE","","0.79977577924728394","DOCUMENTO","DOCUMENTO","","False","139"
"8","REVISAR","","","JPEG","ELIGIBLE","","0.00622513797134161","NO_DOCUMENTO","NO_DOCUMENTO","","False","105"
"9","FACTURA","","","PDF","ELIGIBLE","","0.82965683937072754","DOCUMENTO","DOCUMENTO","","False","143"
"10","FACTURA","","","PDF","ELIGIBLE","","0.82965683937072754","DOCUMENTO","DOCUMENTO","","False","139"
"11","FACTURA","","","PDF","ELIGIBLE","","0.79977577924728394","DOCUMENTO","DOCUMENTO","","False","137"
"12","FACTURA","","","PDF","ELIGIBLE","","0.79977577924728394","DOCUMENTO","DOCUMENTO","","False","142"
"13","REVISAR","","","ZIP","NOT_APPLICABLE","FORMATO_FUERA_DOMINIO_H1D4A","","","","","","0"
"14","FACTURA","","","PDF","ELIGIBLE","","0.82965683937072754","DOCUMENTO","DOCUMENTO","","False","142"
"15","FACTURA","","","PDF","ELIGIBLE","","0.91329336166381836","DOCUMENTO","DOCUMENTO","","False","150"
"16","FACTURA","","","PDF","ELIGIBLE","","0.91059881448745728","DOCUMENTO","DOCUMENTO","","False","157"
"17","FACTURA","","","PDF","ELIGIBLE","","0.88687491416931152","DOCUMENTO","DOCUMENTO","","False","147"
"18","FACTURA","","","PDF","ELIGIBLE","","0.79977577924728394","DOCUMENTO","DOCUMENTO","","False","138"
"19","FACTURA","","","PDF","ELIGIBLE","","0.82965683937072754","DOCUMENTO","DOCUMENTO","","False","147"
"20","FACTURA","","","PDF","ELIGIBLE","","0.91329336166381836","DOCUMENTO","DOCUMENTO","","False","142"
"21","FACTURA","","","PDF","ELIGIBLE","","0.89828568696975708","DOCUMENTO","DOCUMENTO","","False","140"
"22","FACTURA","","","PDF","ELIGIBLE","","0.91329336166381836","DOCUMENTO","DOCUMENTO","","False","143"
"23","FACTURA","","","PDF","ELIGIBLE","","0.89828568696975708","DOCUMENTO","DOCUMENTO","","False","145"
"24","REVISAR","","","JPEG","ELIGIBLE","","0.802388608455658","DOCUMENTO","DOCUMENTO","","False","86"
"25","FACTURA","","","JPEG","ELIGIBLE","","0.802388608455658","DOCUMENTO","DOCUMENTO","","False","84"
"26","REVISAR","","","PDF","ELIGIBLE","","0.80507040023803711","DOCUMENTO","DOCUMENTO","","False","183"
"27","REVISAR","","","PDF","ELIGIBLE","","0.81502842903137207","DOCUMENTO","DOCUMENTO","","False","212"
"28","REVISAR","","","JPEG","ELIGIBLE","","0.52710789442062378","DOCUMENTO","NO_DOCUMENTO","","False","4"
"29","REVISAR","","","JPEG","ELIGIBLE","","0.075467467308044434","NO_DOCUMENTO","NO_DOCUMENTO","","False","4"
"30","REVISAR","","","JPEG","ELIGIBLE","","6.3943480199668556E-06","NO_DOCUMENTO","NO_DOCUMENTO","","False","4"
