Sha256,Label,EmbeddedQrDetected,EmbeddedArcaValid,EmbeddedTipoComprobante,RasterQrDetected,RasterArcaValid,RasterTipoComprobante,Difference,RasterPages,RasterQrDurationMs,RasterFailure
"73938D63A261576FFEB30B2C0E33DBE085B1C870F5DFA41FB6DE596F57A839D8","FACTURA","false","false","","false","false","","false","2","987",""
"34E7190B10DE1060A821BA5B262D16CF469116C53FAA10A487AE71EDA02DE220","FACTURA","false","false","","false","false","","false","2","1074",""
"83E0306FF5707DBDEBFC9AD88A3634DF1D24B33FAA5A733B74A629090F74A53D","FACTURA","true","false","","true","true","1","true","1","515",""
"030126CE7D614353FF03F90C126B6D2C3746D913B36523810DF4F1B51326D882","FACTURA","true","true","201","false","false","","true","1","458",""
"53531D26119A3A91D8160D16D8081238C94A83B00EADEEECB6BED96F35C0D21F","FACTURA","true","true","201","false","false","","true","1","461",""
"92914214759A1969F8F6DA6FC3EAF436EEC02704E5B3141C282C9D183B15D2BC","FACTURA","true","true","201","false","false","","true","1","466",""
"963E9941D8D3A90BDACCFDDA949B7EEDD535A2ED456FA063B67893EC4D759786","FACTURA","true","true","201","false","false","","true","1","467",""
"C2C93818726DAC52E58536C78525B62A417DEC82F9491E4941E8AEE2CFA42B42","FACTURA","true","true","201","false","false","","true","1","464",""
"7943C6EB1641AD882AF8038E05B5F350A7FA8FBE6C2DF3DF90E9004412040FEF","FACTURA","false","false","","false","false","","false","1","520",""
"E8066B5FA877947A47862B566C3A752FD1BA514973CD2B01A7AD31803BBDD28B","FACTURA","false","false","","false","false","","false","1","542",""
"2D43B3648B73EFBB36772933B8ED7CE0CD779C0945E776A136EC6123FA5D5551","FACTURA","false","false","","false","false","","false","2","1429",""
"B4C8FA3786E8BA119F3C5F40F1BF5868D7591D0E865FF2AF84F7235674F33C88","FACTURA","false","false","","true","true","1","true","3","1288",""
"D0998159322E7036852951E3B6BB4631E0A5EF21ADFC0DFC39679D4F410C959F","FACTURA","false","false","","true","true","201","true","3","1252",""
"B7004863AED55E481D4397435BD5B06CEA6180397E1059883D51F5D066F1147F","FACTURA","false","false","","false","false","","false","1","416",""
"C177CD77BAA5F5587D302FDCC9F5615424F6BCED6057AA300113D6E3A600DC02","FACTURA","false","false","","false","false","","false","1","423",""
"D165FB62E80F26847F1F00B1DBD7E949928E56EC5C2A0EDD2FE929E4ABD85CB0","FACTURA","false","false","","false","false","","false","1","421",""
"A75839AE32A6A29EBB6CF64EBE45427C346DFFE51E758D5F04D903FC28147D87","FACTURA","false","false","","false","false","","false","2","1279",""
"681D494D1EABD2B24BA13F9F99B3AC5F6D565688BB7368714C430C5395C5A868","FACTURA","true","true","211","false","false","","true","1","458",""
"B68674F3B9393FDE895EBE47421061B41DCE664D2174AFA8C7904CD4324C5124","FACTURA","false","false","","false","false","","false","1","647",""
"8AE4509AEFA61A7ABB180BC7A0514AD169E1E8047C07D7544D3D0CB800B4E3FC","FACTURA","false","false","","false","false","","false","1","581",""
"FA8700C24DBDFE130D17A72C536CC9DCF1639DD4A8C5E313DB18605F70DAEED5","FACTURA","false","false","","false","false","","false","1","500",""
"5E8DD1B162CD0DD53E297362595BB3BE6CF0D4A3AA3803D214C679FD4CBD69F1","FACTURA","false","false","","true","true","1","true","1","450",""
"2CDC2802080A93C44CC6959AF2AC254546F4652B24A22C9B75546BEDFDB0A3EA","OTRO_DOCUMENTO","false","false","","false","false","","false","1","418",""
"999FBF2C511BEF61577E45BE48F034B1AABDC5692AEB747159BD61CF408F6BB4","OTRO_DOCUMENTO","false","false","","false","false","","false","1","390",""
"AF9E13927BD6123DA16DE0369AA7435A2892D4D71E8A0B3863F85C6A5E30455A","OTRO_DOCUMENTO","false","false","","false","false","","false","1","426",""
"70943A213A862A315DB451BAFBADDBFE5C0E45D694BF40FD8E5430FF47A032BA","OTRO_DOCUMENTO","false","false","","false","false","","false","1","1079","Una página rasterizada supera el límite de píxeles OCR."
"28FCC8808B0DEE25A850B6F4C5063E17FB94B3CB194917E84422E9F2A8C111A5","OTRO_DOCUMENTO","false","false","","false","false","","false","1","412",""
"CA4B144974CDD331E904D3646E7F74FDAE6502B6CCDA4A0B4845C2FA9E2F6DB8","OTRO_DOCUMENTO","false","false","","false","false","","false","1","433",""
"6DB7AD704B49BFC71197B65C40C94E926183B498F4CFEB7553FAE26B2BC534A3","OTRO_DOCUMENTO","false","false","","false","false","","false","1","442",""
"1C4DB25AAC0A169B26D121DF0992AB546E8D487A74FD1E45FDEF3490F3708601","OTRO_DOCUMENTO","false","false","","false","false","","false","1","773",""
"382662294B57C459DB9F1231FE0503A77176D130F8EA1BFB709132C3115F1A49","OTRO_DOCUMENTO","true","true","15","false","false","","true","3","1532",""
"4C4A524F6C4F42DB654184D20C435FAAFCACA3F08AE9CF313F55ED571DDEAFE3","OTRO_DOCUMENTO","false","false","","false","false","","false","1","115",""
"D86F134415A04E0606A287E30878EC7914E9DF74B3B4C92B1EF28FD94B366E94","OTRO_DOCUMENTO","false","false","","false","false","","false","1","113",""
"4CB36B9488EDCAA6B27FEF1B0A3524525E14E115CF2045F118B032995E653587","OTRO_DOCUMENTO","false","false","","false","false","","false","4","1701",""
"720D554E1CE7B5F36A27E8EB9E0C446EDD580DD15E0AAB7C46E8EB12BE170C51","OTRO_DOCUMENTO","false","false","","false","false","","false","3","1222",""
"31371F0EA09BFB13ECAECD39B9C36CF70E4662CB0E31F2ABE26B8E74402003F5","OTRO_DOCUMENTO","false","false","","false","false","","false","8","0","El PDF supera el límite de páginas OCR."
