Sha256,GroupId,LabelOriginal,LabelBinario,Fold,VisualAssetPath
73938D63A261576FFEB30B2C0E33DBE085B1C870F5DFA41FB6DE596F57A839D8,factura-avon-a-impresa,FACTURA,FACTURA,3,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\73938D63A261576FFEB30B2C0E33DBE085B1C870F5DFA41FB6DE596F57A839D8.png
94A5BB490143CEE934380D4FEB4659ABE2DD005FCE09BA87046839EC01B9A049,factura-avon-a-impresa,FACTURA,FACTURA,3,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\94A5BB490143CEE934380D4FEB4659ABE2DD005FCE09BA87046839EC01B9A049.png
34E7190B10DE1060A821BA5B262D16CF469116C53FAA10A487AE71EDA02DE220,factura-familia-aquavita,FACTURA,FACTURA,4,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\34E7190B10DE1060A821BA5B262D16CF469116C53FAA10A487AE71EDA02DE220.png
83E0306FF5707DBDEBFC9AD88A3634DF1D24B33FAA5A733B74A629090F74A53D,factura-familia-aquavita,FACTURA,FACTURA,4,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\83E0306FF5707DBDEBFC9AD88A3634DF1D24B33FAA5A733B74A629090F74A53D.png
030126CE7D614353FF03F90C126B6D2C3746D913B36523810DF4F1B51326D882,factura-familia-arca-fce-standard,FACTURA,FACTURA,1,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\030126CE7D614353FF03F90C126B6D2C3746D913B36523810DF4F1B51326D882.png
53531D26119A3A91D8160D16D8081238C94A83B00EADEEECB6BED96F35C0D21F,factura-familia-arca-fce-standard,FACTURA,FACTURA,1,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\53531D26119A3A91D8160D16D8081238C94A83B00EADEEECB6BED96F35C0D21F.png
92914214759A1969F8F6DA6FC3EAF436EEC02704E5B3141C282C9D183B15D2BC,factura-familia-arca-fce-standard,FACTURA,FACTURA,1,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\92914214759A1969F8F6DA6FC3EAF436EEC02704E5B3141C282C9D183B15D2BC.png
963E9941D8D3A90BDACCFDDA949B7EEDD535A2ED456FA063B67893EC4D759786,factura-familia-arca-fce-standard,FACTURA,FACTURA,1,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\963E9941D8D3A90BDACCFDDA949B7EEDD535A2ED456FA063B67893EC4D759786.png
C2C93818726DAC52E58536C78525B62A417DEC82F9491E4941E8AEE2CFA42B42,factura-familia-arca-fce-standard,FACTURA,FACTURA,1,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\C2C93818726DAC52E58536C78525B62A417DEC82F9491E4941E8AEE2CFA42B42.png
E8066B5FA877947A47862B566C3A752FD1BA514973CD2B01A7AD31803BBDD28B,factura-familia-ascensores-orem,FACTURA,FACTURA,2,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\E8066B5FA877947A47862B566C3A752FD1BA514973CD2B01A7AD31803BBDD28B.png
2D43B3648B73EFBB36772933B8ED7CE0CD779C0945E776A136EC6123FA5D5551,factura-familia-branding-merchandising,FACTURA,FACTURA,3,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\2D43B3648B73EFBB36772933B8ED7CE0CD779C0945E776A136EC6123FA5D5551.png
B4C8FA3786E8BA119F3C5F40F1BF5868D7591D0E865FF2AF84F7235674F33C88,factura-familia-condominio-pdi,FACTURA,FACTURA,4,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\B4C8FA3786E8BA119F3C5F40F1BF5868D7591D0E865FF2AF84F7235674F33C88.png
D0998159322E7036852951E3B6BB4631E0A5EF21ADFC0DFC39679D4F410C959F,factura-familia-condominio-pdi,FACTURA,FACTURA,4,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\D0998159322E7036852951E3B6BB4631E0A5EF21ADFC0DFC39679D4F410C959F.png
B7004863AED55E481D4397435BD5B06CEA6180397E1059883D51F5D066F1147F,factura-familia-excell,FACTURA,FACTURA,0,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\B7004863AED55E481D4397435BD5B06CEA6180397E1059883D51F5D066F1147F.png
C177CD77BAA5F5587D302FDCC9F5615424F6BCED6057AA300113D6E3A600DC02,factura-familia-inmuebles-fce,FACTURA,FACTURA,0,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\C177CD77BAA5F5587D302FDCC9F5615424F6BCED6057AA300113D6E3A600DC02.png
D165FB62E80F26847F1F00B1DBD7E949928E56EC5C2A0EDD2FE929E4ABD85CB0,factura-familia-manantial,FACTURA,FACTURA,2,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\D165FB62E80F26847F1F00B1DBD7E949928E56EC5C2A0EDD2FE929E4ABD85CB0.png
A75839AE32A6A29EBB6CF64EBE45427C346DFFE51E758D5F04D903FC28147D87,factura-familia-pediatrics,FACTURA,FACTURA,0,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\A75839AE32A6A29EBB6CF64EBE45427C346DFFE51E758D5F04D903FC28147D87.png
681D494D1EABD2B24BA13F9F99B3AC5F6D565688BB7368714C430C5395C5A868,factura-familia-servicios-inmobiliarios,FACTURA,FACTURA,1,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\681D494D1EABD2B24BA13F9F99B3AC5F6D565688BB7368714C430C5395C5A868.png
B68674F3B9393FDE895EBE47421061B41DCE664D2174AFA8C7904CD4324C5124,factura-familia-vitalis,FACTURA,FACTURA,1,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\B68674F3B9393FDE895EBE47421061B41DCE664D2174AFA8C7904CD4324C5124.png
5E8DD1B162CD0DD53E297362595BB3BE6CF0D4A3AA3803D214C679FD4CBD69F1,factura-logistica-la-serenisima-zb2b,FACTURA,FACTURA,2,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\5E8DD1B162CD0DD53E297362595BB3BE6CF0D4A3AA3803D214C679FD4CBD69F1.png
8F6CD87791DE515777752DAA95C010EB45B43DFD9348A6AD6110D4325615EA00,alertas-infraestructura-srvedms,NO_DOCUMENTO,NO_FACTURA,2,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\8F6CD87791DE515777752DAA95C010EB45B43DFD9348A6AD6110D4325615EA00.png
0A580FEA09DEB190DE1B8FCECAECE18D82D97ED106F75509B1CAFE5475D16253,branding-avon-natura,NO_DOCUMENTO,NO_FACTURA,3,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\0A580FEA09DEB190DE1B8FCECAECE18D82D97ED106F75509B1CAFE5475D16253.png
4AA692A94759E1F431C7F170D7194BD10D99DC221BB5B63BD9A9654AA70A7515,branding-bunge,NO_DOCUMENTO,NO_FACTURA,1,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\4AA692A94759E1F431C7F170D7194BD10D99DC221BB5B63BD9A9654AA70A7515.png
CEBD403817596F810B3BB9DCECB123713E7BC8788B8B6DDD32DF87CEED97D03A,branding-correo-argentino,NO_DOCUMENTO,NO_FACTURA,4,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\CEBD403817596F810B3BB9DCECB123713E7BC8788B8B6DDD32DF87CEED97D03A.png
2AF9DE4CAF9BB15F857FAE3B9E6DFEEDD831219A156B978E43FF62BC315266C6,branding-meteomatics,NO_DOCUMENTO,NO_FACTURA,3,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\2AF9DE4CAF9BB15F857FAE3B9E6DFEEDD831219A156B978E43FF62BC315266C6.png
72047867C7642F6358837C0F9867C83F915A29366A6B64C6508DCE8FEB356E85,branding-personal,NO_DOCUMENTO,NO_FACTURA,0,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\72047867C7642F6358837C0F9867C83F915A29366A6B64C6508DCE8FEB356E85.png
A881A4460A42E2C5B06E833B3B6B6A7EE43EC358EDBDB48C3B3BD7B7F6643710,branding-renaper,NO_DOCUMENTO,NO_FACTURA,1,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\A881A4460A42E2C5B06E833B3B6B6A7EE43EC358EDBDB48C3B3BD7B7F6643710.png
09FA512D0268E721B912C8D816EB01D29B16E440ADDC96B967A462DAAAF784DA,capturas-error-edms,NO_DOCUMENTO,NO_FACTURA,2,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\09FA512D0268E721B912C8D816EB01D29B16E440ADDC96B967A462DAAAF784DA.png
31089A698A1E82394B3667FE64BAF03D2A775892EF73B04FB9C439A916E5CC2A,capturas-sistema-posicion-consolidada,NO_DOCUMENTO,NO_FACTURA,0,C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\31089A698A1E82394B3667FE64BAF03D2A775892EF73B04FB9C439A916E5CC2A.png
