Sha256,Cohort,PythonTensorSha256,CSharpTensorSha256,HashEqual,DifferentFloats,MeanAbsDelta,MaxAbsDelta
73938D63A261576FFEB30B2C0E33DBE085B1C870F5DFA41FB6DE596F57A839D8,DEVELOPMENT,A6E19709177481DE290B0E65B7C65D2446EB2348017F9DDB9B714797DF67296E,7010D6C0B5ED357A0110DC9F6B372846DD58ADAD59B1E84358A41F7258BEAA17,false,66,0.000008,0.017507
94A5BB490143CEE934380D4FEB4659ABE2DD005FCE09BA87046839EC01B9A049,DEVELOPMENT,D785765D611A69EAE5F8506D4B71C2AF5A7CDF6E9958C7EA608DCC219EA4ECDE,8C9B4D7361587E135241E729EF48A1D113F6A441E4D7C8F138B4208E7F7651B1,false,109666,0.343963,2.538516
34E7190B10DE1060A821BA5B262D16CF469116C53FAA10A487AE71EDA02DE220,DEVELOPMENT,79743B3DBC73DF3D3C18DED9063BFD4DC2DAE61C513F12E229766A8F2B633472,4E21D329ECADD46D3F46BD38806C05EC5625053D2410E82897D9AF493EAE8A14,false,111,0.000013,0.017507
83E0306FF5707DBDEBFC9AD88A3634DF1D24B33FAA5A733B74A629090F74A53D,DEVELOPMENT,2A95A7B02FE07B7C125DC2BE08581A9C8AF3E2DAF0C9A3BB09688FDF678DB01D,1DD21397808DED6F435814391EE868D90E1F36E868A83738135968C80F640F0F,false,55,0.000006,0.017507
030126CE7D614353FF03F90C126B6D2C3746D913B36523810DF4F1B51326D882,DEVELOPMENT,B4AC9BD6F923B2B292E78AA4395FB658BCE150398C8A25F1CB4118DF25547B3E,AE2892D7970B9E11E16A62ADA20D812085D50E2E63FEFE7B81396B3B4F050B53,false,47,0.000005,0.017507
53531D26119A3A91D8160D16D8081238C94A83B00EADEEECB6BED96F35C0D21F,DEVELOPMENT,927F4A597C12095E7C477636CE4ABA4C7A24CC818DB11880BBC0577CA76E5880,CB27555CD6EF7F9BA33B08E4C5DD5CDABDE3ECA21A94A9E36A0E35F7D8E1C021,false,44,0.000005,0.017507
92914214759A1969F8F6DA6FC3EAF436EEC02704E5B3141C282C9D183B15D2BC,DEVELOPMENT,B01F93EEA27D34DBC1159267548973461DD5BCE5101FDA1FAF0BDBFF21F319F6,FCFF9F1C1CCE7C523959032F68A92FA6CA575E95A8115F17C3E2E6C031F53D75,false,56,0.000006,0.017507
963E9941D8D3A90BDACCFDDA949B7EEDD535A2ED456FA063B67893EC4D759786,DEVELOPMENT,A5103BE091FFAE947CE7AA2E97F155D505A66CC030A156B73D17841AA749BA5C,CE12DF9BF47D8701138565FDE1AF7351BA1DFD4C6E4D3348C27CD7BDE8051F0C,false,63,0.000007,0.017507
C2C93818726DAC52E58536C78525B62A417DEC82F9491E4941E8AEE2CFA42B42,DEVELOPMENT,894753A8237F5B5BF8EDDAC16BD29C0049FDF5E0B1E5D520E26D3F54CB1ECB09,81638B33493A40FC3377D42CB442010848AF83546ED1E48B523B5A681257CB75,false,57,0.000007,0.017507
E8066B5FA877947A47862B566C3A752FD1BA514973CD2B01A7AD31803BBDD28B,DEVELOPMENT,FCF3F6FCF708238BAF876E8E9DD6AB63B2070878F249EC8FDAE8E51D8C6C5049,C0A0873500E330AC773F12F1B63671A6219FA69057335B273C832315EE196A6D,false,58,0.000007,0.017507
2D43B3648B73EFBB36772933B8ED7CE0CD779C0945E776A136EC6123FA5D5551,DEVELOPMENT,9802BFEBB4A9E7CA87AC058C756ABD4E9B98FEECB5ADEEE982059AE2D4FA25E7,71900F4BF69C497DB409D40267E16DBC81C13035A105E7900D809FFA7EE8D8BB,false,84,0.00001,0.017507
B4C8FA3786E8BA119F3C5F40F1BF5868D7591D0E865FF2AF84F7235674F33C88,DEVELOPMENT,E3A60201B5886BC6011A43B71B3DE0E849DB30F7CCA6EFE0992F0AB854ECAAF4,DE7D6B4BB15810A6A42C17D4E08FC258963F071E9176577CC47DAC8A7C21647B,false,45,0.000005,0.017507
D0998159322E7036852951E3B6BB4631E0A5EF21ADFC0DFC39679D4F410C959F,DEVELOPMENT,073E254097AF5FB529B9DF620198E63CE03A81B1C995FC7945C33B0671BB531C,AD86D83F2B567C1870278B40B5C8DE66848D506FBEE2A95A1FED30ABD75F7697,false,39,0.000004,0.017507
B7004863AED55E481D4397435BD5B06CEA6180397E1059883D51F5D066F1147F,DEVELOPMENT,F7780824DFB62B2A179FC94BA4C820DB56E91E3DB2240D0119726FD1E0DB0BDE,E7192B0EF4BDA93EC807D55FBD010F28F99B1DAF08BCDE5A841124E264A32AA1,false,95,0.000011,0.017507
C177CD77BAA5F5587D302FDCC9F5615424F6BCED6057AA300113D6E3A600DC02,DEVELOPMENT,A968DC61BBBA0F969D053DB9141374994E48ECA919629BA73590ECB02E66B2DC,CB792D3511F45596027B440E51AC05C74476D2F2636C662ABC1424C45383E37E,false,40,0.000005,0.017507
D165FB62E80F26847F1F00B1DBD7E949928E56EC5C2A0EDD2FE929E4ABD85CB0,DEVELOPMENT,B9BDF96E93FB442DFA1F4D56F854DE9456331ACE2D890AC4BD344D9D7B327593,794219396E68BD431C4C991A45736A3E15EC071D0FE57A7910E1ED505C1A09E7,false,39,0.000004,0.017507
A75839AE32A6A29EBB6CF64EBE45427C346DFFE51E758D5F04D903FC28147D87,DEVELOPMENT,1A56933055B4D594699D8BAF1A8EE2EF38D6453FE0C1C4E11C4EC8B81A0EABE5,5BEF38D2B779531E5F430059D10AF0070FDED06773982B3935D476409BA58425,false,96,0.000011,0.017507
681D494D1EABD2B24BA13F9F99B3AC5F6D565688BB7368714C430C5395C5A868,DEVELOPMENT,3326AF175B14A16FA17356DAEE1793941DE3EC14B3F5693F2DA8AD84745BCFE8,1368094388A2477F16C66E2AE4CDFD86F2410DBFB3FB5D52051A77AC9063D217,false,58,0.000007,0.017507
B68674F3B9393FDE895EBE47421061B41DCE664D2174AFA8C7904CD4324C5124,DEVELOPMENT,F8CE188362B0006E02B3FBA24B5C228F8CEC56E0E3A3876105C8187EDB839834,562029EA0E5B9548A55DE8D4372AE260AB4F46A01D2930827B1433792EC7E33E,false,79,0.000009,0.017507
5E8DD1B162CD0DD53E297362595BB3BE6CF0D4A3AA3803D214C679FD4CBD69F1,DEVELOPMENT,4110D2EB988DBB13DA2BFF00A4A84FA5A0522F4C9FAD922059679C156E10598B,7A083387BE8C9BF0DA146C1C38ADEBA944D8F29241828871000C556550FA5C51,false,42,0.000005,0.017507
8F6CD87791DE515777752DAA95C010EB45B43DFD9348A6AD6110D4325615EA00,DEVELOPMENT,24F3E42F6EE1C9A5ACB5CD97D76D361993F40CDE28E9234C0E59A2A20AE0F80B,3C7F93ACB220666BD2DB4EA8684E3C588C77E1BF8C6E72CF1A303FC949E0128A,false,1,0,0.017507
0A580FEA09DEB190DE1B8FCECAECE18D82D97ED106F75509B1CAFE5475D16253,DEVELOPMENT,410C237EB37280C16C53BBDA8917252EC05DB3A084536031E7465C0041A876FD,104B27490F0F01A262F58523BBB52025F5E44B6A9896D0591144C8ED367A1BDE,false,10,0.000001,0.017429
4AA692A94759E1F431C7F170D7194BD10D99DC221BB5B63BD9A9654AA70A7515,DEVELOPMENT,B5EB95659D1047DB072FE5A90FD3F6ECFA30ECD7835135F986628F3BD3721503,FFCD528BEE7DD49B9FEAFD19FBDE467A952D7BB236ABCF6E4C146DB3A9E9956A,false,13811,0.14387,4.464286
CEBD403817596F810B3BB9DCECB123713E7BC8788B8B6DDD32DF87CEED97D03A,DEVELOPMENT,0373F8DE96BEF8EAB9BE0387A1528134E1FE60495F813F2B637C311E6A973652,310BB562E80945B2DD82C5CE3094F97A0C44A8848342327063C3490D541C519E,false,34984,0.179152,4.464286
2AF9DE4CAF9BB15F857FAE3B9E6DFEEDD831219A156B978E43FF62BC315266C6,DEVELOPMENT,D8392852A78AFD4E77AB5F054B71FA8E48EB16CAAEC7123035EF62843CA71A61,02665C7555AF9EB6740181CDD871052F30EACEC029DE81C6570094DD6CF0F8B4,false,21812,0.141509,4.464286
72047867C7642F6358837C0F9867C83F915A29366A6B64C6508DCE8FEB356E85,DEVELOPMENT,23D0BF8646C1B16FC31DB6F9F209D8533DE4306469FAB0FEE09DF9E77D436ABC,7BBACD9502D9987BA1DE5CA4F516C4F51CB38CE9FC440C8D75BE55BBCCD2AFBE,false,15933,0.209447,4.444445
A881A4460A42E2C5B06E833B3B6B6A7EE43EC358EDBDB48C3B3BD7B7F6643710,DEVELOPMENT,D7265ED38C631400F0A7025ADDB7381D123D237DFDDBC284C162797D883BF9D7,EDFDFACCEC3C280B3C49CB6350DEB2720C248A434A2F06244CA45A4C6ACADC20,false,54,0.000006,0.017507
09FA512D0268E721B912C8D816EB01D29B16E440ADDC96B967A462DAAAF784DA,DEVELOPMENT,4426989DC26861F922FFBC975156774C4AA637E2B045135B3891888E073DBDC2,4ED71C89A1166FC380FE078E80A3A192A93D9727AA53A66759F253AC9505C330,false,92,0.000011,0.017507
