Sha256,Cohort,Width,Height,PillowMode,PillowBands,HasAlpha,HasPalette,HasIcc,HasGamma,SourceRgbSha256
73938D63A261576FFEB30B2C0E33DBE085B1C870F5DFA41FB6DE596F57A839D8,DEVELOPMENT,2479,3508,RGBA,R|G|B|A,true,false,false,false,6A37ECCFA712EFC6DE79DB06A398A70A3BC9FCB684C8E167933696BC84D22AA6
94A5BB490143CEE934380D4FEB4659ABE2DD005FCE09BA87046839EC01B9A049,DEVELOPMENT,3000,4000,RGB,R|G|B,false,false,false,true,280D88BD44C623FE68967C4306BABBB117E0195BACC21E14F6A9E5717F8EDFD0
34E7190B10DE1060A821BA5B262D16CF469116C53FAA10A487AE71EDA02DE220,DEVELOPMENT,2550,3299,RGBA,R|G|B|A,true,false,false,false,7F1CD968E4F9A100B9657C6CCEA8DCAAC56D55FC5BBCCC788D9192A27373AE25
83E0306FF5707DBDEBFC9AD88A3634DF1D24B33FAA5A733B74A629090F74A53D,DEVELOPMENT,2480,3507,RGBA,R|G|B|A,true,false,false,false,019ACA5F93C3601F28856421C09DAC562BD319BA557C2558D597436118149478
030126CE7D614353FF03F90C126B6D2C3746D913B36523810DF4F1B51326D882,DEVELOPMENT,2479,3508,RGBA,R|G|B|A,true,false,false,false,C038E675F9D482B8DF07BFD134C940D71F7884BE2F8582063A4F7225A85BE4FB
53531D26119A3A91D8160D16D8081238C94A83B00EADEEECB6BED96F35C0D21F,DEVELOPMENT,2479,3508,RGBA,R|G|B|A,true,false,false,false,DFDB7C4419B9DBCEFBEAE94C05B2CBA862D5E8DFEBF2F72C35E00BB717AFC27C
92914214759A1969F8F6DA6FC3EAF436EEC02704E5B3141C282C9D183B15D2BC,DEVELOPMENT,2479,3508,RGBA,R|G|B|A,true,false,false,false,9732160213589D6AA7F335E96B24292C6D8AC7A4982EB5AA633BDB7ADD7C9D00
963E9941D8D3A90BDACCFDDA949B7EEDD535A2ED456FA063B67893EC4D759786,DEVELOPMENT,2479,3508,RGBA,R|G|B|A,true,false,false,false,8855D66C9481F1F9804BE4C070948F139CC45DE5D48C7ABD5F631FD386EF34A2
C2C93818726DAC52E58536C78525B62A417DEC82F9491E4941E8AEE2CFA42B42,DEVELOPMENT,2479,3508,RGBA,R|G|B|A,true,false,false,false,E656DBCBA75A9617F9D5FC489586740EE9C1E387E22102C263721EA0E888163A
E8066B5FA877947A47862B566C3A752FD1BA514973CD2B01A7AD31803BBDD28B,DEVELOPMENT,2550,4200,RGBA,R|G|B|A,true,false,false,false,C24675FB1F92DEA3FB9B36766647C7E2945D60645166D15D2592807B4786AAA6
2D43B3648B73EFBB36772933B8ED7CE0CD779C0945E776A136EC6123FA5D5551,DEVELOPMENT,2479,3504,RGBA,R|G|B|A,true,false,false,false,38BB75C88BFF071B96D53D4341401AC2FE431A41559B12987CA5B7D4DB897DB7
B4C8FA3786E8BA119F3C5F40F1BF5868D7591D0E865FF2AF84F7235674F33C88,DEVELOPMENT,2480,3507,RGBA,R|G|B|A,true,false,false,false,FB4814B03720DE3C7A1D171AFFB591DBAF669DDA16E46F43FE85ED790F89DC59
D0998159322E7036852951E3B6BB4631E0A5EF21ADFC0DFC39679D4F410C959F,DEVELOPMENT,2480,3507,RGBA,R|G|B|A,true,false,false,false,5A87C1F665DED2D0D2500106DA7F19616E3EA9F763839A4C773A651348FBD28B
B7004863AED55E481D4397435BD5B06CEA6180397E1059883D51F5D066F1147F,DEVELOPMENT,2479,3508,RGBA,R|G|B|A,true,false,false,false,26050272B15F048F71BA8D1E062595A69BE81F44789197B78A9DC54B327BDA66
C177CD77BAA5F5587D302FDCC9F5615424F6BCED6057AA300113D6E3A600DC02,DEVELOPMENT,2479,3508,RGBA,R|G|B|A,true,false,false,false,6CBE8EE2CFCB2C3C24298300B9369B9D5B9D7BD761A5DE15783A047879254125
D165FB62E80F26847F1F00B1DBD7E949928E56EC5C2A0EDD2FE929E4ABD85CB0,DEVELOPMENT,2479,3508,RGBA,R|G|B|A,true,false,false,false,7B67BFBAAC6F129C77618C22858C45D472729AE656243D7D2C8B74D984226581
A75839AE32A6A29EBB6CF64EBE45427C346DFFE51E758D5F04D903FC28147D87,DEVELOPMENT,2480,3508,RGBA,R|G|B|A,true,false,false,false,DE2BF5598685482D82ADC6B5CA3B6BE4BB3BC1BA38D0151B031F44483C879BA2
681D494D1EABD2B24BA13F9F99B3AC5F6D565688BB7368714C430C5395C5A868,DEVELOPMENT,2479,3508,RGBA,R|G|B|A,true,false,false,false,2EDAFDF3F2DCA902639B2D906EDC097B8942D312C0A882C32AFA568155BC326F
B68674F3B9393FDE895EBE47421061B41DCE664D2174AFA8C7904CD4324C5124,DEVELOPMENT,2479,3504,RGBA,R|G|B|A,true,false,false,false,05CEFC13DA465B067403A8349378584C28C880D9EA5FBFB12F5453EDB6DC9D2A
5E8DD1B162CD0DD53E297362595BB3BE6CF0D4A3AA3803D214C679FD4CBD69F1,DEVELOPMENT,2480,3507,RGBA,R|G|B|A,true,false,false,false,A7914DCF78079B34C9918DF16114F46072A7880168C30DE5343A4A5E93264A1D
8F6CD87791DE515777752DAA95C010EB45B43DFD9348A6AD6110D4325615EA00,DEVELOPMENT,743,259,RGB,R|G|B,false,false,false,true,4BD018FA707C2DC29ADD05A245BF54AAC7FE79A24D0EC62B4B47B1E23B315FC3
0A580FEA09DEB190DE1B8FCECAECE18D82D97ED106F75509B1CAFE5475D16253,DEVELOPMENT,270,109,RGB,R|G|B,false,false,false,true,8A28FC18CDA9376D79779246B59555E10716F52898466B1FBBB0C01CD717C1CB
4AA692A94759E1F431C7F170D7194BD10D99DC221BB5B63BD9A9654AA70A7515,DEVELOPMENT,144,38,RGBA,R|G|B|A,true,false,false,true,266587C1627D23FE5722B42BAE4F01C89473708C65BAAE65669F3E983DF51DE3
CEBD403817596F810B3BB9DCECB123713E7BC8788B8B6DDD32DF87CEED97D03A,DEVELOPMENT,130,35,RGBA,R|G|B|A,true,false,true,true,319FB6CD0505B31054197BF0977C8F8EAD85A6D7E4C184F0DD71BEB3DD64BC6E
2AF9DE4CAF9BB15F857FAE3B9E6DFEEDD831219A156B978E43FF62BC315266C6,DEVELOPMENT,200,72,RGBA,R|G|B|A,true,false,false,true,A584855A7E43830855D758CD60693877FF207005054F30B3378B8555B9BD434B
72047867C7642F6358837C0F9867C83F915A29366A6B64C6508DCE8FEB356E85,DEVELOPMENT,293,80,RGBA,R|G|B|A,true,false,false,true,C13AD088FD395443EA180C8746164F108AF7C3197F3067973E10059412963815
A881A4460A42E2C5B06E833B3B6B6A7EE43EC358EDBDB48C3B3BD7B7F6643710,DEVELOPMENT,98,116,RGBA,R|G|B|A,true,false,false,true,E70FCEA36693C287E5E496E99A6CCD9010E9FE096DF777E8A81C579F25395581
09FA512D0268E721B912C8D816EB01D29B16E440ADDC96B967A462DAAAF784DA,DEVELOPMENT,923,675,RGBA,R|G|B|A,true,false,false,true,BA05866A27B6BB638017E209602BF46A84A786F8CF581449A5C89CC9967A2BDC
31089A698A1E82394B3667FE64BAF03D2A775892EF73B04FB9C439A916E5CC2A,DEVELOPMENT,1920,1008,RGBA,R|G|B|A,true,false,false,true,160AB6314CDABA57120E2203DD5C840E64307C2F515D735E19965257BF3058F1
3542D120B3139DB932D4DFB7A8D23F072F1FFBEBD924C55AB6494B68851BD418,DEVELOPMENT,1165,481,RGB,R|G|B,false,false,false,true,A7AF44B00751F4CBA06538F9BC38E99B2DCAE6A18789F6A4FD2B9113B6C3A1D1
C5DAB04B2642976192FF1B496476C165AAEC82A85C775945E07D2580E0C99279,DEVELOPMENT,971,443,RGB,R|G|B,false,false,false,true,32AA97A9AE8C59F2DBE047D82D1CF0E902A9212E97F9E50DF1B2A3B41B140DF7
645D7CE914A8E04CD643296A64581A6DE08FB07730F4CC96646A93AFE83EE991,DEVELOPMENT,1242,130,RGB,R|G|B,false,false,false,true,840E683F45BBF38D326DBB9D669934CD85F6A600A29A7DF7847689F7A93C7BC4
9A641C4729F3EF559F7A6D5A621453270D66916A84727E1556C4FB7525EFABC7,DEVELOPMENT,1242,1622,RGB,R|G|B,false,false,true,false,4FB1F974AE0A6A0010EBFCA3A6DDD2D09BEF246D2E4572219DC69E3F4BA1839E
BE8E9456C6B3CD399C535A48BB397D4BF7C91D9CBDC212D5438373DDEFD4B5B5,DEVELOPMENT,3000,4000,RGB,R|G|B,false,false,false,true,8F94876B597BF1C8DFADF36C206F9F66A85558A6E4DECC08C7B8B2F687D2DBA3
94F6E14058C816126DE54ADD5ABC33BE7B27923DDB132FBC9590101D1E82C8D7,DEVELOPMENT,385,126,RGBA,R|G|B|A,true,false,false,true,3C85434C1E7D8B0087FF214CE23B4C369591978E69E9450B51570F8BD059633C
