Sha256,PythonWidth,CSharpWidth,PythonHeight,CSharpHeight,PythonLeft,CSharpLeft,PythonTop,CSharpTop,Equal
73938D63A261576FFEB30B2C0E33DBE085B1C870F5DFA41FB6DE596F57A839D8,158,158,224,224,33,33,0,0,true
94A5BB490143CEE934380D4FEB4659ABE2DD005FCE09BA87046839EC01B9A049,168,168,224,224,28,28,0,0,true
34E7190B10DE1060A821BA5B262D16CF469116C53FAA10A487AE71EDA02DE220,173,173,224,224,25,25,0,0,true
83E0306FF5707DBDEBFC9AD88A3634DF1D24B33FAA5A733B74A629090F74A53D,158,158,224,224,33,33,0,0,true
030126CE7D614353FF03F90C126B6D2C3746D913B36523810DF4F1B51326D882,158,158,224,224,33,33,0,0,true
53531D26119A3A91D8160D16D8081238C94A83B00EADEEECB6BED96F35C0D21F,158,158,224,224,33,33,0,0,true
92914214759A1969F8F6DA6FC3EAF436EEC02704E5B3141C282C9D183B15D2BC,158,158,224,224,33,33,0,0,true
963E9941D8D3A90BDACCFDDA949B7EEDD535A2ED456FA063B67893EC4D759786,158,158,224,224,33,33,0,0,true
C2C93818726DAC52E58536C78525B62A417DEC82F9491E4941E8AEE2CFA42B42,158,158,224,224,33,33,0,0,true
E8066B5FA877947A47862B566C3A752FD1BA514973CD2B01A7AD31803BBDD28B,136,136,224,224,44,44,0,0,true
2D43B3648B73EFBB36772933B8ED7CE0CD779C0945E776A136EC6123FA5D5551,158,158,224,224,33,33,0,0,true
B4C8FA3786E8BA119F3C5F40F1BF5868D7591D0E865FF2AF84F7235674F33C88,158,158,224,224,33,33,0,0,true
D0998159322E7036852951E3B6BB4631E0A5EF21ADFC0DFC39679D4F410C959F,158,158,224,224,33,33,0,0,true
B7004863AED55E481D4397435BD5B06CEA6180397E1059883D51F5D066F1147F,158,158,224,224,33,33,0,0,true
C177CD77BAA5F5587D302FDCC9F5615424F6BCED6057AA300113D6E3A600DC02,158,158,224,224,33,33,0,0,true
D165FB62E80F26847F1F00B1DBD7E949928E56EC5C2A0EDD2FE929E4ABD85CB0,158,158,224,224,33,33,0,0,true
A75839AE32A6A29EBB6CF64EBE45427C346DFFE51E758D5F04D903FC28147D87,158,158,224,224,33,33,0,0,true
681D494D1EABD2B24BA13F9F99B3AC5F6D565688BB7368714C430C5395C5A868,158,158,224,224,33,33,0,0,true
B68674F3B9393FDE895EBE47421061B41DCE664D2174AFA8C7904CD4324C5124,158,158,224,224,33,33,0,0,true
5E8DD1B162CD0DD53E297362595BB3BE6CF0D4A3AA3803D214C679FD4CBD69F1,158,158,224,224,33,33,0,0,true
8F6CD87791DE515777752DAA95C010EB45B43DFD9348A6AD6110D4325615EA00,224,224,78,78,0,0,73,73,true
0A580FEA09DEB190DE1B8FCECAECE18D82D97ED106F75509B1CAFE5475D16253,224,224,90,90,0,0,67,67,true
4AA692A94759E1F431C7F170D7194BD10D99DC221BB5B63BD9A9654AA70A7515,224,224,59,59,0,0,82,82,true
CEBD403817596F810B3BB9DCECB123713E7BC8788B8B6DDD32DF87CEED97D03A,224,224,60,60,0,0,82,82,true
2AF9DE4CAF9BB15F857FAE3B9E6DFEEDD831219A156B978E43FF62BC315266C6,224,224,81,81,0,0,71,71,true
72047867C7642F6358837C0F9867C83F915A29366A6B64C6508DCE8FEB356E85,224,224,61,61,0,0,81,81,true
A881A4460A42E2C5B06E833B3B6B6A7EE43EC358EDBDB48C3B3BD7B7F6643710,189,189,224,224,17,17,0,0,true
09FA512D0268E721B912C8D816EB01D29B16E440ADDC96B967A462DAAAF784DA,224,224,164,164,0,0,30,30,true
31089A698A1E82394B3667FE64BAF03D2A775892EF73B04FB9C439A916E5CC2A,224,224,118,118,0,0,53,53,true
3542D120B3139DB932D4DFB7A8D23F072F1FFBEBD924C55AB6494B68851BD418,224,224,92,92,0,0,66,66,true
C5DAB04B2642976192FF1B496476C165AAEC82A85C775945E07D2580E0C99279,224,224,102,102,0,0,61,61,true
645D7CE914A8E04CD643296A64581A6DE08FB07730F4CC96646A93AFE83EE991,224,224,23,23,0,0,100,100,true
9A641C4729F3EF559F7A6D5A621453270D66916A84727E1556C4FB7525EFABC7,172,172,224,224,26,26,0,0,true
BE8E9456C6B3CD399C535A48BB397D4BF7C91D9CBDC212D5438373DDEFD4B5B5,168,168,224,224,28,28,0,0,true
94F6E14058C816126DE54ADD5ABC33BE7B27923DDB132FBC9590101D1E82C8D7,224,224,73,73,0,0,75,75,true
0814C60BD510A3E30D86D313B0DDDB0CB088B987E781388B1C942943A13D554E,224,224,43,43,0,0,90,90,true
4076445FF73213039D7402664EB4FC48546391227FAB11DAA3224DA874701C8C,224,224,211,211,0,0,6,6,true
74DA980974A41F7B871D2C47FD7A44101AB5661F1393C6FEFD5399CAA02A68DD,224,224,126,126,0,0,49,49,true
EC91DE96F8A25E7EE60D3F37BF910A33AE2F346FEE43CEEEF8DFD14BB3F53973,224,224,126,126,0,0,49,49,true
966FCC7F039D31C33FC27230D26B6EC27356D2033146FA8A4EE21461EAB0945D,224,224,112,112,0,0,56,56,true
D2B2FACB91DDE28A9AED66FDEA2BDBD8E2FD91B94161D10F361C4040553FF392,224,224,112,112,0,0,56,56,true
F6112D3A8671D063327C69FBA50410F72448E6DA21C4C8A6AFCFC3F883CE84A4,224,224,112,112,0,0,56,56,true
131E45D3DC803E82CB78E212E95C4E289E840BF38F309CC9E631F8D3F0668D7B,224,224,161,161,0,0,31,31,true
398257AA42671A521BDE2ED73A1695CCE3819975D25652CA5F06383773E842EE,224,224,146,146,0,0,39,39,true
5EAC3DD7134262EC7667AFFD27336A78CCB94C616157B186FF964556F9635BB7,17,17,224,224,103,103,0,0,true
DFB5D9B1FC4775F72C0526C008E7C7438380A66D13114E8C65F3FAC5F942FFA3,224,224,95,95,0,0,64,64,true
2CDC2802080A93C44CC6959AF2AC254546F4652B24A22C9B75546BEDFDB0A3EA,158,158,224,224,33,33,0,0,true
999FBF2C511BEF61577E45BE48F034B1AABDC5692AEB747159BD61CF408F6BB4,158,158,224,224,33,33,0,0,true
7D6906456FD818CCF677B46E7E09A4F9EE6932CEE5AF8FED0DC9CD4D2D7EEE75,168,168,224,224,28,28,0,0,true
AD4F901A339BA7D979DDC8D72FDF48CF5AEA068CE8B78E0A68DB02659CBB784D,224,224,176,176,0,0,24,24,true
DA7DB06022306B8142F9D0179BDE36BFE71E64CEC4A2D7E10FCCE5D2FDBC7C97,168,168,224,224,28,28,0,0,true
3E354C1E6A7CB85C4D523AC1B7741EC6E1D498440C0B1FFF531DD3B50320AB78,101,101,224,224,61,61,0,0,true
50D0A84325CDCF665E473A3E3D0F62F86079E2DCFEF4AE4E4BE0D2A776C0AF97,224,224,135,135,0,0,44,44,true
02523B356AEC13D925C44F336DDAABE81215EE01EE8BCBDEBFC6714A37D55A28,224,224,179,179,0,0,22,22,true
AF9E13927BD6123DA16DE0369AA7435A2892D4D71E8A0B3863F85C6A5E30455A,158,158,224,224,33,33,0,0,true
70943A213A862A315DB451BAFBADDBFE5C0E45D694BF40FD8E5430FF47A032BA,163,163,224,224,30,30,0,0,true
28FCC8808B0DEE25A850B6F4C5063E17FB94B3CB194917E84422E9F2A8C111A5,158,158,224,224,33,33,0,0,true
CA4B144974CDD331E904D3646E7F74FDAE6502B6CCDA4A0B4845C2FA9E2F6DB8,158,158,224,224,33,33,0,0,true
40D282AFE8457677E743468F7D7EDAAA8FEEDB38D7458D01304953DA8E2E5BE4,224,224,125,125,0,0,49,49,true
675F30D09450E3C2A33AD99C4DC69C108D812EF861FD47858519F8A9913464E3,224,224,112,112,0,0,56,56,true
9B103DB594C0BEE038C97560216C9623601B0050584D5946910513AC662DCE6F,224,224,139,139,0,0,42,42,true
6DB7AD704B49BFC71197B65C40C94E926183B498F4CFEB7553FAE26B2BC534A3,158,158,224,224,33,33,0,0,true
1C4DB25AAC0A169B26D121DF0992AB546E8D487A74FD1E45FDEF3490F3708601,158,158,224,224,33,33,0,0,true
382662294B57C459DB9F1231FE0503A77176D130F8EA1BFB709132C3115F1A49,158,158,224,224,33,33,0,0,true
4C4A524F6C4F42DB654184D20C435FAAFCACA3F08AE9CF313F55ED571DDEAFE3,159,159,224,224,32,32,0,0,true
D86F134415A04E0606A287E30878EC7914E9DF74B3B4C92B1EF28FD94B366E94,159,159,224,224,32,32,0,0,true
