Id,Name,Classification,FilePresent,SupportedVisualFormat
"1","Orden de Compra.pdf","REVISAR","True","True"
"2","Credencial_23175875379 (202509) (1).pdf","REVISAR","True","True"
"3","NC_00002_00000001.pdf","REVISAR","True","True"
"4","FacturaC_PV00004_00000002.pdf","REVISAR","True","True"
"5","2012-08-24-031.jpg","REVISAR","True","True"
"6","746omar-silverii_edi-sa-comRESDIA201620261635.pdf","REVISAR","True","True"
"7","FacturaC_PV00004_00000002.pdf","FACTURA","True","True"
"8","2013-04-29-465.jpg","REVISAR","True","True"
"9","23175875379_011_00003_00000097.pdf","FACTURA","True","True"
"10","23175875379_011_00003_00000097.pdf","FACTURA","True","True"
"11","FacturaC_PV00004_00000002.pdf","FACTURA","True","True"
"12","FacturaC_PV00004_00000002.pdf","FACTURA","True","True"
"13","Nota de Pedido de Compras.docx","REVISAR","True","False"
"14","23175875379_011_00003_00000097.pdf","FACTURA","True","True"
"15","QUIROGA_LUISINA_BELEN_CB_96-033-185-889_2016-02-01_2016-03-31_2026-08-05_01.txt_Final (1).pdf","FACTURA","True","True"
"16","QUIROGA_LUISINA_BELEN_QRyCB_96-033-185-889_2021-08-01_2022-03-31_2026-08-05_01.txt_Final (1).pdf","FACTURA","True","True"
"17","CALLEJAS_LORENA _QRyCB_96-026-522-436_2023-09-01_2023-12-31_2026-08-05_01.txt_Final (1).pdf","FACTURA","True","True"
"18","FacturaC_PV00004_00000002.pdf","FACTURA","True","True"
"19","23175875379_011_00003_00000097.pdf","FACTURA","False","True"
"20","QUIROGA_LUISINA_BELEN_CB_96-033-185-889_2016-02-01_2016-03-31_2026-08-05_01.txt_Final (1).pdf","FACTURA","True","True"
"21","EDMS_7142_7140_ZB2B_001_05003_00036969_70001729_70001729.pdf","FACTURA","True","True"
"22","QUIROGA_LUISINA_BELEN_CB_96-033-185-889_2016-02-01_2016-03-31_2026-08-05_01.txt_Final (1).pdf","FACTURA","True","True"
"23","EDMS_7142_7140_ZB2B_001_05003_00036969_70001729_70001729.pdf","FACTURA","True","True"
"24","FacturaC_PV00004_00000002-1.jpg","REVISAR","True","True"
"25","FacturaC_PV00004_00000002-1.jpg","FACTURA","True","True"
"26","FacturaSINQR.pdf","REVISAR","True","True"
"27","PRUEBA_OCR_PDF_MDOC.pdf","REVISAR","True","True"
"28","24.jpeg","REVISAR","True","True"
"29","25.jpeg","REVISAR","True","True"
"30","26.jpeg","REVISAR","True","True"
"31","41.jpeg","REVISAR","True","True"
"32","1.jpeg","REVISAR","True","True"
"33","27.jpeg","REVISAR","True","True"
"34","2.jpeg","REVISAR","True","True"
"35","11.jpeg","REVISAR","True","True"
