Id,Name,Classification,Disposition,Status,PFactura,Zone,ErrorCode
"1","Orden de Compra.pdf","REVISAR","EXISTING","OK","0.437708228826523","INCIERTO_VISUAL",""
"2","Credencial_23175875379 (202509) (1).pdf","REVISAR","EXISTING","OK","0.253341436386108","INCIERTO_VISUAL",""
"3","NC_00002_00000001.pdf","REVISAR","EXISTING","OK","0.747857213020325","INCIERTO_VISUAL",""
"4","FacturaC_PV00004_00000002.pdf","REVISAR","EXISTING","OK","0.696812808513641","INCIERTO_VISUAL",""
"5","2012-08-24-031.jpg","REVISAR","EXISTING","OK","0.175039857625961","INCIERTO_VISUAL",""
"6","746omar-silverii_edi-sa-comRESDIA201620261635.pdf","REVISAR","EXISTING","OK","0.895097374916077","FACTURA_FUERTE",""
"7","FacturaC_PV00004_00000002.pdf","FACTURA","EXISTING","OK","0.696812808513641","INCIERTO_VISUAL",""
"8","2013-04-29-465.jpg","REVISAR","EXISTING","OK","0.118307135999203","INCIERTO_VISUAL",""
"9","23175875379_011_00003_00000097.pdf","FACTURA","EXISTING","OK","0.711479544639587","INCIERTO_VISUAL",""
"10","23175875379_011_00003_00000097.pdf","FACTURA","EXISTING","OK","0.711479544639587","INCIERTO_VISUAL",""
"11","FacturaC_PV00004_00000002.pdf","FACTURA","EXISTING","OK","0.696812808513641","INCIERTO_VISUAL",""
"12","FacturaC_PV00004_00000002.pdf","FACTURA","EXISTING","OK","0.696812808513641","INCIERTO_VISUAL",""
"13","Nota de Pedido de Compras.docx","REVISAR","EXISTING","ERROR","","","UNSUPPORTED_FORMAT"
"14","23175875379_011_00003_00000097.pdf","FACTURA","EXISTING","OK","0.711479544639587","INCIERTO_VISUAL",""
"15","QUIROGA_LUISINA_BELEN_CB_96-033-185-889_2016-02-01_2016-03-31_2026-08-05_01.txt_Final (1).pdf","FACTURA","EXISTING","OK","0.849540948867798","FACTURA_FUERTE",""
"16","QUIROGA_LUISINA_BELEN_QRyCB_96-033-185-889_2021-08-01_2022-03-31_2026-08-05_01.txt_Final (1).pdf","FACTURA","EXISTING","OK","0.887339532375336","FACTURA_FUERTE",""
"17","CALLEJAS_LORENA _QRyCB_96-026-522-436_2023-09-01_2023-12-31_2026-08-05_01.txt_Final (1).pdf","FACTURA","EXISTING","OK","0.870116889476776","FACTURA_FUERTE",""
"18","FacturaC_PV00004_00000002.pdf","FACTURA","EXISTING","OK","0.696812808513641","INCIERTO_VISUAL",""
"19","23175875379_011_00003_00000097.pdf","FACTURA","SKIPPED_FILE_MISSING","","","","FILE_MISSING"
"20","QUIROGA_LUISINA_BELEN_CB_96-033-185-889_2016-02-01_2016-03-31_2026-08-05_01.txt_Final (1).pdf","FACTURA","EXISTING","OK","0.849540948867798","FACTURA_FUERTE",""
"21","EDMS_7142_7140_ZB2B_001_05003_00036969_70001729_70001729.pdf","FACTURA","EXISTING","OK","0.864638447761536","FACTURA_FUERTE",""
"22","QUIROGA_LUISINA_BELEN_CB_96-033-185-889_2016-02-01_2016-03-31_2026-08-05_01.txt_Final (1).pdf","FACTURA","EXISTING","OK","0.849540948867798","FACTURA_FUERTE",""
"23","EDMS_7142_7140_ZB2B_001_05003_00036969_70001729_70001729.pdf","FACTURA","EXISTING","OK","0.864638447761536","FACTURA_FUERTE",""
"24","FacturaC_PV00004_00000002-1.jpg","REVISAR","EXISTING","OK","0.709301710128784","INCIERTO_VISUAL",""
"25","FacturaC_PV00004_00000002-1.jpg","FACTURA","EXISTING","OK","0.709301710128784","INCIERTO_VISUAL",""
"26","FacturaSINQR.pdf","REVISAR","EXISTING","OK","0.800335168838501","FACTURA_FUERTE",""
"27","PRUEBA_OCR_PDF_MDOC.pdf","REVISAR","EXISTING","OK","0.755669176578522","INCIERTO_VISUAL",""
"28","24.jpeg","REVISAR","EXISTING","OK","0.0712332874536514","NO_FACTURA_FUERTE",""
"29","25.jpeg","REVISAR","EXISTING","OK","0.0730828270316124","NO_FACTURA_FUERTE",""
"30","26.jpeg","REVISAR","EXISTING","OK","0.252779215574265","INCIERTO_VISUAL",""
"31","41.jpeg","REVISAR","EXISTING","OK","0.0606146194040775","NO_FACTURA_FUERTE",""
"32","1.jpeg","REVISAR","EXISTING","OK","0.164019092917442","INCIERTO_VISUAL",""
"33","27.jpeg","REVISAR","EXISTING","OK","0.184442475438118","INCIERTO_VISUAL",""
"34","2.jpeg","REVISAR","EXISTING","OK","0.239994093775749","INCIERTO_VISUAL",""
"35","11.jpeg","REVISAR","EXISTING","OK","0.0909927934408188","NO_FACTURA_FUERTE",""
"36","28.jpeg","REVISAR","EXISTING","OK","0.179184094071388","INCIERTO_VISUAL",""
"37","3.jpeg","REVISAR","EXISTING","OK","0.0884284749627113","NO_FACTURA_FUERTE",""
"38","12.jpeg","REVISAR","EXISTING","OK","0.181562453508377","INCIERTO_VISUAL",""
"39","30.jpeg","REVISAR","EXISTING","OK","0.179184094071388","INCIERTO_VISUAL",""
"40","29.jpeg","REVISAR","EXISTING","OK","0.179184094071388","INCIERTO_VISUAL",""
"41","13.jpeg","REVISAR","EXISTING","OK","0.263191670179367","INCIERTO_VISUAL",""
"42","4.jpeg","REVISAR","EXISTING","OK","0.139753147959709","INCIERTO_VISUAL",""
"43","14.jpeg","REVISAR","EXISTING","OK","0.116070061922073","NO_FACTURA_FUERTE",""
"44","5.jpeg","REVISAR","EXISTING","OK","0.183301419019699","INCIERTO_VISUAL",""
"45","15.jpeg","REVISAR","EXISTING","OK","0.0785397291183472","NO_FACTURA_FUERTE",""
"46","6.jpeg","REVISAR","EXISTING","OK","0.196774303913116","INCIERTO_VISUAL",""
"47","35.png","REVISAR","EXISTING","OK","0.0801273956894875","NO_FACTURA_FUERTE",""
"48","16.jpeg","REVISAR","EXISTING","OK","0.0853430554270744","NO_FACTURA_FUERTE",""
"49","7.jpeg","REVISAR","EXISTING","OK","0.185118451714516","INCIERTO_VISUAL",""
"50","36.png","REVISAR","EXISTING","OK","0.0806968659162521","NO_FACTURA_FUERTE",""
"51","17.jpeg","REVISAR","EXISTING","OK","0.0808213204145432","NO_FACTURA_FUERTE",""
"52","8.jpeg","REVISAR","EXISTING","OK","0.269844949245453","INCIERTO_VISUAL",""
"53","37.png","REVISAR","EXISTING","OK","0.0426810719072819","NO_FACTURA_FUERTE",""
"54","18.jpeg","REVISAR","EXISTING","OK","0.156312957406044","INCIERTO_VISUAL",""
"55","9.jpeg","REVISAR","EXISTING","OK","0.167630910873413","INCIERTO_VISUAL",""
"56","38.png","REVISAR","EXISTING","OK","0.0453142784535885","NO_FACTURA_FUERTE",""
"57","19.jpeg","REVISAR","EXISTING","OK","0.111285291612148","NO_FACTURA_FUERTE",""
"58","10.jpeg","REVISAR","EXISTING","OK","0.130198404192924","INCIERTO_VISUAL",""
"59","42.png","REVISAR","EXISTING","OK","0.452850252389908","INCIERTO_VISUAL",""
"60","21.jpeg","REVISAR","EXISTING","OK","0.306369990110397","INCIERTO_VISUAL",""
"61","20.jpeg","REVISAR","EXISTING","OK","0.0927604287862778","NO_FACTURA_FUERTE",""
"62","40.png","REVISAR","EXISTING","OK","0.111515641212463","NO_FACTURA_FUERTE",""
"63","22.jpeg","REVISAR","EXISTING","OK","0.0518720038235188","NO_FACTURA_FUERTE",""
"64","23.jpeg","REVISAR","EXISTING","OK","0.16226527094841","INCIERTO_VISUAL",""
"65","ejemplo.pdf","REVISAR","EXISTING","OK","0.396932065486908","INCIERTO_VISUAL",""
"66","image001.png","REVISAR","EXISTING","OK","0.316083610057831","INCIERTO_VISUAL",""
"67","image002.png","REVISAR","EXISTING","OK","0.0284687504172325","NO_FACTURA_FUERTE",""
"68","FacturaSINQR_fa8700c24dbd.pdf","FACTURA","EXISTING","OK","0.800335168838501","FACTURA_FUERTE",""
"69","4_3074beb4520e.jpeg","REVISAR","EXISTING","OK","0.139753147959709","INCIERTO_VISUAL",""
"70","1_d9afaf729e3d.jpeg","REVISAR","EXISTING","OK","0.164019092917442","INCIERTO_VISUAL",""
"71","3_c75e7bfb18ec.jpeg","REVISAR","EXISTING","OK","0.0884284749627113","NO_FACTURA_FUERTE",""
"72","2_420379d4ff45.jpeg","REVISAR","EXISTING","OK","0.239994093775749","INCIERTO_VISUAL",""
"73","FacturaC_PV00004_00000002-1_122412579cb7.jpg","FACTURA","EXISTING","OK","0.709301710128784","INCIERTO_VISUAL",""
"74","FacturaC_PV00004_00000002-1_122412579cb7_122412579cb7.jpg","FACTURA","EXISTING","OK","0.709301710128784","INCIERTO_VISUAL",""
"75","3_c75e7bfb18ec_c75e7bfb18ec.jpeg","REVISAR","EXISTING","OK","0.0884284749627113","NO_FACTURA_FUERTE",""
"76","2_420379d4ff45_420379d4ff45.jpeg","REVISAR","EXISTING","OK","0.239994093775749","INCIERTO_VISUAL",""
