CandidateId,OriginalPath,ExpectedSha256,Action,Label,GroupId,Notes
"G0001","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0001_4_3074beb4520e_3074beb4520e_3074beb4520e.jpeg","3074BEB4520E7F5C93B9E755FDEADDD8A18AB8D4E67C314BB2B45D0CA5B72611","SKIP","NO_DOCUMENTO","flightaware-newsletter","Imagen FlightAware repetida; no aporta independencia."
"G0002","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0002_2_420379d4ff45_420379d4ff45_420379d4ff45.jpeg","420379D4FF45B52472616C5A8459D276BB554D35EDE54A04C1B87AC1B570FA5D","SKIP","NO_DOCUMENTO","flightaware-newsletter","FlightAware ya representado y revisado; no crear grupo nuevo."
"G0003","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0003_3_c75e7bfb18ec_c75e7bfb18ec_c75e7bfb18ec.jpeg","C75E7BFB18EC83D322CBC9C7864ACF896FC8FD54B61BEEEFF0B21041CD980B93","SKIP","NO_DOCUMENTO","flightaware-newsletter","Misma familia repetida."
"G0004","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0004_340334816060816.jpg","D36DB48D5B35D9811EF8FACE3185B95BBC755180F748485481DE1F751ED3006E","SKIP","NO_DOCUMENTO","fotos-familiares","Fotografía persona/mascota; no aporta nuevo grupo independiente."
"G0005","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0005_inline-1.png","72047867C7642F6358837C0F9867C83F915A29366A6B64C6508DCE8FEB356E85","ADD","NO_DOCUMENTO","branding-personal","Branding personal revisado."
"G0006","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0006_image001.png","1387C7FE027694D1B95AEC2B808FEB0798BF75F84283FFC502BAE3C4EB2DB06A","SKIP","NO_DOCUMENTO","firma-banco","Fragmento gráfico o firma Banco Patagonia; poco valor adicional."
"G0007","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0007_image002.png","DE0C0238456A610CE8BC056A253A134E92998D7A5EE87A134C746A89F64B2BB5","SKIP","NO_DOCUMENTO","firma-banco","Logo Banco Patagonia; evitar sobre-representar la marca."
"G0008","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0008_image003.png","50D0A84325CDCF665E473A3E3D0F62F86079E2DCFEF4AE4E4BE0D2A776C0AF97","ADD","OTRO_DOCUMENTO","otro-captura-ticket-acceso","Captura con contenido administrativo/documental real; no forzar a NO_DOCUMENTO por ser imagen."
"G0009","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0009_image001.png","A416FBE260DB75BDBEAC5FE20ABC81C97D2EDEE21831062770D46CE8AB360DE0","SKIP","NO_DOCUMENTO","firma-banco","Misma familia de firma o branding bancario ya representada."
"G0010","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0010_image001.png","8D7C13F4259E27EF01AC73FC492B4D0784E45C479C4097B3D1E947167D7A9076","SKIP","NO_DOCUMENTO","firma-banco","Misma familia de firma o branding bancario ya representada."
"G0011","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0011_image002.png","68477EC61E4A09A3BA68B1AB143073749C84CCB52C61EE8346DDD1A27582240D","SKIP","NO_DOCUMENTO","firma-banco","Misma familia de firma o branding bancario ya representada."
"G0012","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0012_map.png","D2B2FACB91DDE28A9AED66FDEA2BDBD8E2FD91B94161D10F361C4040553FF392","ADD","NO_DOCUMENTO","mapas-viajes","Mapa de viaje revisado."
"G0013","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0013_inline-0.1.1.jpg","645D7CE914A8E04CD643296A64581A6DE08FB07730F4CC96646A93AFE83EE991","ADD","NO_DOCUMENTO","correo-boleta-lanus","Recurso inline del correo de boleta de Lanús."
"G0014","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0014_inline-0.1.2.jpg","9A641C4729F3EF559F7A6D5A621453270D66916A84727E1556C4FB7525EFABC7","ADD","NO_DOCUMENTO","correo-boleta-lanus","Recurso inline del correo de boleta de Lanús; misma familia que G0013."
"G0015","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0015_6a60f5b49e0e0_128ba41717019@sidekiq-default-84d546fbfc-g5vnq.mail","966FCC7F039D31C33FC27230D26B6EC27356D2033146FA8A4EE21461EAB0945D","ADD","NO_DOCUMENTO","mapas-viajes","Mapa o recurso gráfico de viaje revisado."
"G0016","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0016_6a60d44ed1591_14225c19926a@sidekiq-default-84d546fbfc-lwrvd.mail","F6112D3A8671D063327C69FBA50410F72448E6DA21C4C8A6AFCFC3F883CE84A4","ADD","NO_DOCUMENTO","mapas-viajes","Mapa o recurso gráfico de viaje revisado."
"G0017","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2f_NoDocumento_Revision\_candidatos_locales\G0017_image003.png","83C37B5C6E92C9515F9456960E62208CEF94E5985871436E4E5464233C0EA6A0","ADD","OTRO_DOCUMENTO","otro-resumen-tarjeta-visa","Resumen o tarjeta VISA; contenido documental real."
