CandidateId,OriginalPath,ExpectedSha256,Action,Label,GroupId,Notes
"H0001","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2h_NoDocumento_Historico_Revision\_candidatos_locales\H0001_676omar-silverii_edi-sa-comRESDIA281820251842.pdf","720D554E1CE7B5F36A27E8EB9E0C446EDD580DD15E0AAB7C46E8EB12BE170C51","ADD","OTRO_DOCUMENTO","otro-resumen-operaciones-banco-comafi","Variante 676 del resumen diario Banco Comafi; misma familia que la variante 746 existente."
"H0002","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2h_NoDocumento_Historico_Revision\_candidatos_locales\H0002_746omar-silverii_edi-sa-comRESDIA281620251648.pdf","09B15835FA1FE35955974DF9FCB34BF81D45199F14C776F298BB70C1AFAD6641","SKIP","OTRO_DOCUMENTO","otro-resumen-operaciones-banco-comafi","Resumen de operaciones Banco Comafi repetitivo; H0001 cubre la variante 676 y la variante 746 ya existía."
"H0003","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2h_NoDocumento_Historico_Revision\_candidatos_locales\H0003_23175875379_011_00003_00000106.pdf","693240B903EEEBA7CF74DC3B3540AE38288C552032864380D36F02947711E14E","SKIP","FACTURA","factura-homologacion-c-00004-00000002","Factura C ARCA próxima al grupo congelado en TEST; se omite para evitar fuga de template."
"H0004","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2h_NoDocumento_Historico_Revision\_candidatos_locales\H0004_676omar-silverii_edi-sa-comRESDIA271820251829.pdf","6187AA4818ED078FEB9371ECE0379E730DA74ECD6A181D5586EA10389E36A219","SKIP","OTRO_DOCUMENTO","otro-resumen-operaciones-banco-comafi","Resumen de operaciones Banco Comafi repetitivo; H0001 cubre la variante 676 y la variante 746 ya existía."
"H0005","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2h_NoDocumento_Historico_Revision\_candidatos_locales\H0005_746omar-silverii_edi-sa-comRESDIA271620251635.pdf","B2FF34B25B8C61E69D97306F97549164509504849B7F894B09D3490B1DCB890F","SKIP","OTRO_DOCUMENTO","otro-resumen-operaciones-banco-comafi","Resumen de operaciones Banco Comafi repetitivo; H0001 cubre la variante 676 y la variante 746 ya existía."
"H0006","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2h_NoDocumento_Historico_Revision\_candidatos_locales\H0006_676omar-silverii_edi-sa-comRESDIA261820251836.pdf","450CB70DFA16A3E5214489179BC73AEA1AB1ECD33EF7D19213416AD62A601317","SKIP","OTRO_DOCUMENTO","otro-resumen-operaciones-banco-comafi","Resumen de operaciones Banco Comafi repetitivo; H0001 cubre la variante 676 y la variante 746 ya existía."
"H0007","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2h_NoDocumento_Historico_Revision\_candidatos_locales\H0007_746omar-silverii_edi-sa-comRESDIA261620251642.pdf","6C05E72D4FDDFB04701AD99729B51DF12B3138742465485B42607EEB5D10E921","SKIP","OTRO_DOCUMENTO","otro-resumen-operaciones-banco-comafi","Resumen de operaciones Banco Comafi repetitivo; H0001 cubre la variante 676 y la variante 746 ya existía."
"H0008","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2h_NoDocumento_Historico_Revision\_candidatos_locales\H0008_image001.png","0814C60BD510A3E30D86D313B0DDDB0CB088B987E781388B1C942943A13D554E","ADD","NO_DOCUMENTO","firma-deloitte","Logo Deloitte inline de firma y branding; no documento."
"H0009","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2h_NoDocumento_Historico_Revision\_candidatos_locales\H0009_image002.jpg","4076445FF73213039D7402664EB4FC48546391227FAB11DAA3224DA874701C8C","ADD","NO_DOCUMENTO","firma-deloitte","Badge Great Place To Work del mismo contexto de firma que H0008."
"H0010","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2h_NoDocumento_Historico_Revision\_candidatos_locales\H0010_30701791181_001_00002_00000140.pdf","094E73A1562BA21C35B56C7F98D4B06884A3758F12ADB2C1B3EB86909509B668","SKIP","FACTURA","factura-familia-arca-fce-standard","Factura A con layout ARCA estándar ya suficientemente representado."
"H0011","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2h_NoDocumento_Historico_Revision\_candidatos_locales\H0011_676omar-silverii_edi-sa-comRESDIA251820251830.pdf","08488D3B050CAF1F1AD4A3C0A6676114E748B28D20BF3F0016E5BDD320BD87D2","SKIP","OTRO_DOCUMENTO","otro-resumen-operaciones-banco-comafi","Resumen de operaciones Banco Comafi repetitivo; H0001 cubre la variante 676 y la variante 746 ya existía."
"H0012","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2h_NoDocumento_Historico_Revision\_candidatos_locales\H0012_746omar-silverii_edi-sa-comRESDIA251620251636.pdf","105605975F62F8F2211F120E47C86262191B18DC8A7BB432E50FBB4D99653CE3","SKIP","OTRO_DOCUMENTO","otro-resumen-operaciones-banco-comafi","Resumen de operaciones Banco Comafi repetitivo; H0001 cubre la variante 676 y la variante 746 ya existía."
"H0013","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2h_NoDocumento_Historico_Revision\_candidatos_locales\H0013_676omar-silverii_edi-sa-comRESDIA241820251841.pdf","947B6054F2CAC7B76916B73983DF7B17DA56491734A2D00E66359B794A51BBA3","SKIP","OTRO_DOCUMENTO","otro-resumen-operaciones-banco-comafi","Resumen de operaciones Banco Comafi repetitivo; H0001 cubre la variante 676 y la variante 746 ya existía."
