CandidateId,OriginalPath,ExpectedSha256,Action,Label,GroupId,Notes
"I0001","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2i_Imagenes_Historicas_Revision\_candidatos_locales\I0001_Launch.png","5EAC3DD7134262EC7667AFFD27336A78CCB94C616157B186FF964556F9635BB7","ADD","NO_DOCUMENTO","publicidad-samsung-galaxy","Pieza publicitaria Samsung Galaxy."
"I0002","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2i_Imagenes_Historicas_Revision\_candidatos_locales\I0002_Launch-1.jpg","6B25FE2F33F7C0CCDD70A984E0909106A5C94E0CCE1BDAD228AA9E0BEB85D2D6","SKIP","NO_DOCUMENTO","publicidad-samsung-galaxy","Misma campaña Samsung ya representada por I0001."
"I0003","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2i_Imagenes_Historicas_Revision\_candidatos_locales\I0003_Launch-02.jpg","64C2B1C583E734969EE3924E1BA24D83D4DA90D141A0E35D8090CEDC2F275DC8","SKIP","NO_DOCUMENTO","publicidad-samsung-galaxy","Misma campaña Samsung ya representada por I0001."
"I0004","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2i_Imagenes_Historicas_Revision\_candidatos_locales\I0004_Launch-03.jpg","88E13D1C67F8428AB44E323FE3E8296AFC9005BC0C673DD9DDA43BF1A266C3EE","SKIP","NO_DOCUMENTO","publicidad-samsung-galaxy","Misma campaña Samsung ya representada por I0001."
"I0005","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2i_Imagenes_Historicas_Revision\_candidatos_locales\I0005_Launch-04.jpg","C3E406BCE65D330703C59292D3A8F7A08FEB0E38F97539331C52637C7ED2389E","SKIP","NO_DOCUMENTO","publicidad-samsung-galaxy","Misma campaña Samsung ya representada por I0001."
"I0006","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2i_Imagenes_Historicas_Revision\_candidatos_locales\I0006_image001.png","4AA692A94759E1F431C7F170D7194BD10D99DC221BB5B63BD9A9654AA70A7515","ADD","NO_DOCUMENTO","branding-bunge","Logo y branding Bunge."
"I0007","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2i_Imagenes_Historicas_Revision\_candidatos_locales\I0007_image002.png","09FA512D0268E721B912C8D816EB01D29B16E440ADDC96B967A462DAAAF784DA","ADD","NO_DOCUMENTO","capturas-error-edms","Captura de error operativo EDMS."
"I0008","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2i_Imagenes_Historicas_Revision\_candidatos_locales\I0008_map.png","747D709BEB739A055EA44195F2E1A4E05A5DF8C632FD9A76C9A3FD1927358DE4","SKIP","NO_DOCUMENTO","mapas-viajes","Familia de mapas Cabify ya presente."
"I0009","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2i_Imagenes_Historicas_Revision\_candidatos_locales\I0009_RenaperLogo.png","A881A4460A42E2C5B06E833B3B6B6A7EE43EC358EDBDB48C3B3BD7B7F6643710","ADD","NO_DOCUMENTO","branding-renaper","Logo y branding RENAPER."
"I0010","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2i_Imagenes_Historicas_Revision\_candidatos_locales\I0010_MacroSolucionesLogo.png","753A5F9CB6DA0C6A6DA12898B5A927672EBFB1D4F5B0BFC67650EB7788AE8FA5","SKIP","NO_DOCUMENTO","branding-renaper","Mismo contexto de branding RENAPER representado por I0009."
"I0011","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\H1D3A2i_Imagenes_Historicas_Revision\_candidatos_locales\I0011_image002.png","1BEF2F3AE50C3BC29845C68D36F5DD38B7543F3D074D533D5313004D9F23B52C","SKIP","NO_DOCUMENTO","firma-banco","Firmas Banco Patagonia; familia ya representada."
