CandidateId,OriginalPath,ExpectedSha256,Action,Label,GroupId,Notes
"R0001","C:\RecepcionDocumental\Revisar\2026\08\19\1a01c6ff45809cb8\FacturaC_PV00004_00000002_3e87d13a5e3c.pdf","3E87D13A5E3CAE28D92F351E23959A204ADB28EC40ECAEBC747B3482D87C1877","SKIP","FACTURA","factura-homologacion-c-00004-00000002","Otra representación de la factura de homologación; el grupo ya está representado y congelado en TEST."
"R0002","C:\RecepcionDocumental\Revisar\2026\08\19\1a01c6ff45809cb8\NC_00002_00000001_af0c85980129.pdf","6DB7AD704B49BFC71197B65C40C94E926183B498F4CFEB7553FAE26B2BC534A3","ADD","OTRO_DOCUMENTO","otro-nota-credito-electronica-edi-00002-00000001","Nota de crédito electrónica revisada visualmente."
"R0003","C:\RecepcionDocumental\Revisar\2026\08\20\1a01f1a3f76be6d2\746omar-silverii_edi-sa-comRESDIA201620261635_4cb36b9488ed.pdf","4CB36B9488EDCAA6B27FEF1B0A3524525E14E115CF2045F118B032995E653587","ADD","OTRO_DOCUMENTO","otro-resumen-operaciones-banco-comafi","Resumen de operaciones bancarias revisado visualmente."
"R0004","C:\RecepcionDocumental\Revisar\2026\08\20\1a02056f0ab7ef79\Nota de Pedido de Compras_1bcca10a53b3.docx","25A28F76A857A367804870624BA66C6C5046AAEDFF21B694520F9AFD4AE4D1F7","PENDING","OTRO_DOCUMENTO","","Documento DOCX pendiente de revisión y decisión de GroupId."
"R0005","C:\RecepcionDocumental\Revisar\2026\08\21\1a0247ac29f7c7b0\10_45290b90e6be.jpeg","45290B90E6BEFC6CF12A418867747E96645174F343214E319EE0B77AC2B71495","SKIP","NO_DOCUMENTO","flightaware-newsletter","Recurso del mismo newsletter FlightAware ya representado; no aporta un grupo independiente."
"R0006","C:\RecepcionDocumental\Revisar\2026\08\21\1a0247ac29f7c7b0\11_332cafe9fad2.jpeg","332CAFE9FAD2C5B52AB979FE1B26296D548E5DFB35D21DAC1AA40EB22C32D556","SKIP","NO_DOCUMENTO","flightaware-newsletter","Recurso del mismo newsletter FlightAware ya representado; no aporta un grupo independiente."
"R0007","C:\RecepcionDocumental\Revisar\2026\08\21\1a0247ac29f7c7b0\12_6b2928bd36df.jpeg","6B2928BD36DFA7F4A4002870172A8B35EC3818AD6D04DB1D79B334D32523A88F","SKIP","NO_DOCUMENTO","flightaware-newsletter","Recurso del mismo newsletter FlightAware ya representado; no aporta un grupo independiente."
"R0008","C:\RecepcionDocumental\Revisar\2026\08\21\1a0247ac29f7c7b0\13_bcba60372533.jpeg","BCBA603725335AFE373FCC06808B12F3C733F624F6A9FD931C0FC45B50E26FCF","SKIP","NO_DOCUMENTO","flightaware-newsletter","Recurso del mismo newsletter FlightAware ya representado; no aporta un grupo independiente."
"R0009","C:\RecepcionDocumental\Revisar\2026\08\21\1a0247ac29f7c7b0\14_0a3deb148015.jpeg","0A3DEB14801527F39CBD98648C9A1BD8A5187375704AB233521A54B77EB22536","SKIP","NO_DOCUMENTO","flightaware-newsletter","Recurso del mismo newsletter FlightAware ya representado; no aporta un grupo independiente."
"R0010","C:\RecepcionDocumental\Revisar\2026\08\21\1a0247ac29f7c7b0\15_ab4b92166759.jpeg","AB4B921667596B8A68F6695A4D3815601602F5E53020F600085D01CF1CB31889","SKIP","NO_DOCUMENTO","flightaware-newsletter","Recurso del mismo newsletter FlightAware ya representado; no aporta un grupo independiente."
